Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Álex Abrines,SG,24.0,9.0,-1.5,0.1,2.2,0.1546052631578947,0.0388349514563106,0.09375,0.3747590577934594,0.488,0.96
2.0,Quincy Acy,PF,27.0,8.2,-2.5,-0.2,1.0,0.194078947368421,0.0776699029126213,0.23125,0.4496716651965108,0.549,1.03
4.0,Bam Adebayo,C,20.0,15.7,-0.4,0.6,4.2,0.2269736842105263,0.145631067961165,0.34375,0.4527426573883498,0.537,-0.13
5.0,Arron Afflalo,SG,32.0,5.8,-5.4,-0.6,0.1,0.1118421052631579,0.058252427184466,0.075,0.2263713286941749,0.415,-2.39
6.0,Cole Aldrich,C,29.0,6.0,-7.5,-0.1,0.0,0.0197368421052631,0.0097087378640776,0.04375,0.0161063739423045,0.512,-0.22
9.0,Kadeem Allen,PG,25.0,2.6,-7.7,-0.2,-0.1,0.0361842105263157,0.0679611650485436,0.0375,0.0362311738377601,0.695,6.38
10.0,Tony Allen,SF,36.0,8.7,-5.5,-0.2,0.1,0.1546052631578947,0.0388349514563106,0.13125,0.0925871475709758,0.512,1.63
12.0,Justin Anderson,SF,24.0,13.0,-0.9,0.1,1.2,0.2039473684210526,0.0679611650485436,0.15,0.1733803783201019,0.659,4.37
15.0,Ike Anigbogu,C,19.0,21.6,1.9,0.0,0.1,0.0394736842105263,0.0,0.05,0.0100297298180273,0.427,-2.91
17.0,Carmelo Anthony,PF,33.0,12.7,-1.9,0.0,3.7,0.5328947368421053,0.1262135922330097,0.3625,0.8269136528472018,0.488,0.96
18.0,OG Anunoby,SF,20.0,10.0,-0.6,0.5,3.0,0.194078947368421,0.0679611650485436,0.15625,0.4897252442092195,0.5,1.59
19.0,Ryan Arcidiacono,PG,23.0,7.3,-4.1,-0.2,0.3,0.0657894736842105,0.145631067961165,0.0625,0.1028128981672057,0.488,1.37
21.0,Darrell Arthur,PF,29.0,8.4,-5.3,-0.1,0.0,0.0921052631578947,0.0485436893203883,0.05,0.0478290698814074,0.646,3.04
22.0,Jamel Artis,SG,25.0,6.9,-5.4,-0.2,0.0,0.1677631578947368,0.116504854368932,0.15625,0.0965729033944264,0.415,-2.39
23.0,Ömer Aşık,C,31.0,4.5,-7.0,-0.2,0.0,0.0427631578947368,0.0097087378640776,0.1625,0.0416870854977294,0.512,1.63
24.0,D.J. Augustin,PG,30.0,15.4,-0.2,0.8,4.1,0.3355263157894737,0.3689320388349514,0.13125,0.5820183606128916,0.415,-2.39
25.0,Luke Babbitt,SF,28.0,12.0,-0.7,0.2,1.1,0.2006578947368421,0.0679611650485436,0.1375,0.1905975366722205,0.5,0.32
