Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB
193.0,Montrezl Harrell,C,29.0,17.6,-1.3,0.1,2.2,0.1691842900302114,0.0560747663551401,0.2239999999999999
194.0,Gary Harris,SG,28.0,10.5,-0.7,0.4,2.3,0.2507552870090634,0.1121495327102803,0.16
195.0,Joe Harris,SF,31.0,10.6,-1.1,0.3,2.6,0.2296072507552869,0.1308411214953271,0.176
196.0,Kevon Harris,SG,25.0,9.2,-3.6,-0.2,0.6,0.1238670694864048,0.0467289719626168,0.168
197.0,Tobias Harris,SF,30.0,14.8,0.7,1.7,5.9,0.4441087613293051,0.2336448598130841,0.456
198.0,Shaquille Harrison,SG,29.0,17.9,0.1,0.1,0.3,0.2658610271903323,0.5607476635514019,0.352
199.0,Josh Hart,SF,27.0,14.633333333333333,1.3666666666666665,1.2,4.0,0.297079556898288,0.35202492211838,0.6133333333333333
200.0,Isaiah Hartenstein,C,24.0,14.2,-0.3,0.7,4.6,0.1510574018126888,0.1121495327102803,0.52
201.0,Udonis Haslem,C,42.0,6.2,-12.1,-0.2,0.0,0.1178247734138972,0.0,0.128
202.0,Sam Hauser,SF,25.0,12.7,1.0,1.0,3.4,0.1933534743202417,0.0841121495327102,0.208
203.0,Jaxson Hayes,C,22.0,13.7,-1.2,0.1,1.5,0.1510574018126888,0.0654205607476635,0.2239999999999999
204.0,Killian Hayes,PG,21.0,10.2,-3.8,-1.0,-0.5,0.311178247734139,0.5794392523364487,0.2319999999999999
205.0,Gordon Hayward,SF,32.0,13.5,-1.4,0.2,2.0,0.4441087613293051,0.3831775700934579,0.344
206.0,Juancho Hernangómez,PF,27.0,7.6,-3.3,-0.2,0.7,0.0876132930513595,0.0560747663551401,0.2319999999999999
207.0,Willy Hernangómez,C,28.0,20.7,0.3,0.3,1.6,0.2084592145015106,0.0841121495327102,0.376
208.0,Tyler Herro,SG,23.0,15.3,0.6,1.6,3.5,0.6072507552870091,0.3925233644859813,0.432
209.0,Buddy Hield,SF,30.0,15.4,1.9,2.4,4.4,0.5075528700906344,0.2616822429906542,0.4
210.0,Haywood Highsmith,PF,26.0,8.5,-3.1,-0.3,0.9,0.1329305135951661,0.0747663551401869,0.28
211.0,George Hill,PG,36.0,9.8,-1.7,0.0,1.4,0.1510574018126888,0.2336448598130841,0.152
211.0,George Hill,PG-SG,36.0,10.6,-1.5,0.1,1.9,0.1510574018126888,0.2242990654205607,0.144
211.0,George Hill,SG,36.0,14.1,-0.6,0.1,0.5,0.1570996978851963,0.1775700934579439,0.128
212.0,Malcolm Hill,SF,27.0,15.4,2.4,0.0,0.0,0.0302114803625377,0.0,0.048
213.0,Aaron Holiday,PG,26.0,9.4,-2.0,0.0,0.9,0.1178247734138972,0.1308411214953271,0.096
214.0,Jrue Holiday,PG,32.0,19.2,3.1,2.8,6.7,0.5830815709969789,0.691588785046729,0.408
215.0,Justin Holiday,SF,33.0,6.7,-3.9,-0.2333333333333333,0.10000000000000002,0.13494461228600196,0.08411214953271022,0.10133333333333333
216.0,Richaun Holmes,C,29.0,12.9,-2.9,-0.1,0.8,0.093655589123867,0.0186915887850467,0.152
217.0,Al Horford,C,36.0,13.8,3.3,2.5,6.3,0.2960725075528701,0.2803738317757009,0.496
218.0,Talen Horton-Tucker,SG,22.0,13.7,-1.6,0.2,0.8,0.323262839879154,0.3551401869158878,0.256
219.0,Danuel House Jr.,SF,29.0,9.4,-3.0,-0.2,1.3,0.1450151057401812,0.0747663551401869,0.136
220.0,Caleb Houstan,SF,20.0,6.2,-4.0,-0.4,0.7,0.1148036253776434,0.0560747663551401,0.152
221.0,Trevor Hudgins,PG,23.0,4.2,-8.4,0.0,0.0,0.0543806646525679,0.0560747663551401,0.0
222.0,Kevin Huerter,SG,24.0,15.2,1.0,1.7,4.9,0.4592145015105739,0.2710280373831776,0.264
223.0,Jay Huff,C,24.0,22.3,4.0,0.1,0.5,0.2205438066465256,0.1308411214953271,0.24
224.0,De'Andre Hunter,SF,25.0,11.5,-3.3,-0.7,2.5,0.4652567975830816,0.1308411214953271,0.336
225.0,Bones Hyland,PG,22.0,15.266666666666666,-0.8333333333333334,0.2333333333333333,0.9333333333333332,0.3494461228600201,0.29595015576323985,0.21066666666666667
226.0,Serge Ibaka,C,33.0,9.8,-4.5,-0.1,0.2,0.1238670694864048,0.02803738317757,0.2239999999999999
227.0,Andre Iguodala,PF,39.0,7.3,-2.5,0.0,0.1,0.0634441087613293,0.2242990654205607,0.168
228.0,Joe Ingles,SF,35.0,10.7,-0.7,0.3,2.3,0.2084592145015106,0.308411214953271,0.2239999999999999
229.0,Brandon Ingram,SF,25.0,19.2,1.7,1.4,3.5,0.7462235649546827,0.5420560747663552,0.44
230.0,Kyrie Irving,PG,30.0,21.6,3.8,2.2,4.3,0.8187311178247734,0.4953271028037383,0.408
230.0,Kyrie Irving,PG-SG,30.0,22.4,4.1,3.5,7.4,0.8187311178247734,0.5140186915887851,0.408
230.0,Kyrie Irving,SG,30.0,24.0,4.9,1.3,3.1,0.8157099697885196,0.5607476635514019,0.4
231.0,Jonathan Isaac,PF,25.0,20.3,4.0,0.2,0.3,0.1510574018126888,0.0467289719626168,0.32
232.0,Jaden Ivey,SG,20.0,12.1,-3.3,-0.7,0.0,0.4924471299093655,0.485981308411215,0.312
233.0,Frank Jackson,PG,24.0,-6.8,-22.2,0.0,0.0,0.0,0.0934579439252336,0.16
234.0,Isaiah Jackson,C,21.0,17.5,-0.8,0.3,2.7,0.2175226586102719,0.0747663551401869,0.36
235.0,Jaren Jackson Jr.,C,23.0,21.6,2.8,2.2,6.6,0.5619335347432024,0.0934579439252336,0.544
236.0,Justin Jackson,SF,27.0,6.3,-2.6,0.0,0.1,0.0271903323262839,0.0373831775700934,0.0559999999999999
237.0,Quenton Jackson,PG,24.0,12.2,-5.1,-0.1,0.2,0.1873111782477341,0.1588785046728972,0.072
238.0,Reggie Jackson,PG,32.0,9.766666666666667,-4.233333333333333,-0.5666666666666667,0.43333333333333335,0.29204431017119836,0.3115264797507788,0.16266666666666665
239.0,LeBron James,PF,38.0,23.9,6.1,4.0,5.6,0.8731117824773413,0.6355140186915889,0.664
240.0,Ty Jerome,SG,25.0,12.8,-0.8,0.3,2.1,0.2084592145015106,0.2803738317757009,0.136
241.0,Isaiah Joe,SG,23.0,14.5,0.9,1.0,3.8,0.2870090634441087,0.1121495327102803,0.192
242.0,Alize Johnson,PF,26.0,4.3,-9.1,-0.1,-0.1,0.0543806646525679,0.02803738317757,0.2
243.0,Cameron Johnson,PF,26.0,17.133333333333333,2.8000000000000003,0.9333333333333332,2.3333333333333335,0.46324269889224573,0.17133956386292828,0.3466666666666667
244.0,Jalen Johnson,SF,21.0,14.1,0.3,0.6,2.1,0.1691842900302114,0.1121495327102803,0.32
245.0,James Johnson,PF,35.0,8.4,-4.4,-0.1,0.1,0.0845921450151057,0.0747663551401869,0.136
246.0,Keldon Johnson,SF,23.0,15.3,-1.8,0.1,1.3,0.6646525679758308,0.2710280373831776,0.4
