Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP
286.0,Saben Lee,PG,23.0,13.1,-1.8,0.0,0.7,0.1858006042296072,0.2570093457943925,0.152,0.12725664898054526
287.0,Alex Len,C,29.0,12.8,-4.0,-0.1,0.3,0.0513595166163141,0.0467289719626168,0.184,0.0551273067040411
289.0,Meyers Leonard,C,30.0,12.0,-5.0,-0.1,0.3,0.1450151057401812,0.0093457943925233,0.304,0.0416124403510528
291.0,Kira Lewis Jr.,PG,21.0,14.5,-0.3,0.1,0.6,0.1389728096676737,0.0841121495327102,0.104,0.0808889778756632
293.0,Nassir Little,SF,22.0,10.2,-3.0,-0.3,0.7,0.1993957703927492,0.0841121495327102,0.208,0.3310641705876464
294.0,Isaiah Livers,PF,24.0,8.4,-2.4,-0.1,1.0,0.202416918429003,0.0747663551401869,0.2239999999999999,0.4071478626489138
295.0,Kenneth Lofton Jr.,PF,20.0,20.2,-0.4,0.1,0.5,0.1510574018126888,0.0747663551401869,0.168,0.0604998832048586
298.0,Robin Lopez,C,34.0,11.6,-3.0,-0.1,0.6,0.0906344410876132,0.0467289719626168,0.1119999999999999,0.1018119931925117
301.0,Trey Lyles,PF,27.0,14.2,-1.0,0.3,2.6,0.2296072507552869,0.0841121495327102,0.3279999999999999,0.4210965395268128
302.0,Théo Maledon,PG,21.0,11.6,-2.5,-0.1,0.8,0.202416918429003,0.3271028037383178,0.2239999999999999,0.2907865318517035
303.0,Sandro Mamukelashvili,C,23.0,10.95,-3.0,-0.1,0.55,0.12839879154078546,0.0981308411214953,0.264,0.14971468615477018
304.0,Terance Mann,SG,26.0,13.4,-0.2,0.8,4.3,0.2658610271903323,0.2149532710280373,0.272,0.6317282343911637
305.0,Tre Mann,PG,21.0,10.0,-3.9,-0.6,0.5,0.2326283987915408,0.1682242990654205,0.184,0.4000066740080756
306.0,Boban Marjanović,C,34.0,23.4,1.6,0.2,0.6,0.0996978851963746,0.02803738317757,0.152,0.0582307204591717
308.0,Naji Marshall,SF,25.0,11.4,-1.9,0.1,2.5,0.2749244712990936,0.2336448598130841,0.288,0.60509894216972
309.0,Caleb Martin,SF,27.0,11.4,-1.2,0.4,3.7,0.2900302114803625,0.1495327102803738,0.384,0.7022057596689693
310.0,Cody Martin,SF,27.0,8.7,-4.6,-0.1,0.1,0.1510574018126888,0.1495327102803738,0.272,0.0504221310107785
312.0,Tyrese Martin,SG,23.0,7.7,-7.4,-0.1,0.0,0.039274924471299,0.0093457943925233,0.064,0.0227249974972469
313.0,Garrison Mathews,SG,26.0,10.933333333333332,-2.1999999999999997,-0.06666666666666667,0.6333333333333333,0.1450151057401812,0.0404984423676012,0.10666666666666662,0.1558825819512575
315.0,Wesley Matthews,SF,36.0,7.0,-2.7,-0.1,1.2,0.1027190332326283,0.0654205607476635,0.176,0.2782393966696699
318.0,Miles McBride,PG,22.0,8.4,-2.3,-0.1,0.7,0.1057401812688821,0.102803738317757,0.064,0.2569159408682884
323.0,Jalen McDaniels,SF,25.0,11.966666666666667,-2.2333333333333334,-0.06666666666666667,1.8333333333333333,0.26888217522658614,0.13707165109034267,0.328,0.4324868466424178
324.0,Doug McDermott,SF,31.0,11.2,-3.2,-0.4,1.0,0.3081570996978852,0.1308411214953271,0.176,0.4446557880335035
325.0,JaVale McGee,C,35.0,17.2,-3.7,-0.1,0.6,0.1329305135951661,0.02803738317757,0.2,0.1206326959655621
326.0,Bryce McGowens,SG,20.0,7.2,-6.0,-0.8,0.1,0.1601208459214501,0.1121495327102803,0.16,0.2676610938699236
327.0,Rodney McGruder,SG,31.0,10.7,-1.5,0.1,0.7,0.1722054380664652,0.0841121495327102,0.184,0.1796642973937998
328.0,Jordan McLaughlin,PG,26.0,11.8,-0.7,0.2,1.3,0.1117824773413897,0.3177570093457944,0.1119999999999999,0.2308539393332666
330.0,Sam Merrill,SG,26.0,15.5,1.2,0.0,0.2,0.1510574018126888,0.0934579439252336,0.144,0.0229585877798912
331.0,Chimezie Metu,PF,25.0,17.3,-0.1,0.3,2.1,0.148036253776435,0.0560747663551401,0.24,0.2327226615944205
333.0,Patty Mills,PG,34.0,10.6,-3.1,-0.2,0.4,0.1873111782477341,0.1308411214953271,0.088,0.1932792738679214
334.0,Shake Milton,SG,26.0,12.7,-2.0,0.0,2.9,0.2537764350453172,0.2990654205607477,0.2,0.5291153602295858
336.0,Josh Minott,SF,20.0,17.9,-1.6,0.0,0.3,0.093655589123867,0.02803738317757,0.136,0.0335035205392598
337.0,Davion Mitchell,PG,24.0,9.4,-2.8,-0.3,1.5,0.1691842900302114,0.2149532710280373,0.104,0.4882370607668435
340.0,Isaiah Mobley,PF,23.0,14.1,-1.4,0.0,0.2,0.0785498489425981,0.02803738317757,0.136,0.0296993359361964
342.0,Malik Monk,SG,24.0,16.6,0.3,1.0,3.2,0.4078549848942598,0.3644859813084112,0.208,0.5804051122901859
343.0,Moses Moody,SG,20.0,10.3,-2.6,-0.1,1.3,0.1450151057401812,0.0747663551401869,0.136,0.2763039343277605
345.0,Wendell Moore Jr.,SG,21.0,9.3,-2.4,0.0,0.1,0.0422960725075528,0.0560747663551401,0.048,0.0521573731104214
347.0,Marcus Morris,PF,33.0,10.5,-1.9,0.0,2.0,0.3383685800604229,0.1682242990654205,0.32,0.617712817432509
348.0,Markieff Morris,PF,33.0,10.55,-2.3,-0.05,0.4,0.11178247734138966,0.0841121495327102,0.16799999999999998,0.10957052758033836
354.0,Mike Muscala,C,31.0,12.799999999999999,-0.5666666666666667,0.26666666666666666,1.6666666666666667,0.1832829808660624,0.07165109034267907,0.25866666666666666,0.2146472230564732
355.0,Svi Mykhailiuk,SF,25.0,14.533333333333333,1.1666666666666665,0.16666666666666666,0.5333333333333333,0.19234642497482377,0.14018691588785046,0.12266666666666666,0.10791871058163977
356.0,Larry Nance Jr.,C,30.0,16.0,2.0,1.4,4.9,0.2054380664652567,0.1682242990654205,0.432,0.4672473053692395
359.0,Raul Neto,PG,30.0,12.6,-0.2,0.2,1.5,0.0996978851963746,0.1495327102803738,0.08,0.1713551573397403
360.0,Georges Niang,PF,29.0,10.9,-1.4,0.2,2.5,0.2477341389728096,0.0934579439252336,0.192,0.510361397537291
361.0,Daishen Nix,PG,20.0,5.3,-6.5,-1.0,-1.2,0.120845921450151,0.2149532710280373,0.136,0.3096739747055094
362.0,Zeke Nnaji,PF,22.0,12.5,-3.7,-0.3,1.6,0.1570996978851963,0.02803738317757,0.208,0.2468381886742083
363.0,Nerlens Noel,C,28.0,6.066666666666666,-5.366666666666667,-0.06666666666666667,0.0,0.05438066465256794,0.0654205607476635,0.2213333333333333,0.04679591995639646
364.0,Jaylen Nowell,SG,23.0,13.7,-2.5,-0.2,1.2,0.3262839879154078,0.1869158878504673,0.208,0.4235659225147662
365.0,Frank Ntilikina,SG,24.0,5.2,-6.7,-0.7,-0.1,0.0876132930513595,0.1121495327102803,0.104,0.2061934794941101
366.0,Kendrick Nunn,SG,27.0,11.299999999999999,-3.3666666666666667,-0.26666666666666666,0.13333333333333333,0.2145015105740181,0.12461059190031147,0.1253333333333333,0.21839579092557368
368.0,Jordan Nwora,SF,24.0,12.200000000000001,-2.1,0.0,1.0,0.2789526686807653,0.14018691588785043,0.30666666666666664,0.27024171032580285
370.0,Chuma Okeke,SF,24.0,9.1,-1.6,0.1,0.7,0.1419939577039275,0.1308411214953271,0.288,0.1785964561017119
371.0,Josh Okogie,SG,24.0,13.3,-0.2,0.6,2.8,0.2205438066465256,0.1401869158878504,0.28,0.4561017118830714
373.0,Isaac Okoro,SF,22.0,10.7,-0.3,0.7,4.2,0.1933534743202417,0.102803738317757,0.2,0.5578469649948277
374.0,KZ Okpala,PF,23.0,6.2,-3.2,-0.1,0.3,0.039274924471299,0.0373831775700934,0.08,0.0844595721960823
377.0,Eugene Omoruyi,SF,25.0,10.9,-4.466666666666667,-0.26666666666666666,0.39999999999999997,0.21752265861027184,0.0685358255451713,0.2293333333333333,0.14836319951947136
378.0,Cedi Osman,SF,27.0,12.0,-0.7,0.5,3.3,0.2628398791540785,0.1401869158878504,0.184,0.5226082023559249
382.0,Gary Payton II,SG,30.0,14.1,0.7000000000000001,0.13333333333333333,0.6333333333333333,0.14501510574018125,0.1246105919003115,0.26666666666666666,0.08650626800591756
383.0,Theo Pinson,SG,27.0,10.1,-3.4,-0.1,0.5,0.0725075528700906,0.1121495327102803,0.128,0.1098208028831715
384.0,Scotty Pippen Jr.,PG,22.0,9.6,-5.9,0.0,0.0,0.0694864048338368,0.02803738317757,0.0559999999999999,0.0117796242533453
395.0,Dwight Powell,C,31.0,15.5,-1.2,0.3,5.1,0.202416918429003,0.0841121495327102,0.3279999999999999,0.4922748356525512
399.0,Taurean Prince,PF,28.0,10.0,-3.3,-0.4,1.3,0.2749244712990936,0.1495327102803738,0.192,0.4044782594186938
400.0,Payton Pritchard,PG,25.0,10.3,-3.4,-0.2,0.6,0.1691842900302114,0.1214953271028037,0.144,0.2183735442319885
401.0,Trevelin Queen,SG,25.0,6.0,-7.2,-0.1,-0.2,0.0906344410876132,0.0841121495327102,0.192,0.0260286314946441
404.0,Lester Quinones,SG,22.0,8.6,-10.2,0.0,0.0,0.0755287009063444,0.0467289719626168,0.064,0.0068408582774385
407.0,Cam Reddish,SF,23.0,10.6,-3.3333333333333335,-0.2333333333333333,0.6333333333333333,0.29305135951661626,0.13395638629283488,0.17866666666666664,0.2278395123524766
408.0,Davon Reed,SG,27.0,5.7,-5.699999999999999,-0.3,0.0,0.06646525679758306,0.0467289719626168,0.11999999999999995,0.11178963526545865
409.0,Paul Reed,C,23.0,19.2,-0.1,0.4,2.8,0.1268882175226586,0.0373831775700934,0.304,0.2549137384456235
410.0,Naz Reid,C,23.0,18.5,1.0,1.0,3.0,0.3474320241691843,0.102803738317757,0.392,0.422931891747589
411.0,Jared Rhoden,SG,23.0,6.5,-6.1,-0.2,0.1,0.0966767371601208,0.02803738317757,0.208,0.0701104548336503
413.0,Josh Richardson,SG,29.0,12.95,-1.15,0.25,1.4,0.3262839879154078,0.2803738317757009,0.21999999999999995,0.4288383888944506
414.0,Austin Rivers,SG,30.0,7.4,-2.8,-0.2,1.3,0.148036253776435,0.1308411214953271,0.128,0.3448793673040344
415.0,Duncan Robinson,SF,28.0,7.8,-5.0,-0.5,0.5,0.1933534743202417,0.102803738317757,0.128,0.2354256348650182
