Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
5.0,Nickeil Alexander-Walker,SG,21.0,8.9,-4.6,-0.4,-0.2,0.1661807580174927,0.1862745098039215,0.1139240506329113,0.2322331596216946,0.512,1.63
6.0,Grayson Allen,SG,24.0,12.0,-1.3,0.1,1.2,0.2536443148688047,0.1372549019607843,0.1392405063291139,0.2836904072572862,0.622,3.6
8.0,Kadeem Allen,PG,27.0,14.0,-0.9,0.0,0.1,0.1457725947521866,0.2058823529411765,0.0569620253164556,0.0489094769349546,0.573,2.99
9.0,Al-Farouq Aminu,PF,29.0,7.6,-3.0,-0.1,0.1,0.1253644314868804,0.1176470588235294,0.3037974683544303,0.1540629222157884,0.415,-2.39
10.0,Justin Anderson,SG,26.0,3.2,-7.7,-0.2,-0.1,0.0816326530612245,0.0784313725490196,0.1329113924050632,0.044663192433893,0.549,1.03
11.0,Kyle Anderson,SF,26.0,12.5,0.5,0.9,2.5,0.1690962099125364,0.2352941176470588,0.2721518987341771,0.5203242617255357,0.622,3.6
14.0,Kostas Antetokounmpo,PF,22.0,16.3,-0.7,0.0,0.1,0.0408163265306122,0.0392156862745098,0.0379746835443037,0.0084925690021231,0.524,0.43
15.0,Thanasis Antetokounmpo,SF,27.0,12.2,-3.2,0.0,0.2,0.0816326530612245,0.0784313725490196,0.0759493670886075,0.0515344528083381,0.707,3.61
16.0,Carmelo Anthony,PF,35.0,12.4,-3.6,-0.8,1.3,0.4489795918367347,0.1470588235294117,0.3987341772151898,0.7461107894228913,0.402,-3.96
17.0,OG Anunoby,SF,22.0,13.2,1.2,1.7,5.7,0.3090379008746355,0.1568627450980392,0.3354430379746835,0.8082995560702567,0.5,1.59
18.0,Ryan Arcidiacono,PG,25.0,9.0,-2.8,-0.2,1.4,0.1311953352769679,0.1666666666666666,0.120253164556962,0.3644084153638294,0.488,1.37
19.0,Trevor Ariza,SF,34.0,9.4,-0.6,0.3,1.1,0.1749271137026239,0.1568627450980392,0.291139240506329,0.3141092453194364,0.585,2.3
22.0,Dwayne Bacon,SG,24.0,6.1,-6.8,-0.8,-0.8,0.1661807580174927,0.1274509803921568,0.1645569620253164,0.2712217718587145,0.329,-5.89
27.0,Harrison Barnes,PF,27.0,13.3,-1.3,0.5,4.6,0.4227405247813411,0.2156862745098039,0.310126582278481,0.9706620343563018,0.585,2.3
29.0,Will Barton,SF,29.0,15.6,1.1,1.5,4.2,0.4402332361516035,0.3627450980392157,0.3987341772151898,0.7515923566878981,0.646,3.04
30.0,Keita Bates-Diop,PF,24.0,12.5,-0.9,0.2,1.0,0.1982507288629737,0.0784313725490196,0.1898734177215189,0.2553561088592935,0.512,-0.22
30.0,Keita Bates-Diop,SF,24.0,12.1,-5.0,-0.1,0.2,0.1545189504373177,0.0,0.1518987341772151,0.0424628450106157,0.646,3.04
31.0,Nicolas Batum,SF,31.0,9.2,-1.9,0.0,0.6,0.1049562682215743,0.2941176470588235,0.2848101265822784,0.2030496043234896,0.329,-5.89
