Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Álex Abrines,SG,23.0,10.1,-1.6,0.1,2.1,0.1898734177215189,0.0535714285714285,0.0921985815602837,0.34655552672548,0.488,0.96
2.0,Quincy Acy,PF,26.0,5.85,-7.6000000000000005,0.0,0.5,0.1376582278481012,0.02678571428571425,0.1631205673758865,0.09371756616502329,0.506,0.445
3.0,Steven Adams,C,23.0,16.5,-0.2,1.1,6.5,0.3575949367088608,0.0982142857142857,0.5460992907801419,0.7838933575505969,0.488,0.96
4.0,Arron Afflalo,SG,31.0,8.9,-3.6,-0.7,1.4,0.2658227848101265,0.1160714285714285,0.1418439716312056,0.5202062791904516,0.585,2.3
5.0,Alexis Ajinça,C,28.0,12.9,-3.3,-0.2,1.0,0.1677215189873417,0.0267857142857142,0.3191489361702128,0.1936299948105864,0.512,1.63
6.0,Cole Aldrich,C,28.0,12.7,-0.8,0.2,1.3,0.0537974683544303,0.0357142857142857,0.1773049645390071,0.1743642968344577,0.512,-0.22
7.0,LaMarcus Aldridge,PF,31.0,18.6,0.8,1.7,7.2,0.5474683544303798,0.1696428571428571,0.5177304964539007,0.7671899325376234,0.268,-9.82
8.0,Lavoy Allen,PF,27.0,11.6,-1.7,0.1,1.7,0.0917721518987341,0.0803571428571428,0.2553191489361702,0.2864880643487286,0.427,-2.91
9.0,Tony Allen,SG,35.0,13.3,-1.0,0.5,3.1,0.2879746835443038,0.125,0.3900709219858156,0.6288920601971978,0.622,3.6
10.0,Al-Farouq Aminu,PF,26.0,11.3,-1.1,0.4,1.9,0.2753164556962025,0.1428571428571428,0.5248226950354611,0.5838414634146342,0.402,-3.96
11.0,Chris Andersen,C,38.0,11.6,-2.5,0.0,0.2,0.0727848101265822,0.0357142857142857,0.1843971631205674,0.0394071094966268,0.622,5.23
12.0,Alan Anderson,SF,34.0,5.0,-6.1,-0.3,0.1,0.0917721518987341,0.0357142857142857,0.0567375886524822,0.1025882200311364,0.537,0.31
13.0,Justin Anderson,SF,23.0,13.75,-1.45,0.1,0.95,0.2373417721518987,0.08928571428571425,0.24468085106382975,0.2042520757654385,0.561,2.115
14.0,Kyle Anderson,SF,23.0,12.5,1.8,1.0,2.7,0.1075949367088607,0.1160714285714285,0.2056737588652482,0.3347820446289569,0.268,-9.82
15.0,Ryan Anderson,PF,28.0,13.5,-0.4,0.9,5.2,0.430379746835443,0.0803571428571428,0.326241134751773,0.6951868188894655,0.268,-7.62
16.0,Giannis Antetokounmpo,SF,22.0,26.1,7.3,6.7,12.4,0.7246835443037974,0.4821428571428572,0.624113475177305,0.933640373637779,0.707,3.61
17.0,Carmelo Anthony,SF,32.0,17.9,0.7,1.7,4.7,0.7088607594936708,0.2589285714285714,0.4184397163120568,0.8336468604047743,0.573,2.99
18.0,Joel Anthony,C,34.0,11.6,-2.1,0.0,0.4,0.0411392405063291,0.0178571428571428,0.1134751773049645,0.0409963674104826,0.268,-9.82
19.0,Trevor Ariza,SF,31.0,12.3,1.0,2.1,6.0,0.370253164556962,0.1964285714285714,0.4042553191489362,0.9099961079398028,0.268,-7.62
20.0,Darrell Arthur,PF,28.0,12.8,-0.1,0.3,1.1,0.2025316455696202,0.0892857142857142,0.1914893617021277,0.2116632070576025,0.646,3.04
21.0,Ömer Aşık,C,30.0,9.8,-3.7,-0.2,1.0,0.0854430379746835,0.0446428571428571,0.375886524822695,0.160709652309289,0.512,1.63
22.0,D.J. Augustin,PG,29.0,11.0,-3.0,-0.4,1.2,0.25,0.2410714285714286,0.1063829787234042,0.5045731707317074,0.415,-2.39
23.0,Luke Babbitt,SF,27.0,8.3,-2.0,0.0,1.8,0.1518987341772151,0.0446428571428571,0.1489361702127659,0.3498637778930981,0.537,-0.13
24.0,Ron Baker,SG,23.0,7.5,-4.7,-0.6,-0.1,0.1297468354430379,0.1875,0.1347517730496454,0.2826608718214842,0.573,2.99
25.0,Wade Baldwin,PG,20.0,6.5,-5.5,-0.3,-0.3,0.1012658227848101,0.1607142857142857,0.0992907801418439,0.1346977166580176,0.622,3.6
26.0,Leandro Barbosa,SG,34.0,11.5,-2.5,-0.1,0.6,0.1993670886075949,0.1071428571428571,0.1134751773049645,0.3163596263622211,0.549,2.08
27.0,J.J. Barea,PG,32.0,17.2,1.5,0.7,1.3,0.3449367088607595,0.4910714285714286,0.1702127659574468,0.2565516346652828,0.463,-0.14
28.0,Harrison Barnes,PF,24.0,16.3,-0.8,0.8,4.6,0.6075949367088607,0.1339285714285714,0.3546099290780142,0.9199857291126105,0.463,-0.14
29.0,Matt Barnes,SF,36.0,10.45,-1.15,0.1,1.0,0.2104430379746835,0.2276785714285714,0.3546099290780142,0.2949532952776336,0.5609999999999999,1.98
30.0,Will Barton,SG,26.0,15.5,0.2,1.0,3.3,0.4335443037974683,0.3035714285714286,0.3049645390070922,0.5615594187856773,0.646,3.04
31.0,Brandon Bass,PF,31.0,19.7,0.4,0.4,2.2,0.1772151898734177,0.0357142857142857,0.1773049645390071,0.1900947067981318,0.537,0.31
32.0,Nicolas Batum,SG,28.0,15.8,0.8,1.9,4.6,0.4778481012658228,0.5267857142857143,0.4397163120567376,0.859172288531396,0.329,-5.89
33.0,Jerryd Bayless,PG,28.0,8.7,-4.4,0.0,-0.1,0.3481012658227848,0.3839285714285714,0.2836879432624113,0.0300661650233523,0.659,4.37
34.0,Aron Baynes,C,30.0,13.1,-2.7,-0.2,3.0,0.1550632911392405,0.0357142857142857,0.3120567375886525,0.3815840685002595,0.207,-7.73
35.0,Kent Bazemore,SF,27.0,11.6,-1.0,0.5,2.1,0.3481012658227848,0.2142857142857143,0.2269503546099291,0.6447522055007785,0.5,0.32
36.0,Bradley Beal,SG,23.0,20.1,3.3,3.5,8.5,0.7310126582278481,0.3125,0.2198581560283688,0.8811948624805398,0.427,-1.06
37.0,Malik Beasley,SG,20.0,13.7,-0.6,0.1,0.2,0.120253164556962,0.0446428571428571,0.0567375886524822,0.0552996886351842,0.646,3.04
38.0,Michael Beasley,PF,28.0,17.8,-0.8,0.3,1.8,0.2974683544303797,0.0803571428571428,0.2411347517730496,0.3080241307732226,0.707,3.61
39.0,Marco Belinelli,SG,30.0,13.3,-1.1,0.4,3.2,0.3322784810126582,0.1785714285714285,0.1702127659574468,0.5838090295796575,0.329,-5.89
40.0,DeAndre' Bembry,SF,22.0,8.8,-3.5,-0.1,0.3,0.0854430379746835,0.0625,0.1134751773049645,0.1228593668915412,0.5,0.32
41.0,Dragan Bender,PF,19.0,5.3,-5.1,-0.4,-0.3,0.1075949367088607,0.0446428571428571,0.1702127659574468,0.1898352361183186,0.549,2.08
