Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP
1.0,Precious Achiuwa,PF,21.0,14.2,-4.1,-0.4,1.3,0.15625,0.0427350427350427,0.2377622377622377,0.2753650040761877
5.0,LaMarcus Aldridge,C,35.0,15.1,-0.9,0.2,0.8,0.428125,0.1452991452991453,0.3146853146853147,0.2089602015860075
6.0,Ty-Shon Alexander,SG,22.0,4.2,-6.5,-0.1,0.0,0.01875,0.0341880341880341,0.0489510489510489,0.0163418068628177
7.0,Nickeil Alexander-Walker,SG,22.0,12.5,-1.3,0.2,0.7,0.34375,0.188034188034188,0.2167832167832167,0.3790483954643149
8.0,Grayson Allen,SG,25.0,12.8,-0.2,0.6,2.7,0.33125,0.188034188034188,0.2237762237762237,0.4736530052619877
10.0,Al-Farouq Aminu,PF,30.0,7.266666666666667,-4.733333333333333,-0.13333333333333333,0.06666666666666667,0.11875000000000001,0.094017094017094,0.31235431235431227,0.11137873959336937
11.0,Kyle Anderson,PF,27.0,17.2,3.3,2.5,5.6,0.3875,0.3076923076923077,0.3986013986013986,0.7071444452679168
13.0,Kostas Antetokounmpo,PF,23.0,0.0,-12.6,-0.1,-0.2,0.025,0.0085470085470085,0.0909090909090909,0.0198992069962202
14.0,Thanasis Antetokounmpo,SF,28.0,10.3,-3.5,-0.2,0.7,0.090625,0.0683760683760683,0.1538461538461538,0.2055510264581635
15.0,Carmelo Anthony,PF,36.0,14.6,-1.1,0.4,2.6,0.41875,0.1282051282051282,0.2167832167832167,0.6331060549914771
18.0,Ryan Arcidiacono,PG,26.0,9.8,-2.3,0.0,0.9,0.096875,0.1111111111111111,0.1048951048951049,0.168309493811606
19.0,Trevor Ariza,SF,35.0,11.9,-1.1,0.2,1.6,0.29375,0.1538461538461538,0.3356643356643356,0.3197954494923293
20.0,D.J. Augustin,PG,33.0,12.6,-2.1,0.0,1.4000000000000001,0.25416666666666665,0.29059829059829057,0.12121212121212115,0.2840855752365424
21.0,Deni Avdija,SF,20.0,7.6,-3.1,-0.4,1.2,0.196875,0.1025641025641025,0.3426573426573426,0.4722078114577929
23.0,Udoka Azubuike,C,21.0,10.3,-3.8,0.0,0.1,0.034375,0.0,0.0629370629370629,0.0203068257615059
