Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Quincy Acy,PF,24.0,11.9,-3.1,-0.3,1.7,0.2099644128113879,0.0925925925925925,0.2933333333333333,0.4323562570462232,0.573,2.99
2.0,Jordan Adams,SG,20.0,12.8,1.4,0.2,0.4,0.1103202846975088,0.0462962962962962,0.06,0.0843225678095364,0.622,3.6
3.0,Steven Adams,C,21.0,14.1,-1.3,0.3,4.1,0.2740213523131672,0.0833333333333333,0.5,0.5949665097154984,0.488,0.96
4.0,Jeff Adrien,PF,28.0,14.2,-2.4,0.0,0.4,0.1245551601423487,0.0833333333333333,0.3,0.0748060216194707,0.512,-0.22
5.0,Arron Afflalo,SG,29.0,9.95,-2.8499999999999996,-0.15000000000000002,1.3,0.4466192170818505,0.13888888888888884,0.2033333333333333,0.42461370117381786,0.524,-0.45999999999999996
6.0,Alexis Ajinça,C,26.0,19.9,-0.3,0.4,3.2,0.2313167259786476,0.0648148148148148,0.3066666666666666,0.321340937727966,0.512,1.63
7.0,Furkan Aldemir,PF,23.0,12.0,-3.6,-0.2,1.4,0.0818505338078291,0.0648148148148148,0.2866666666666667,0.1827707407653027,0.659,4.37
8.0,Cole Aldrich,C,26.0,18.1,0.3,0.6,2.2,0.195729537366548,0.1111111111111111,0.3666666666666666,0.3282711055109755,0.573,2.99
9.0,LaMarcus Aldridge,PF,29.0,22.8,2.9,3.1,8.6,0.8327402135231315,0.1574074074074073,0.6799999999999999,0.8440214868359971,0.402,-3.96
10.0,Lavoy Allen,C,25.0,14.9,0.0,0.6,2.8,0.1779359430604982,0.1111111111111111,0.3399999999999999,0.3597718681610186,0.427,-2.91
11.0,Tony Allen,SG,33.0,14.6,1.6,1.5,4.1,0.3060498220640569,0.1296296296296296,0.2933333333333333,0.5544797400358114,0.622,3.6
12.0,Al-Farouq Aminu,SF,24.0,14.4,0.7,1.0,3.3,0.1992882562277579,0.074074074074074,0.3066666666666666,0.4584189933019431,0.463,-0.14
13.0,Lou Amundson,PF,32.0,8.15,-6.05,-0.25,0.2,0.1227758007117437,0.09259259259259256,0.25666666666666665,0.15924464487034945,0.5974999999999999,4.11
14.0,Chris Andersen,C,36.0,16.1,1.1,0.9,3.6,0.1886120996441281,0.0648148148148148,0.3333333333333333,0.3809602758803634,0.537,-0.13
15.0,Alan Anderson,SG,32.0,10.6,-1.5,0.2,2.7,0.2633451957295373,0.1018518518518518,0.1866666666666666,0.5854499635254327,0.549,1.03
16.0,Kyle Anderson,SF,21.0,8.2,-1.4,0.1,0.3,0.0782918149466192,0.074074074074074,0.1466666666666666,0.1216261025266927,0.268,-9.82
17.0,Ryan Anderson,PF,26.0,15.6,-0.3,0.7,3.5,0.487544483985765,0.0833333333333333,0.32,0.5638636514357716,0.512,1.63
18.0,Giannis Antetokounmpo,SG,20.0,14.8,0.0,1.2,6.2,0.4519572953736654,0.2407407407407407,0.4466666666666666,0.8523111612175873,0.707,3.61
19.0,Carmelo Anthony,SF,30.0,21.5,3.0,1.8,2.9,0.8612099644128113,0.287037037037037,0.44,0.4846806817428211,0.573,2.99
