Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
302.0,Georgios Kalaitzakis,SF,23.0,9.4,-6.8,-0.2,-0.1,0.5718954248366013,0.2777777777777777,0.2244897959183673,0.0711860884023832,0.488,0.96
303.0,Frank Kaminsky,C,28.0,21.3,4.9,0.3,0.9,0.3464052287581699,0.1296296296296296,0.3129251700680272,0.0689691007343771,0.549,2.08
304.0,Luke Kennard,SG,25.0,13.3,0.5,1.2,4.5,0.3888888888888889,0.1944444444444444,0.2244897959183673,0.6735485658861022,0.537,0.31
305.0,Braxton Key,SF,24.0,13.9,-3.2,-0.1,0.2,0.2810457516339869,0.1018518518518518,0.3605442176870748,0.0728141887210752,0.207,-7.73
308.0,Corey Kispert,SF,22.0,10.9,-2.3,-0.1,2.3,0.2679738562091503,0.1018518518518518,0.1836734693877551,0.631287238464736,0.427,-1.06
309.0,Maxi Kleber,PF,30.0,11.0,-0.4,0.6,3.0,0.2287581699346405,0.1111111111111111,0.4013605442176871,0.5101150062352777,0.463,-0.14
311.0,Nathan Knight,PF,24.0,18.7,-0.6,0.1,1.0,0.1209150326797385,0.0555555555555555,0.1564625850340136,0.0942912567548843,0.512,-0.22
313.0,John Konchar,SG,25.0,14.0,1.5,1.2,4.2,0.1568627450980392,0.1388888888888888,0.3129251700680272,0.4530622142164334,0.622,3.6
314.0,Furkan Korkmaz,SG,24.0,10.2,-3.1,-0.4,1.2,0.2483660130718954,0.1759259259259259,0.1768707482993197,0.4964320354718026,0.659,4.37
316.0,Vit Krejci,SG,21.0,8.5,-5.3,-0.6,0.6,0.2026143790849673,0.1759259259259259,0.2312925170068027,0.2462934737425522,0.488,0.96
318.0,Jonathan Kuminga,SF,19.0,15.2,-1.5,0.1,3.0,0.303921568627451,0.0833333333333333,0.2244897959183673,0.4156505473188305,0.537,1.66
319.0,Kyle Kuzma,PF,26.0,15.2,-0.2,1.0,2.0,0.5588235294117647,0.324074074074074,0.5782312925170068,0.7743522239157544,0.427,-1.06
321.0,Jeremy Lamb,SF,29.0,13.4,-0.5,0.2,0.9,0.2320261437908496,0.1203703703703703,0.163265306122449,0.2170915893030345,0.427,-2.91
321.0,Jeremy Lamb,SG,29.0,13.1,-1.5,0.0,0.3,0.2581699346405229,0.1666666666666666,0.2380952380952381,0.1173964251073853,0.585,2.3
322.0,Jock Landale,C,26.0,16.0,-0.4,0.2,1.5,0.1601307189542483,0.074074074074074,0.1768707482993197,0.207115144797007,0.268,-9.82
323.0,Romeo Langford,SG,22.0,9.3,-1.2,0.2,1.3,0.15359477124183,0.037037037037037,0.163265306122449,0.2572052099210198,0.695,6.38
324.0,Zach LaVine,SG,26.0,20.0,2.4,2.6,5.8,0.7973856209150326,0.4166666666666666,0.3129251700680272,0.8177566856034362,0.488,1.37
325.0,Jake Layman,SF,27.0,9.0,-3.9,-0.1,0.1,0.0784313725490196,0.0277777777777777,0.0748299319727891,0.0816821393930996,0.512,-0.22
326.0,Damion Lee,SG,29.0,10.9,-2.0,0.0,2.7,0.2418300653594771,0.0925925925925925,0.217687074829932,0.441284467230151,0.537,1.66
327.0,Saben Lee,PG,22.0,13.8,-0.4,0.2,0.9,0.1830065359477124,0.2685185185185185,0.163265306122449,0.2141817929887764,0.207,-7.73
328.0,Alex Len,C,28.0,13.1,-2.9,-0.1,0.9,0.196078431372549,0.1111111111111111,0.2789115646258503,0.2195857004295413,0.585,2.3
329.0,Caris LeVert,SG,27.0,14.350000000000001,-1.7,0.15,1.1,0.5277777777777777,0.38425925925925924,0.24489795918367346,0.31832825273659404,0.5245,1.1600000000000001
330.0,Kira Lewis Jr.,PG,20.0,9.8,-4.0,-0.2,-0.1,0.1928104575163398,0.1851851851851851,0.108843537414966,0.1223500069280864,0.512,1.63
332.0,Damian Lillard,PG,31.0,18.5,1.3,0.9,1.7,0.7843137254901961,0.6759259259259258,0.2789115646258503,0.3777192739365387,0.402,-3.96
333.0,Nassir Little,SF,21.0,13.5,-1.4,0.2,1.7,0.3202614379084967,0.1203703703703703,0.3809523809523809,0.3851669668837467,0.402,-3.96
334.0,Isaiah Livers,SF,23.0,11.1,-1.5,0.0,0.7,0.2091503267973856,0.1018518518518518,0.2040816326530612,0.1389774144381321,0.207,-7.73
335.0,Kevon Looney,C,25.0,15.7,0.9,1.3,6.8,0.196078431372549,0.1851851851851851,0.4965986394557823,0.6065886102258555,0.537,1.66
336.0,Brook Lopez,C,33.0,16.0,-1.3,0.1,0.7,0.4052287581699346,0.0462962962962962,0.2789115646258503,0.1104683386448662,0.707,3.61
337.0,Robin Lopez,C,33.0,13.7,-3.8,-0.3,0.8,0.2320261437908496,0.1388888888888888,0.2380952380952381,0.2171955105999722,0.415,-2.39
339.0,Kevin Love,C,33.0,19.6,4.5,2.7,5.7,0.4444444444444444,0.2037037037037037,0.489795918367347,0.5838644866287931,0.622,5.23
340.0,Kyle Lowry,PG,35.0,15.0,2.0,2.1,6.4,0.4379084967320261,0.6944444444444444,0.3061224489795918,0.7499307191353748,0.537,-0.13
342.0,Timothé Luwawu-Cabarrot,SF,26.0,9.3,-3.3,-0.2,0.9,0.1437908496732026,0.074074074074074,0.108843537414966,0.2411666897602882,0.5,0.32
343.0,Trey Lyles,PF,26.0,16.35,-0.5,0.3,1.8,0.3431372549019608,0.11111111111111105,0.3537414965986394,0.2728280448940002,0.39599999999999996,-2.7150000000000003
344.0,Théo Maledon,PG,20.0,10.6,-4.4,-0.6,0.3,0.2320261437908496,0.2037037037037037,0.1768707482993197,0.320008313703755,0.488,0.96
345.0,Sandro Mamukelashvili,PF,22.0,14.7,-0.3,0.2,1.1,0.1241830065359477,0.0462962962962962,0.1360544217687075,0.1437231536649577,0.707,3.61
346.0,Terance Mann,SF,25.0,13.4,-0.6,0.8,5.5,0.3529411764705882,0.2407407407407407,0.3537414965986394,0.8118331716779824,0.537,0.31
347.0,Tre Mann,PG,20.0,10.2,-4.4,-0.8,0.1,0.3398692810457516,0.1388888888888888,0.1972789115646258,0.480739919634197,0.488,0.96
349.0,Lauri Markkanen,SF,24.0,14.7,0.4,1.1,5.0,0.4836601307189542,0.1203703703703703,0.3877551020408163,0.6605237633365664,0.622,5.23
350.0,Naji Marshall,SF,24.0,12.3,-3.2,-0.2,0.8,0.1862745098039215,0.1018518518518518,0.1768707482993197,0.258556186781211,0.512,1.63
351.0,Caleb Martin,SF,26.0,14.8,1.1,1.1,4.0,0.3006535947712418,0.1018518518518518,0.2585034013605442,0.4825065816821394,0.537,-0.13
352.0,Cody Martin,SF,26.0,12.7,-0.5,0.7,3.9,0.2516339869281045,0.2314814814814814,0.272108843537415,0.6548080920049881,0.329,-5.89
353.0,Kelan Martin,SF,26.0,9.7,-3.3,-0.1,0.1,0.2058823529411764,0.074074074074074,0.1360544217687075,0.1587917417209366,0.427,-2.91
