Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,Álex Abrines,SG,25.0,6.3,-3.3,-0.2,0.6,0.1468144044321329,0.0560747663551401,0.0961538461538461,0.1975252211955989,0.488,0.96
2.0,Quincy Acy,PF,28.0,2.9,-8.1,-0.2,-0.1,0.0470914127423822,0.0747663551401869,0.1602564102564102,0.0435208462568154,0.549,2.08
3.0,Jaylen Adams,PG,22.0,7.6,-4.3,-0.2,0.1,0.0886426592797784,0.1775700934579439,0.1153846153846153,0.1431976231675862,0.5,0.32
6.0,Deng Adel,SF,21.0,2.7,-7.5,-0.3,-0.2,0.0470914127423822,0.02803738317757,0.0641025641025641,0.0660158673152894,0.622,5.23
7.0,DeVaughn Akoon-Purcell,SG,25.0,8.2,-5.8,0.0,0.0,0.0277008310249307,0.0841121495327102,0.0384615384615384,0.0075418720820137,0.646,3.04
9.0,Rawle Alkins,SG,21.0,8.1,-7.3,-0.2,-0.1,0.1024930747922437,0.1214953271028037,0.1666666666666666,0.0424434359593848,0.488,1.37
10.0,Grayson Allen,SG,23.0,7.5,-6.3,-0.5,0.0,0.1551246537396121,0.0654205607476635,0.0384615384615384,0.1387247379934049,0.451,-1.03
12.0,Kadeem Allen,PG,26.0,16.2,0.5,0.3,1.0,0.2742382271468144,0.3738317757009346,0.1730769230769231,0.1423161056515067,0.573,2.99
14.0,Justin Anderson,SF,25.0,11.2,-2.7,-0.1,0.4,0.1024930747922437,0.0467289719626168,0.1153846153846153,0.1536452381729733,0.5,0.32
16.0,Ryan Anderson,PF,30.0,4.55,-6.4,-0.15,-0.1,0.060941828254847605,0.060747663551401855,0.12499999999999994,0.05564987430213195,0.543,0.9750000000000001
19.0,Kostas Antetokounmpo,PF,21.0,-0.9,-12.7,0.0,-0.1,0.0277008310249307,0.0,0.032051282051282,0.004734075549316,0.463,-0.14
21.0,OG Anunoby,SF,21.0,9.8,-2.4,-0.1,2.0,0.1939058171745152,0.0654205607476635,0.1858974358974359,0.4473538150119168,0.5,1.59
22.0,Ryan Arcidiacono,PG,24.0,11.6,-1.9,0.1,3.7,0.185595567867036,0.308411214953271,0.1730769230769231,0.6474909399588625,0.488,1.37
23.0,Trevor Ariza,SF,33.0,13.0,-1.4,0.2,1.9,0.3905817174515235,0.3551401869158878,0.3397435897435897,0.4887851382676548,0.427,-1.06
28.0,Ron Baker,SG,25.0,4.4,-6.6,-0.1,0.0,0.0360110803324099,0.1121495327102803,0.0384615384615384,0.0374481700349342,0.573,2.99
29.0,Wade Baldwin,PG,22.0,1.3,-10.3,-0.2,-0.3,0.0526315789473684,0.0747663551401869,0.0576923076923076,0.031963172157106,0.402,-3.96
33.0,Harrison Barnes,SF,26.0,12.3,-1.7,0.1,1.7,0.3961218836565097,0.1775700934579439,0.3525641025641026,0.3202520487120049,0.585,2.3
34.0,Will Barton,SF,28.0,11.0,-1.8,0.0,1.2,0.3185595567867036,0.2710280373831776,0.2948717948717949,0.3965849358451141,0.646,3.04
35.0,Keita Bates-Diop,SF,23.0,9.6,-3.4,-0.2,0.3,0.1385041551246537,0.0560747663551401,0.1794871794871795,0.1690554703059192,0.512,-0.22
37.0,Jerryd Bayless,PG,30.0,8.5,-4.6,-0.4,0.0,0.1689750692520775,0.3271028037383178,0.1153846153846153,0.2201508374416402,0.512,-0.22
38.0,Aron Baynes,C,32.0,14.0,-1.5,0.1,2.4,0.1551246537396121,0.102803738317757,0.3012820512820513,0.2726501028437102,0.695,6.38
39.0,Kent Bazemore,SG,29.0,11.9,-2.3,-0.1,0.7,0.3213296398891966,0.2149532710280373,0.25,0.5437657122335042,0.5,0.32
41.0,Malik Beasley,SG,22.0,14.2,0.1,1.0,4.5,0.3130193905817174,0.1121495327102803,0.1602564102564102,0.6203924385386399,0.646,3.04
42.0,Michael Beasley,PF,30.0,15.9,-1.5,0.0,0.2,0.1939058171745152,0.0934579439252336,0.1474358974358974,0.0932776127199712,0.524,0.43
44.0,Jordan Bell,C,24.0,12.9,-0.9,0.2,1.6,0.0914127423822714,0.102803738317757,0.1730769230769231,0.2604068040092722,0.537,1.66
45.0,DeAndre' Bembry,SG,24.0,10.8,-2.4,-0.2,0.9,0.2326869806094182,0.2336448598130841,0.2820512820512821,0.6374677593130693,0.5,0.32
46.0,Dragan Bender,PF,21.0,9.5,-4.1,-0.5,0.5,0.1385041551246537,0.1121495327102803,0.2564102564102564,0.2749028698292468,0.549,2.08
49.0,Patrick Beverley,PG,30.0,11.8,0.9,1.5,4.8,0.2105263157894736,0.3551401869158878,0.3205128205128205,0.70599758398903,0.537,0.31
50.0,Khem Birch,C,26.0,19.2,1.2,0.5,2.8,0.1329639889196675,0.0747663551401869,0.2435897435897435,0.213490482875706,0.415,-2.39
52.0,Nemanja Bjelica,PF,30.0,15.4,0.9,1.3,4.5,0.2659279778393351,0.1775700934579439,0.3717948717948718,0.5906820333670704,0.585,2.3
53.0,Antonio Blakeney,SG,22.0,10.6,-5.2,-0.7,-0.5,0.2022160664819944,0.0654205607476635,0.1217948717948717,0.2747396258447876,0.488,1.37
55.0,Jaron Blossomgame,SF,25.0,10.2,-3.8,-0.2,0.3,0.1163434903047091,0.0467289719626168,0.2307692307692307,0.1479969963106859,0.622,5.23
56.0,Bogdan Bogdanović,SG,26.0,14.1,-0.6,0.7,2.7,0.3905817174515235,0.3551401869158878,0.2243589743589743,0.6440954650821117,0.585,2.3
58.0,Andrew Bogut,C,34.0,13.4,-2.9,0.0,0.3,0.0969529085872576,0.0934579439252336,0.3205128205128205,0.0470795651180254,0.537,1.66
60.0,Isaac Bonga,PG,19.0,6.0,-4.8,-0.1,-0.1,0.0249307479224376,0.0654205607476635,0.0705128205128205,0.0403212641614156,0.524,0.43
63.0,Avery Bradley,SG,28.0,5.5,-4.6,-1.0,-0.3,0.2271468144044321,0.1869158878504673,0.1730769230769231,0.4867609128603611,0.537,0.31
65.0,Corey Brewer,SF,32.0,12.0,-0.4,0.1,0.8,0.113573407202216,0.1121495327102803,0.1602564102564102,0.1190701622645205,0.585,2.3
68.0,Isaiah Briscoe,PG,22.0,6.7,-5.0,-0.4,0.3,0.0969529085872576,0.205607476635514,0.1217948717948717,0.1865225766430507,0.415,-2.39
69.0,Ryan Broekhoff,SG,28.0,10.7,-1.0,0.1,0.8,0.1108033240997229,0.0467289719626168,0.0961538461538461,0.1507721440464919,0.463,-0.14
71.0,Dillon Brooks,SF,23.0,7.6,-6.3,-0.4,0.0,0.2077562326869806,0.0841121495327102,0.1089743589743589,0.113062783636423,0.622,3.6
72.0,MarShon Brooks,SG,30.0,11.6,-3.0,-0.1,0.1,0.1828254847645429,0.0841121495327102,0.1025641025641025,0.1300401580201769,0.622,3.6
74.0,Jaylen Brown,SG,22.0,13.5,-2.1,0.0,3.0,0.3601108033240997,0.1308411214953271,0.2692307692307693,0.6323745469979432,0.695,6.38
75.0,Lorenzo Brown,PG,28.0,6.3,-3.5,-0.1,-0.1,0.0581717451523545,0.102803738317757,0.0769230769230769,0.0712396748179829,0.5,1.59
76.0,Sterling Brown,SG,23.0,10.9,-1.5,0.1,2.1,0.1772853185595568,0.1308411214953271,0.2051282051282051,0.3427470697704789,0.707,3.61
77.0,Troy Brown Jr.,SF,19.0,11.1,-2.7,-0.1,0.6,0.1329639889196675,0.1401869158878504,0.1794871794871795,0.2422540729374122,0.427,-1.06
78.0,Jalen Brunson,PG,22.0,12.8,-1.7,0.1,2.6,0.2576177285318559,0.2990654205607477,0.1474358974358974,0.5259068203336706,0.463,-0.14
80.0,Reggie Bullock,SG,27.0,9.1,-2.2,0.0,0.7,0.2576177285318559,0.102803738317757,0.1666666666666666,0.1794377877175226,0.524,0.43
81.0,Trey Burke,PG,26.0,16.75,0.3,0.25,0.95,0.2977839335180055,0.25233644859813087,0.10897435897435889,0.1892487511835188,0.518,1.425
82.0,Alec Burks,SG,27.0,11.533333333333333,-1.0333333333333334,0.06666666666666667,0.5333333333333333,0.20036934441366563,0.1526479750778816,0.188034188034188,0.15490765831945752,0.5526666666666666,2.1666666666666665
83.0,Deonte Burton,SG,25.0,7.0,-4.3,-0.1,0.1,0.0720221606648199,0.02803738317757,0.0576923076923076,0.0801527963694537,0.488,0.96
87.0,Kentavious Caldwell-Pope,SG,25.0,12.9,-0.5,0.8,4.0,0.3157894736842105,0.1214953271028037,0.1858974358974359,0.6718469424401711,0.524,0.43
88.0,Isaiah Canaan,PG,27.0,9.8,-2.9499999999999997,-0.15,0.05,0.16897506925207756,0.2803738317757009,0.1057692307692307,0.10351301054556135,0.5305,0.93
90.0,DeMarre Carroll,PF,32.0,12.1,-1.5,0.2,3.1,0.3074792243767312,0.1214953271028037,0.3333333333333333,0.5636488295406314,0.549,1.03
91.0,Jevon Carter,PG,23.0,7.8,-4.0,-0.3,0.0,0.1218836565096952,0.1682242990654205,0.1089743589743589,0.19256260406804,0.622,3.6
92.0,Vince Carter,PF,42.0,11.8,-0.7,0.5,1.9,0.2049861495844875,0.102803738317757,0.1666666666666666,0.4392895621796336,0.5,0.32
94.0,Michael Carter-Williams,PG,27.0,16.1,2.4,0.3,0.6,0.149584487534626,0.3831775700934579,0.3076923076923077,0.0796304156191844,0.415,-2.39
95.0,Alex Caruso,PG,24.0,13.9,-0.2,0.2,1.0,0.2548476454293628,0.2897196261682243,0.1730769230769231,0.1796336804988736,0.524,0.43
96.0,Omri Casspi,SF,30.0,15.7,0.4,0.3,1.3,0.1745152354570637,0.0654205607476635,0.2051282051282051,0.173822194652127,0.622,3.6
99.0,Tyler Cavanaugh,PF,24.0,5.0,-8.4,-0.1,0.0,0.0221606648199446,0.0093457943925233,0.0448717948717948,0.0132227627411929,0.451,-1.03
100.0,Tyson Chandler,C,36.0,11.35,-3.1999999999999997,-0.05,1.05,0.0941828254847645,0.07009345794392516,0.358974358974359,0.14693591041170131,0.5365,1.2550000000000001
101.0,Wilson Chandler,PF,31.0,9.1,-2.0,0.0,1.5,0.185595567867036,0.1869158878504673,0.3012820512820513,0.318456364882954,0.659,4.37
101.0,Wilson Chandler,SF,31.0,5.8,-6.1,-0.2,0.0,0.1191135734072022,0.0654205607476635,0.1987179487179487,0.0780632733683763,0.537,0.31
104.0,Marquese Chriss,PF,21.0,10.7,-6.6,-0.5,0.0,0.1578947368421052,0.0560747663551401,0.2692307692307693,0.1330764961311175,0.622,5.23
106.0,Ian Clark,SG,27.0,8.3,-5.1,-0.8,-0.1,0.185595567867036,0.1495327102803738,0.0961538461538461,0.3223089229161905,0.512,1.63
111.0,Bonzie Colson,SF,23.0,12.9,-3.5,0.0,0.2,0.1357340720221606,0.0373831775700934,0.2435897435897435,0.0353586470338568,0.707,3.61
113.0,Pat Connaughton,SG,26.0,13.6,1.2,1.0,3.9,0.1911357340720221,0.1869158878504673,0.2692307692307693,0.4178066538248066,0.707,3.61
114.0,Quinn Cook,PG,25.0,13.1,-2.1,0.0,1.8,0.1911357340720221,0.1495327102803738,0.1346153846153846,0.3497665611022234,0.537,1.66
117.0,Allen Crabbe,SG,26.0,7.7,-2.8,-0.2,0.8,0.2659279778393351,0.102803738317757,0.2179487179487179,0.3778445264292011,0.549,1.03
118.0,Torrey Craig,SF,28.0,10.4,-1.9,0.0,3.0,0.1578947368421052,0.0934579439252336,0.2243589743589743,0.4965882007248032,0.646,3.04
119.0,Jamal Crawford,SG,38.0,11.7,-3.9,-0.6,0.2,0.2188365650969529,0.3364485981308411,0.0833333333333333,0.4008945770348363,0.549,2.08
120.0,Mitch Creek,SF,26.0,21.5,5.7,0.1,0.2,0.1052631578947368,0.1214953271028037,0.1602564102564102,0.0140389826634888,0.549,1.03
121.0,Jae Crowder,SF,28.0,12.1,0.3,1.2,4.4,0.3296398891966759,0.1588785046728972,0.3076923076923077,0.7153677886969865,0.451,-1.03
123.0,Seth Curry,SG,28.0,11.4,-1.0,0.3,2.4,0.2188365650969529,0.0841121495327102,0.1025641025641025,0.4622743151914852,0.402,-3.96
125.0,Troy Daniels,SG,27.0,9.8,-3.7,-0.3,0.3,0.1717451523545706,0.0467289719626168,0.0897435897435897,0.2523425511769891,0.549,2.08
127.0,Deyonta Davis,C,22.0,15.6,-2.0,0.0,0.4,0.1108033240997229,0.0560747663551401,0.2564102564102564,0.0421495967873583,0.5,0.32
131.0,Sam Dekker,PF,24.0,13.6,-1.5,0.0,0.55,0.1717451523545706,0.0934579439252336,0.21474358974358976,0.13371314767050824,0.5245,2.085
132.0,Ángel Delgado,C,24.0,4.3,-12.0,0.0,0.0,0.0415512465373961,0.0,0.1282051282051282,0.006693003362826,0.537,0.31
133.0,Matthew Dellavedova,PG,28.0,9.5,-4.3,-0.25,0.25,0.12465373961218829,0.308411214953271,0.08653846153846145,0.13647197100786834,0.6645,4.42
134.0,Luol Deng,SF,33.0,14.6,0.0,0.2,0.8,0.1966759002770083,0.0747663551401869,0.2115384615384615,0.1331417937249012,0.512,-0.22
136.0,Marcus Derrickson,PF,22.0,19.4,-2.7,0.0,0.2,0.1163434903047091,0.0093457943925233,0.0769230769230769,0.0232132945900943,0.537,1.66
137.0,Cheick Diallo,PF,22.0,17.5,-0.9,0.2,2.6,0.1662049861495844,0.0467289719626168,0.3333333333333333,0.2964510757778575,0.512,1.63
138.0,Hamidou Diallo,SG,20.0,10.1,-4.2,-0.3,0.8,0.1024930747922437,0.02803738317757,0.1217948717948717,0.1744425217930719,0.488,0.96
139.0,Gorgui Dieng,C,29.0,18.1,0.6,0.7,2.8,0.1772853185595568,0.0841121495327102,0.2628205128205128,0.3403963563942668,0.512,-0.22
141.0,Donte DiVincenzo,SG,22.0,9.1,-2.2,0.0,0.6,0.1357340720221606,0.102803738317757,0.1538461538461538,0.1384961964151621,0.707,3.61
143.0,Tyler Dorsey,SG,22.0,10.45,-3.8000000000000003,-0.15000000000000002,0.3,0.18144044321329633,0.116822429906542,0.157051282051282,0.11828659113911649,0.5609999999999999,1.96
144.0,Damyean Dotson,SG,24.0,10.8,-2.6,-0.3,1.5,0.2963988919667589,0.1682242990654205,0.2307692307692307,0.6626073329197819,0.573,2.99
145.0,PJ Dozier,SG,22.0,16.0,-2.0,0.0,0.1,0.0886426592797784,0.0747663551401869,0.1794871794871795,0.0187730582128048,0.695,6.38
148.0,Jared Dudley,PF,33.0,7.8,-1.8,0.1,1.8,0.1357340720221606,0.1308411214953271,0.1666666666666666,0.4044206470991544,0.549,1.03
