Antecedent,Consequent,Support,Confidence,Lift
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_WS<5')","('Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_PER<15')",0,1.0,0
"('Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_WS<5')","('Justin Holiday_-5<=BPM<0', 'Justin Holiday_PER<15')",0,1.0,0
"('Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15')","('Justin Holiday_-5<=BPM<0', 'Justin Holiday_WS<5')",0,1.0,0
"('Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15', 'Justin Holiday_WS<5')","('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0.25<=WLp<0.5')",0,1.0,0
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15')","('Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_WS<5')",0,1.0,0
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15')","('Justin Holiday_WS<5',)",0,1.0,0
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_WS<5')","('Justin Holiday_PER<15',)",0,1.0,0
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_PER<15', 'Justin Holiday_WS<5')","('Justin Holiday_0<=SRS<5',)",0,1.0,0
"('Justin Holiday_-5<=BPM<0', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15', 'Justin Holiday_WS<5')","('Justin Holiday_0.25<=WLp<0.5',)",0,1.0,0
"('Justin Holiday_0.25<=WLp<0.5', 'Justin Holiday_0<=SRS<5', 'Justin Holiday_PER<15', 'Justin Holiday_WS<5')","('Justin Holiday_-5<=BPM<0',)",0,1.0,0
"('Jae Crowder_0<=BPM<5',)","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_PER<15',)","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_VORP<5',)","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_PER<15')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_VORP<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_VORP<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_PER<15', 'Jae Crowder_VORP<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_WS<5')",0,1.0,0
"('Jae Crowder_WS<5',)","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=BPM<5', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')",0,1.0,0
"('Jae Crowder_0<=BPM<5', 'Jae Crowder_WS<5')","('Jae Crowder_0.5<=WLp<0.75', 'Jae Crowder_0<=SRS<5', 'Jae Crowder_PER<15', 'Jae Crowder_VORP<5')",0,1.0,0
