Player,Trade Value_2022,Trade Value_2023,Difference_TV,WLp_2022,WLp_2023,Difference_WLp,SRS_2022,SRS_2023,Difference_SRS
Juan Toscano-Anderson,-0.678421011,-0.942483448,-0.264062437,0.537,0.4875,-0.049500000000000044,1.66,-0.3,-1.96
Jalen McDaniels,-0.683342405,-0.365521596,0.317820809,0.329,0.494,0.16499999999999998,-5.89,-0.76,5.13
Ty Jerome,-0.833370177,-0.27110639,0.562263787,0.488,0.537,0.049000000000000044,0.96,1.66,0.7
Serge Ibaka,-0.957141197,-0.96516006,-0.008018862999999987,0.622,0.707,0.08499999999999996,1.96,3.61,1.65
Nickeil Alexander-Walker,-0.907002591,-0.573854968,0.333147623,0.4815,0.4815,0.0,0.3,-0.625,-0.925
Davon Reed,-0.710948566,-1.23216429,-0.521215724,0.646,0.646,0.0,3.04,3.04,0.0
Cam Reddish,-0.751306253,-0.63098585,0.12032040300000002,0.5365,0.4875,-0.04899999999999999,1.655,-0.485,-2.14
Collin Sexton,-0.86771277,0.009868124,0.8775808940000001,0.622,0.451,-0.17099999999999999,5.23,-1.03,-6.260000000000001
Jordan Nwora,-0.942742129,-0.411414978,0.5313271509999999,0.707,0.567,-0.14,3.61,0.35,-3.26
Ish Smith,-1.04473008,-1.208978184,-0.16424810400000012,0.378,0.646,0.268,-3.475,3.04,6.515000000000001
Svi Mykhailiuk,-1.018538426,-0.290413501,0.7281249250000001,0.5,0.329,-0.17099999999999999,1.59,-5.89,-7.4799999999999995
Markieff Morris,-1.152650645,-0.784467716,0.36818292900000005,0.537,0.549,0.01200000000000001,-0.13,1.03,1.1600000000000001
Kessler Edwards,-1.004294253,-0.747855188,0.25643906500000013,0.549,0.585,0.03599999999999992,1.03,2.3,1.2699999999999998
Aaron Nesmith,-1.214279948,-0.297122912,0.9171570359999999,0.695,0.427,-0.26799999999999996,6.38,-2.91,-9.29
