Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting),Predicted WLp (DecisionTree),Predicted WLp (RandomForest),Predicted WLp (GradientBoosting),Predicted SRS (DecisionTree),Predicted SRS (RandomForest),Predicted SRS (GradientBoosting)
262,Frank Kaminsky,C,29,14.9,2.6,0.2,0.5,0.081570997,0.074766355,0.112,0.06286509,0.5,0.32,-0.479331646,-0.404633365,-0.418424804,-0.427087182,0.503932624,0.504477885,0.499273275,0.109143026,0.122744987,-0.003734952
91,Josh Christopher,SG,21,11.5,-4.3,-0.5,0,0.175226586,0.102803738,0.088,0.276877608,0.268,-7.62,-0.81479035,-0.330387808,-0.421658511,-0.417084415,0.504073129,0.503952846,0.501022441,0.152942177,0.159337781,-0.01887161
370,Chuma Okeke,SF,24,9.1,-1.6,0.1,0.7,0.141993958,0.130841121,0.288,0.186091794,0.415,-2.39,-0.585004845,-0.473280718,-0.426994969,-0.422057202,0.506668716,0.506953653,0.511575045,0.245491803,0.252771118,0.178129397
420,David Roddy,PF,21,8.8,-3.9,-0.6,1.1,0.202416918,0.074766355,0.224,0.442976356,0.622,3.6,-0.66747082,-0.511207565,-0.428076964,-0.432382929,0.504073129,0.503952846,0.503021254,0.152942177,0.159337781,0.157084661
30,Will Barton,SG,32,9.95,-2.6,-0.05,0.2,0.18429003,0.163551402,0.176,0.177642559,0.4635,0.265,-0.726342259,-0.446182945,-0.430467071,-0.393682831,0.498590909,0.497803163,0.508271683,-0.096093074,-0.113315079,0.145379025
165,Anthony Gill,PF,30,11.1,-3.3,-0.2,1.3,0.099697885,0.056074766,0.136,0.219958275,0.427,-1.06,-0.790991928,-0.414565785,-0.443001458,-0.517235281,0.487382096,0.486751871,0.507134365,-0.40930131,-0.427481533,0.010610273
219,Danuel House Jr.,SF,29,9.4,-3,-0.2,1.3,0.145015106,0.074766355,0.136,0.284909597,0.659,4.37,-0.751213979,-0.379788408,-0.447180396,-0.478702626,0.503932624,0.504477885,0.509084759,0.109143026,0.122744987,0.293479083
162,Taj Gibson,C,37,11.4,-3.2,-0.1,0.8,0.102719033,0.065420561,0.152,0.16961057,0.427,-1.06,-0.839837134,-0.446886633,-0.448394718,-0.517827467,0.462916667,0.463911269,0.503114363,-1.46,-1.451458185,0.010610273
281,Romeo Langford,SG,23,10.4,-4.2,-0.5,0.5,0.208459215,0.112149533,0.216,0.299582754,0.268,-9.82,-0.712617559,-0.606273472,-0.449463872,-0.408381065,0.504676727,0.504578297,0.50701829,0.217796781,0.214176249,0.157084661
333,Patty Mills,PG,34,10.6,-3.1,-0.2,0.4,0.187311178,0.130841121,0.088,0.201390821,0.549,1.03,-0.808644626,-0.448354535,-0.458190141,-0.411654339,0.492780797,0.491827704,0.512160347,-0.254981884,-0.302217811,0.145379025
271,Kevin Knox,PF,23,12.4,-4.6,-0.2,0.1,0.256797583,0.08411215,0.264,0.130076495,0.402,-3.96,-0.695643585,-0.547829035,-0.458346553,-0.470470164,0.504676727,0.504578297,0.510810419,0.217796781,0.214176249,0.085858823
188,R.J. Hampton,SG,21,10.9,-2.8,-0.05,0.35,0.196374622,0.107476636,0.152,0.135326843,0.311,-5.06,-0.694784119,-0.553164621,-0.458698359,-0.427309718,0.504073129,0.503952846,0.505331135,0.152942177,0.159337781,0.157084661
210,Haywood Highsmith,PF,26,8.5,-3.1,-0.3,0.9,0.132930514,0.074766355,0.28,0.342454798,0.537,-0.13,-0.695135036,-0.403931887,-0.46201772,-0.474984029,0.500747852,0.50146367,0.505054667,0.054269759,0.07064454,0.180733291
468,Dalen Terry,SG,20,14.1,0,0.1,0.5,0.066465257,0.056074766,0.08,0.07566064,0.488,1.37,-0.618596395,-0.389538849,-0.463736111,-0.466892311,0.49805314,0.498016101,0.468802734,-0.06852657,-0.072388191,-0.160907682
134,Chris Duarte,SF,25,8.6,-4.5,-0.6,0,0.238670695,0.130841121,0.2,0.317976356,0.427,-2.91,-0.799383437,-0.4751374,-0.463747701,-0.548493886,0.508199225,0.507789807,0.507343155,0.308763566,0.295673654,-0.382851857
271,Kevin Knox,SF,23,10.3,-2.8,-0.1,0.5,0.16918429,0.037383178,0.208,0.210396384,0.207,-7.73,-0.711652933,-0.505396739,-0.467009275,-0.440106964,0.504676727,0.504578297,0.508599282,0.217796781,0.214176249,-0.01887161
382,Gary Payton II,SG,30,11.3,-0.6,0.1,0.5,0.123867069,0.140186916,0.208,0.093880389,0.402,-3.96,-0.614984982,-0.511986494,-0.467347396,-0.474419049,0.487382096,0.486751871,0.497600529,-0.40930131,-0.427481533,0.408765468
533,McKinley Wright IV,PG,24,12.4,-2.7,-0.1,0.5,0.126888218,0.196261682,0.136,0.120097357,0.463,-0.14,-0.671660961,-0.467675334,-0.468157666,-0.42222263,0.506668716,0.506953653,0.506149688,0.245491803,0.252771118,0.320191099
160,Rudy Gay,PF,36,9,-4,-0.4,0.3,0.157099698,0.093457944,0.232,0.288108484,0.451,-1.03,-0.853332813,-0.551056056,-0.476455741,-0.484038995,0.519456522,0.519684744,0.510310912,0.540434783,0.571124204,0.402478177
