Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value (DecisionTree),Predicted Trade Value (RandomForest),Predicted Trade Value (GradientBoosting)
325,Jake Layman,SF,27,9,-3.9,-0.1,0.1,0.078431373,0.027777778,0.074829932,0.081682139,0.512,-0.22,-1.389498692,-1.215624814,-1.119906033,-1.118361523
552,Denzel Valentine,SG,28,8.4,-2.4,0,0.2,0.094771242,0.046296296,0.115646259,0.073195233,0.622,5.23,-1.321723003,-1.219311566,-1.122495029,-1.077083824
18,Trevor Ariza,SF,36,7,-3.4,-0.2,0.2,0.130718954,0.101851852,0.231292517,0.166031592,0.524,0.43,-1.513325249,-1.094428552,-1.122658328,-1.033924114
580,Joe Wieskamp,SG,22,7.1,-3.9,-0.1,0.1,0.068627451,0.027777778,0.034013605,0.072779548,0.268,-9.82,-1.329438706,-1.028149233,-1.133828546,-1.18709402
524,Keifer Sykes,PG,28,5.9,-6.9,-0.7,-0.5,0.183006536,0.175925926,0.095238095,0.201503395,0.427,-2.91,-1.566006243,-1.450991874,-1.142702141,-1.152780423
128,Ed Davis,C,32,9.3,-1.8,0,0.5,0.029411765,0.018518519,0.142857143,0.071186088,0.622,5.23,-1.38656647,-1.295558947,-1.149906109,-1.050886096
490,Tomáš Satoranský,SG,30,6.5,-5.6,-0.4,0,0.091503268,0.222222222,0.136054422,0.171123736,0.512,1.63,-1.480293294,-1.285021788,-1.157674881,-1.228564944
410,Daishen Nix,SG,19,8.1,-6.4,-0.3,-0.2,0.104575163,0.157407407,0.095238095,0.093494527,0.268,-7.62,-1.280565721,-1.089510728,-1.163889887,-1.141890826
39,Kent Bazemore,SF,32,6,-4.3,-0.3,0.1,0.111111111,0.083333333,0.12244898,0.192947208,0.524,0.43,-1.525719104,-1.109819886,-1.166707136,-1.10936298
238,Haywood Highsmith,SF,25,7,-4.6,-0.1,0.1,0.075163399,0.027777778,0.095238095,0.058750173,0.537,-0.13,-1.430481236,-1.065175603,-1.184397467,-1.209180413
572,Tremont Waters,PG,24,7.3,-5.4,0,0,0.065359477,0,0,0.004849661,0.427,-1.06,-1.489164348,-1.207735758,-1.201994008,-1.260696894
360,Miles McBride,PG,21,6.1,-4.5,-0.2,0.2,0.071895425,0.092592593,0.074829932,0.13139116,0.573,2.99,-1.282027052,-1.205669765,-1.210535025,-1.210661978
403,Abdel Nader,SF,28,4.9,-4.9,-0.1,0,0.078431373,0.046296296,0.129251701,0.053138423,0.549,2.08,-1.57301326,-1.17873662,-1.23732945,-1.311789368
567,Brad Wanamaker,PG,32,6.5,-6.6,-0.3,-0.1,0.114379085,0.203703704,0.108843537,0.105410836,0.427,-2.91,-1.601459371,-1.465869607,-1.243617735,-1.210455861
574,Paul Watson,SF,27,5.7,-5.4,-0.1,0,0.111111111,0.083333333,0.204081633,0.059339061,0.488,0.96,-1.493445756,-1.216112261,-1.255885003,-1.24883343
177,Tim Frazier,PG,31,3.8,-8,-0.3,-0.2,0.120915033,0.305555556,0.129251701,0.075516142,0.415,-2.39,-1.665543892,-1.34660854,-1.259570206,-1.24430428
73,Charlie Brown Jr.,SG,24,6.6,-5,-0.1,0.1,0.049019608,0.027777778,0.108843537,0.058369128,0.659,4.37,-1.447325736,-1.134464103,-1.261560443,-1.276913141
477,Justin Robinson,PG,24,4.3,-6.6,-0.2,-0.1,0.091503268,0.111111111,0.054421769,0.071913537,0.707,3.61,-1.537320714,-1.349450693,-1.263336371,-1.307108988
370,Alfonzo McKinnie,SF,29,5.6,-9,-0.4,-0.1,0.114379085,0.027777778,0.129251701,0.074857974,0.488,1.37,-1.773252688,-1.255474055,-1.268079457,-1.277715416
102,Chris Chiozza,PG,26,4.4,-6,-0.4,0,0.065359477,0.175925926,0.074829932,0.131945407,0.537,1.66,-1.519866038,-1.18971549,-1.277361258,-1.286839806
419,Semi Ojeleye,PF,27,5,-6.6,-0.4,0.1,0.094771242,0.027777778,0.197278912,0.111334349,0.707,3.61,-1.602557064,-1.174579241,-1.277957035,-1.277716311
57,Leandro Bolmaro,SF,21,5.4,-5.8,-0.2,0,0.045751634,0.055555556,0.081632653,0.085180823,0.512,-0.22,-1.43937741,-1.290496498,-1.291607072,-1.324809204
53,Keljin Blevins,SF,26,4.8,-8.5,-0.6,-0.5,0.10130719,0.055555556,0.102040816,0.124116669,0.402,-3.96,-1.753372884,-1.351643559,-1.292403645,-1.233159654
435,Kevin Pangos,PG,29,6.5,-6.1,-0.2,0.1,0.052287582,0.12037037,0.034013605,0.059200499,0.622,5.23,-1.582963366,-1.58828701,-1.300948456,-1.349427586
257,Elijah Hughes,SG,23,3.7,-8.8,-0.6,-0.5,0.124183007,0.064814815,0.129251701,0.115906887,0.402,-3.96,-1.700195383,-1.351643559,-1.326533242,-1.258924152
241,Solomon Hill,SF,30,3.3,-4,-0.1,0,0.019607843,0.083333333,0.12244898,0.051163919,0.5,0.32,-1.646217069,-1.468484524,-1.358293652,-1.337598142
508,Javonte Smart,PG,22,2.5,-8.1,-0.2,-0.2,0.078431373,0.101851852,0.102040816,0.058992656,0.707,3.61,-1.623563174,-1.354900289,-1.385086507,-1.417391362
565,Tyrone Wallace,SG,27,2.5,-8.2,-0.1,-0.1,0.091503268,0.018518519,0.088435374,0.02961757,0.512,1.63,-1.781506169,-1.260604755,-1.461899887,-1.416621306
397,Mychal Mulder,PG,27,2.1,-8.6,-0.3,-0.4,0.120915033,0.018518519,0.095238095,0.071359291,0.415,-2.39,-1.836961408,-1.509613401,-1.487895259,-1.345315881
176,Melvin Frazier,SG,25,-0.4,-16.4,-0.4,-0.4,0.349673203,0.027777778,0.292517007,0.054731883,0.488,0.96,-2.013941871,-1.302104009,-1.527844438,-1.360797033
