Rk,Player,Pos,Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS,Trade Value,Predicted Trade Value
446.0,Marko Simonovic,C,23.0,-0.1,-14.4,-0.1,0.0,0.0271903323262839,0.0,0.024,0.0072670375521557,0.488,1.37,-1.535791313225445,-1.310373488330086
447.0,Anfernee Simons,SG,23.0,14.8,-1.1,0.5,2.5,0.6374622356495468,0.3831775700934579,0.208,0.7663421418636995,0.402,-3.96,0.2802593219400756,0.28461643900558037
448.0,Jericho Sims,C,24.0,13.8,-0.5,0.3,2.6,0.1027190332326283,0.0467289719626168,0.376,0.2870653685674548,0.573,2.99,0.019311833879290637,0.012785579920257764
449.0,Marcus Smart,PG,28.0,12.1,-1.0,0.5,3.7,0.3474320241691843,0.588785046728972,0.248,0.6909248956884562,0.695,6.38,0.23186318432201747,0.21288942221522167
450.0,Dennis Smith Jr.,PG,25.0,11.6,-2.2,-0.1,1.1,0.2658610271903323,0.4485981308411215,0.248,0.4915507649513213,0.329,-5.89,-0.1969582695618055,-0.15576568705774468
451.0,Dru Smith,SG,25.0,10.85,-1.2000000000000002,0.05,0.2,0.0830815709969788,0.1261682242990653,0.132,0.0306849791376912,0.543,0.45,-0.48279789908720305,-0.4360445893695584
452.0,Ish Smith,PG,34.0,6.5,-6.6,-0.5,-0.5,0.0755287009063444,0.2149532710280373,0.104,0.1409248956884562,0.646,3.04,-1.0097098555508415,-0.8746708634392047
453.0,Jabari Smith Jr.,PF,19.0,11.2,-3.7,-1.1,1.9,0.3867069486404834,0.1214953271028037,0.5760000000000001,0.8623087621696801,0.268,-7.62,-0.17480580095078957,-0.07411263864756278
454.0,Jalen Smith,C,22.0,15.9,-2.1,0.0,2.3,0.283987915407855,0.0934579439252336,0.4639999999999999,0.4505563282336578,0.427,-2.91,0.12273368880571427,0.15922859988610472
455.0,Xavier Sneed,SF,25.0,9.5,-3.6,0.0,0.1,0.1299093655589124,0.1214953271028037,0.104,0.0201668984700973,0.329,-5.89,-0.6372219805553434,-0.533014176463544
456.0,Jeremy Sochan,PF,19.0,11.4,-4.0,-0.7,0.2,0.3323262839879154,0.2336448598130841,0.424,0.5152990264255911,0.268,-9.82,-0.3623677305897415,-0.34054377200869107
457.0,Jaden Springer,SG,20.0,17.2,0.3,0.1,0.3,0.0785498489425981,0.0467289719626168,0.072,0.0321974965229485,0.659,4.37,-0.11998277412110157,-0.19150691793085614
458.0,Lamar Stevens,SF,25.0,9.5,-2.8,-0.2,1.9,0.1601208459214501,0.0467289719626168,0.264,0.3950278164116829,0.622,5.23,-0.38823046385343524,-0.3113451970004805
459.0,Isaiah Stewart,C,21.0,13.1,-2.1,0.0,2.0,0.3413897280966767,0.1308411214953271,0.648,0.5007997218358832,0.207,-7.73,0.03946564848181672,0.04177094791874126
460.0,Max Strus,SF,26.0,10.8,-1.7,0.2,3.4,0.3474320241691843,0.1962616822429906,0.256,0.7991655076495132,0.537,-0.13,0.0061288099891198666,0.027281625551647468
461.0,Jalen Suggs,SG,21.0,12.5,-1.0,0.3,1.4,0.2990936555891239,0.2710280373831776,0.24,0.4407162726008345,0.415,-2.39,-0.07570553446655498,-0.03513315778665678
462.0,Edmond Sumner,SG,27.0,14.0,-2.6,-0.1,1.3,0.2145015105740181,0.1214953271028037,0.12,0.260048678720445,0.549,1.03,-0.24073151145075017,-0.14715334233444916
463.0,Cole Swider,SF,23.0,7.4,-3.4,0.0,0.1,0.039274924471299,0.0560747663551401,0.08,0.0156119610570236,0.524,0.43,-0.7688879061491781,-0.6464716381466016
464.0,Jae'Sean Tate,SF,27.0,12.2,-3.5,-0.3,0.7,0.2749244712990936,0.2523364485981308,0.304,0.2422809457579972,0.268,-7.62,-0.33526646589245307,-0.3145407519048295
465.0,Jayson Tatum,SF,24.0,23.7,5.5,5.1,10.5,0.9093655589123868,0.4299065420560747,0.7040000000000001,0.9620653685674548,0.695,6.38,2.328630740885233,2.083041308054732
466.0,Terry Taylor,PF,23.0,16.9,-0.7999999999999998,-0.05,0.15,0.1012084592145014,0.0186915887850467,0.124,0.0479833101529902,0.4575,-0.77,-0.20128212742626564,-0.1823475766109682
467.0,Garrett Temple,SG,36.0,10.5,-1.0,0.0,0.3,0.0604229607250755,0.0467289719626168,0.0559999999999999,0.0578929068150208,0.512,1.63,-0.5972898086353131,-0.5490935730973558
468.0,Dalen Terry,SG,20.0,14.1,0.0,0.1,0.5,0.066465256797583,0.0560747663551401,0.08,0.0756606397774687,0.488,1.37,-0.2559734549224901,-0.2501029492274256
469.0,Daniel Theis,C,30.0,14.2,-1.4,0.0,0.1,0.2114803625377643,0.1214953271028037,0.248,0.0426286509040333,0.427,-2.91,-0.3063102789496561,-0.23552772092900837
470.0,Cam Thomas,SG,21.0,14.7,-2.7,-0.2,1.0,0.3202416918429003,0.1308411214953271,0.136,0.3347009735744089,0.549,1.03,-0.1740276046512769,-0.12778320482007963
471.0,Klay Thompson,SF,32.0,14.7,-0.3,1.0,3.1,0.661631419939577,0.2242990654205607,0.3279999999999999,0.8031988873435327,0.537,1.66,0.34743656765530007,0.282257341061707
472.0,JT Thor,PF,20.0,7.0,-4.7,-0.7,0.2,0.1148036253776434,0.0467289719626168,0.176,0.3410987482614743,0.329,-5.89,-0.791515570726326,-0.645637005682207
473.0,Matisse Thybulle,SF,25.0,10.0,0.1,0.3,1.3,0.0815709969788519,0.0467289719626168,0.104,0.2090055632823365,0.659,4.37,-0.36756738748809603,-0.3513018096783936
473.0,Matisse Thybulle,SG,25.0,11.0,-1.2,0.1,0.9,0.2235649546827794,0.1308411214953271,0.28,0.2206884561891516,0.402,-3.96,-0.3104673898989219,-0.33760559664605694
474.0,Xavier Tillman Sr.,C,24.0,17.3,1.9,1.2,4.2,0.2114803625377643,0.1495327102803738,0.4,0.4163073713490959,0.622,3.6,0.573310946367417,0.5940841640241501
475.0,Isaiah Todd,PF,21.0,-1.0,-14.2,-0.2,-0.2,0.0453172205438066,0.0654205607476635,0.16,0.0240611961057023,0.427,-1.06,-1.5298840733211905,-1.292212258161495
476.0,Obi Toppin,PF,24.0,13.6,-0.5,0.4,2.1,0.2235649546827794,0.0934579439252336,0.2239999999999999,0.3698539638386648,0.573,2.99,-0.023213956382233357,-0.020600017198730794
477.0,Juan Toscano-Anderson,SF,29.0,7.2,-3.85,-0.15,0.25,0.0921450151057401,0.1214953271028037,0.1959999999999999,0.1257649513212795,0.4875,-0.3,-0.7540969561533593,-0.6715923489048217
478.0,Karl-Anthony Towns,PF,27.0,18.8,3.0,1.2,2.7,0.6283987915407855,0.4485981308411215,0.648,0.3435326842837274,0.512,-0.22,0.7583741791538363,0.572287238838647
479.0,Gary Trent Jr.,SG,24.0,15.0,0.2,1.2,4.5,0.525679758308157,0.1495327102803738,0.208,0.7469054242002782,0.5,1.59,0.48960465060073755,0.46917959529114256
480.0,P.J. Tucker,PF,37.0,5.7,-3.0,-0.5,2.5,0.1057401812688821,0.0747663551401869,0.312,0.6757997218358831,0.659,4.37,-0.5844776952896915,-0.40563612120151327
481.0,Myles Turner,C,26.0,20.0,2.1,1.9,5.4,0.5438066465256798,0.1308411214953271,0.6,0.6440890125173853,0.427,-2.91,1.0267634959809178,0.9796239984078694
482.0,Stanley Umude,SG,23.0,65.6,48.6,0.0,0.0,0.0604229607250755,0.0,0.0,0.0006954102920723,0.207,-7.73,3.680307158246148,3.7285546689999873
483.0,Jonas Valančiūnas,C,30.0,19.3,-0.4,0.8,5.8,0.4259818731117824,0.1682242990654205,0.816,0.6922461752433936,0.512,1.63,0.8811749819107546,0.9527289866488529
484.0,Jarred Vanderbilt,PF,23.0,14.6,0.85,0.75,2.55,0.2341389728096676,0.2009345794392523,0.5840000000000001,0.3343358831710708,0.4875,-0.3,0.27402736319791154,0.25437928872428395
485.0,Fred VanVleet,PG,28.0,17.0,2.5,2.9,6.5,0.5830815709969789,0.6728971962616823,0.3279999999999999,0.8934979137691237,0.5,1.59,1.1816303683551395,1.1301706542651537
486.0,Devin Vassell,SG,22.0,15.5,0.4,0.7,1.2,0.5589123867069486,0.3364485981308411,0.312,0.4196801112656467,0.268,-9.82,0.2216907419620859,0.4022321749167307
487.0,Gabe Vincent,PG,26.0,9.0,-3.4,-0.6,1.4,0.283987915407855,0.2336448598130841,0.168,0.6199235048678721,0.537,-0.13,-0.4456862548869171,-0.3340815892422778
488.0,Noah Vonleh,C,27.0,5.9,-6.3,-0.2,0.2,0.0332326283987915,0.02803738317757,0.168,0.0613351877607788,0.695,6.38,-0.9456606165029643,-0.8126013977079727
489.0,Nikola Vučević,C,32.0,19.1,2.7,3.2,8.3,0.5317220543806647,0.2990654205607477,0.88,0.965751043115438,0.488,1.37,1.5104873912913832,1.4426475491299495
490.0,Dean Wade,PF,26.0,8.5,-0.7,0.3,1.8,0.1419939577039275,0.0747663551401869,0.272,0.3161682892906814,0.622,5.23,-0.3458822675247392,-0.3765219437112485
491.0,Franz Wagner,SF,21.0,15.9,-0.1,1.3,5.4,0.5619335347432024,0.3271028037383178,0.3279999999999999,0.9178025034770514,0.415,-2.39,0.7440680035122851,0.6252058587944342
492.0,Moritz Wagner,C,25.0,17.4,0.6,0.7,3.4,0.3172205438066465,0.1401869158878504,0.36,0.3916898470097357,0.415,-2.39,0.41988716661328784,0.4366145546617394
493.0,Ish Wainright,SF,28.0,9.2,-1.2,0.2,1.7,0.1268882175226586,0.0841121495327102,0.184,0.3227746870653685,0.549,2.08,-0.3814327010814854,-0.2944206027222102
494.0,Jabari Walker,SF,20.0,9.6,-6.1,-0.6,0.2,0.1178247734138972,0.0560747663551401,0.184,0.2183936022253129,0.402,-3.96,-0.7050157611325107,-0.5334260653791357
495.0,Kemba Walker,PG,32.0,15.0,-0.3,0.1,0.3,0.2416918429003021,0.1962616822429906,0.144,0.0549374130737134,0.463,-0.14,-0.214767530690184,-0.2025303605027434
