Age,PER,BPM,VORP,WS,PTS,AST,TRB,MP,WLp,SRS
1.0,0.07686508457017328,0.1444954332703644,0.16808314802146562,0.13910104112660457,0.10095781046274077,0.16926469283172657,0.07412786527213126,0.056939042965618636,0.2305101531082564,0.2079283422826818
0.07686508457017328,1.0,0.8967663100088029,0.5852195260242512,0.5576367600618528,0.5710098022879819,0.37759426528208023,0.5123614366312462,0.3592310530478088,0.009125797062504286,0.028628016913637117
0.1444954332703644,0.8967663100088029,1.0,0.5458265672030038,0.5248536217073461,0.4859072367295283,0.3814016712083065,0.4123284278825166,0.38304647121605884,0.050790328521074,0.08078675617080903
0.16808314802146562,0.5852195260242512,0.5458265672030038,1.0,0.8925542364063013,0.7360509067658644,0.6112845021716458,0.6135474822840782,0.5898016938523217,0.20979514631879664,0.22161183607234686
0.13910104112660457,0.5576367600618528,0.5248536217073461,0.8925542364063013,1.0,0.7258236853616071,0.5294657004732441,0.7177087729576624,0.8036423925751489,0.23174943683854382,0.24649967208694665
0.10095781046274077,0.5710098022879819,0.4859072367295283,0.7360509067658644,0.7258236853616071,1.0,0.7211413844350011,0.6340005308267681,0.750314220384656,0.018603773865052523,0.013970173661847014
0.16926469283172657,0.37759426528208023,0.3814016712083065,0.6112845021716458,0.5294657004732441,0.7211413844350011,1.0,0.4082224415548288,0.5549269877251707,0.023602019580746127,0.00883106653624734
0.07412786527213126,0.5123614366312462,0.4123284278825166,0.6135474822840782,0.7177087729576624,0.6340005308267681,0.4082224415548288,1.0,0.6187232261489203,0.017194184399175336,0.0063811119354858625
0.056939042965618636,0.3592310530478088,0.38304647121605884,0.5898016938523217,0.8036423925751489,0.750314220384656,0.5549269877251707,0.6187232261489203,1.0,0.06636834632620393,0.07533322458352967
0.2305101531082564,0.009125797062504286,0.050790328521074,0.20979514631879664,0.23174943683854382,0.018603773865052523,0.023602019580746127,0.017194184399175336,0.06636834632620393,1.0,0.9528454637815545
0.2079283422826818,0.028628016913637117,0.08078675617080903,0.22161183607234686,0.24649967208694665,0.013970173661847014,0.00883106653624734,0.0063811119354858625,0.07533322458352967,0.9528454637815545,1.0
