Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
73,Sterling Brown,SG,22,MIL,0.654320987654321,0.04878048780487805,0.14285714285714285,0.1800947867298578,.400,0.14285714285714285,0.16999999999999998,.352,0.09278350515463918,0.12138728323699421,.439,.478,0.04597701149425288,0.039603960396039604,0.875,0.09803921568627452,0.1926605504587156,0.1625,0.04854368932038835,0.25,0.07692307692307693,0.1,0.375,0.13157894736842105,9.1,.503,.444,.117,4.1,17.5,10.8,4.5,2.0,1.4,10.4,14.0,0.0,0.7,0.7,.043,-2.8,-0.2,-3.1,-0.2,0.25757130255807115,0.707,3.61
75,Thomas Bryant,C,20,LAL,0.1728395061728395,0.0,0.047619047619047616,0.06635071090047392,.381,0.023809523809523808,0.06999999999999999,.100,0.051546391752577324,0.040462427745664734,.636,.405,0.034482758620689655,0.0594059405940594,0.556,0.03921568627450981,0.08256880733944955,0.06875,0.038834951456310676,0.04166666666666667,0.038461538461538464,0.02,0.1,0.049342105263157895,9.9,.441,.476,.429,4.5,20.5,12.6,11.5,0.7,2.3,7.4,15.9,0.0,0.1,0.1,.050,-3.1,-0.2,-3.3,0.0,0.02443725701591035,0.524,0.43
78,Alec Burks,SG,26,UTA,0.7777777777777778,0.012195121951219513,0.2571428571428572,0.30805687203791465,.411,0.16666666666666666,0.22000000000000003,.331,0.1958762886597938,0.24855491329479767,.452,.467,0.19540229885057472,0.18811881188118812,0.863,0.058823529411764705,0.24770642201834864,0.1875,0.0970873786407767,0.25,0.038461538461538464,0.18,0.3,0.25328947368421056,13.1,.527,.343,.300,2.1,18.4,10.3,10.0,1.8,0.6,11.4,22.5,0.2,1.6,1.9,.084,-1.3,0.4,-0.9,0.3,0.35071384233395403,0.451,-1.03
81,Bruno Caboclo,SF,22,SAC,0.1111111111111111,0.0,0.08571428571428572,0.13744075829383884,.310,0.07142857142857142,0.15,.200,0.061855670103092786,0.08092485549132947,.429,.362,0.0574712643678161,0.0594059405940594,0.833,0.13725490196078433,0.12844036697247704,0.13125,0.029126213592233007,0.08333333333333334,0.15384615384615385,0.08,0.175,0.08552631578947369,7.9,.411,.517,.207,7.6,16.6,12.0,4.2,1.0,3.8,11.2,16.0,-0.1,0.1,0.0,-0.015,-4.5,-1.5,-6.1,-0.1,0.035283740076448106,0.585,2.3
82,José Calderón,PG,36,CLE,0.691358024691358,0.3902439024390244,0.1523809523809524,0.15165876777251186,.503,0.19047619047619047,0.16999999999999998,.464,0.08247422680412372,0.08670520231213873,.545,.624,0.04597701149425288,0.04950495049504951,0.8,0.03921568627450981,0.11009174311926605,0.09375,0.20388349514563106,0.20833333333333334,0.0,0.13999999999999999,0.35,0.1480263157894737,11.3,.643,.524,.162,1.7,8.5,5.2,17.4,1.4,0.2,17.1,11.6,1.5,0.3,1.8,.095,-1.4,-0.5,-1.9,0.0,0.30317880361985033,0.622,5.23
83,Kentavious Caldwell-Pope,SG,24,LAL,0.9012345679012346,0.9024390243902439,0.43809523809523804,0.5118483412322274,.426,0.5,0.5599999999999999,.383,0.24742268041237114,0.30057803468208094,.473,.526,0.24137931034482762,0.25742574257425743,0.789,0.15686274509803924,0.4036697247706422,0.325,0.21359223300970875,0.5833333333333334,0.07692307692307693,0.26,0.5,0.44078947368421056,13.2,.561,.520,.243,2.6,14.1,8.4,9.4,2.1,0.5,9.9,16.9,2.6,2.7,5.3,.103,-0.4,0.6,0.3,1.4,0.8132248685027279,0.524,0.43
84,Isaiah Canaan,PG,26,PHO,0.2222222222222222,0.012195121951219513,0.2571428571428572,0.34123222748815163,.382,0.2857142857142857,0.35,.333,0.16494845360824745,0.2138728323699422,.429,.463,0.27586206896551724,0.26732673267326734,0.902,0.058823529411764705,0.18348623853211007,0.14375,0.3883495145631068,0.33333333333333337,0.038461538461538464,0.3,0.475,0.2993421052631579,13.7,.543,.485,.375,1.5,9.9,5.6,26.9,1.8,0.2,15.5,19.0,0.5,0.1,0.7,.075,-0.4,-0.7,-1.1,0.1,0.1430951680878173,0.549,2.08
86,DeMarre Carroll,PF,31,BRK,0.8888888888888888,0.8902439024390244,0.42857142857142855,0.5118483412322274,.414,0.47619047619047616,0.54,.371,0.2577319587628866,0.31213872832369943,.457,.506,0.2988505747126437,0.33663366336633666,0.764,0.27450980392156865,0.4678899082568807,0.4125,0.1941747572815534,0.33333333333333337,0.15384615384615385,0.27999999999999997,0.575,0.4440789473684211,14.3,.550,.498,.313,5.1,18.4,11.7,10.5,1.3,1.0,10.3,19.8,2.3,1.8,4.1,.091,0.5,-0.4,0.2,1.2,0.7213237936554608,0.549,1.03
87,Vince Carter,SF,41,SAC,0.7037037037037037,0.06097560975609756,0.19047619047619047,0.23222748815165878,.403,0.23809523809523808,0.27999999999999997,.345,0.10309278350515465,0.11560693641618497,.483,.504,0.0574712643678161,0.0594059405940594,0.757,0.058823529411764705,0.2018348623853211,0.1625,0.11650485436893203,0.2916666666666667,0.15384615384615385,0.12,0.425,0.17763157894736845,10.8,.523,.583,.131,1.9,15.1,8.2,9.7,2.1,2.4,10.7,14.7,0.3,0.9,1.2,.056,-1.9,0.7,-1.2,0.2,0.3403247410892221,0.585,2.3
88,Michael Carter-Williams,PG,26,CHO,0.6296296296296297,0.024390243902439025,0.14285714285714285,0.2085308056872038,.332,0.07142857142857142,0.11000000000000001,.237,0.12371134020618557,0.1907514450867052,.365,.362,0.16091954022988506,0.16831683168316833,0.82,0.13725490196078433,0.17431192660550457,0.16875,0.21359223300970875,0.33333333333333337,0.15384615384615385,0.2,0.475,0.1513157894736842,10.8,.446,.258,.389,4.7,13.3,8.9,19.4,2.6,2.3,16.2,16.6,-0.2,1.1,0.9,.050,-3.3,1.8,-1.5,0.1,0.277402071286223,0.329,-5.89
