Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
5,Nickeil Alexander-Walker,SG,21,NOP,0.6301369863013698,0.0136986301369863,0.1926605504587156,0.24890829694323147,.368,0.22727272727272727,0.2258064516129032,.346,0.11458333333333334,0.1497326203208556,.391,.455,0.04901960784313726,0.06779661016949153,0.676,0.04347826086956522,0.14035087719298245,0.11392405063291139,0.18627450980392157,0.19047619047619047,0.06896551724137931,0.22916666666666669,0.24,0.16618075801749274,8.9,.473,.500,.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.020,-3.2,-1.4,-4.6,-0.4,0.23223315962169466,0.512,1.63
6,Grayson Allen,SG,24,MEM,0.5068493150684932,0.0,0.28440366972477066,0.28820960698689957,.466,0.3409090909090909,0.29838709677419356,.404,0.16666666666666669,0.15508021390374332,.545,.580,0.09803921568627452,0.10169491525423728,0.867,0.04347826086956522,0.17543859649122806,0.13924050632911392,0.13725490196078433,0.14285714285714285,0.034482758620689655,0.1875,0.27999999999999997,0.2536443148688047,12.0,.609,.562,.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,.082,-0.1,-1.2,-1.3,0.1,0.2836904072572862,0.622,3.6
8,Kadeem Allen,PG,27,NYK,0.1232876712328767,0.0,0.17431192660550457,0.1921397379912664,.432,0.11363636363636363,0.12903225806451613,.313,0.14583333333333334,0.1497326203208556,.500,.489,0.06862745098039216,0.09322033898305085,0.636,0.04347826086956522,0.06140350877192982,0.056962025316455694,0.2058823529411765,0.23809523809523808,0.06896551724137931,0.16666666666666669,0.13999999999999999,0.1457725947521866,14.0,.512,.364,.250,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,.053,-0.3,-0.7,-0.9,0.0,0.048909476934954635,0.573,2.99
9,Al-Farouq Aminu,PF,29,ORL,0.2328767123287671,0.0273972602739726,0.12844036697247704,0.20960698689956334,.291,0.11363636363636363,0.16129032258064516,.250,0.09375,0.1497326203208556,.320,.343,0.10784313725490198,0.13559322033898305,0.655,0.28260869565217395,0.30701754385964913,0.30379746835443033,0.11764705882352941,0.47619047619047616,0.13793103448275862,0.1875,0.3,0.12536443148688048,7.6,.395,.419,.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,.014,-4.4,1.4,-3.0,-0.1,0.15406292221578846,0.415,-2.39
10,Justin Anderson,SG,26,BRK,0.1232876712328767,0.0136986301369863,0.09174311926605504,0.16593886462882096,.263,0.13636363636363635,0.23387096774193547,.207,0.04166666666666667,0.04812834224598931,.444,.342,0.019607843137254905,0.03389830508474576,0.5,0.02173913043478261,0.17543859649122806,0.13291139240506328,0.07843137254901962,0.0,0.20689655172413793,0.08333333333333334,0.26,0.0816326530612245,3.2,.352,.763,.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-1.0,-7.7,-0.2,0.04466319243389307,0.549,1.03
11,Kyle Anderson,SF,26,MEM,0.9041095890410958,0.3835616438356164,0.2110091743119266,0.21397379912663758,.474,0.09090909090909091,0.10483870967741936,.282,0.20833333333333334,0.19786096256684493,.541,.511,0.07843137254901962,0.10169491525423728,0.667,0.1956521739130435,0.2982456140350877,0.27215189873417717,0.23529411764705882,0.38095238095238093,0.20689655172413793,0.20833333333333334,0.33999999999999997,0.16909620991253646,12.5,.534,.257,.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,.091,-1.5,2.0,0.5,0.9,0.5203242617255357,0.622,3.6
14,Kostas Antetokounmpo,PF,22,LAL,0.0547945205479452,0.0,0.055045871559633024,0.026200873362445417,1.000,0.0,0.0,0,0.0625,0.03208556149732621,1.000,1.000,0.019607843137254905,0.03389830508474576,0.5,0.08695652173913045,0.017543859649122806,0.03797468354430379,0.03921568627450981,0.0,0.0,0.04166666666666667,0.08,0.04081632653061225,16.3,.902,.000,.667,11.1,5.4,8.2,13.7,0.0,0.0,20.5,10.3,0.1,0.0,0.1,.193,0.2,-0.9,-0.7,0.0,0.008492569002123142,0.524,0.43
15,Thanasis Antetokounmpo,SF,27,MIL,0.2602739726027397,0.0273972602739726,0.11009174311926605,0.10480349344978167,.500,0.0,0.04032258064516129,.000,0.125,0.10160427807486631,.632,.500,0.03921568627450981,0.07627118644067796,0.412,0.13043478260869565,0.05263157894736842,0.07594936708860758,0.07843137254901962,0.19047619047619047,0.034482758620689655,0.125,0.18,0.0816326530612245,12.2,.496,.208,.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,.070,-4.6,1.4,-3.2,0.0,0.05153445280833816,0.707,3.61
16,Carmelo Anthony,PF,35,POR,0.7808219178082192,0.7945205479452054,0.5321100917431192,0.5895196506550219,.430,0.3409090909090909,0.31451612903225806,.385,0.4479166666666667,0.5133689839572193,.448,.485,0.22549019607843138,0.23728813559322032,0.845,0.2608695652173913,0.4473684210526315,0.39873417721518983,0.14705882352941177,0.38095238095238093,0.1724137931034483,0.3541666666666667,0.58,0.44897959183673475,12.4,.525,.289,.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,.033,-1.8,-1.8,-3.6,-0.8,0.7461107894228913,0.402,-3.96
17,OG Anunoby,SF,22,TOR,0.9315068493150684,0.9315068493150684,0.37614678899082565,0.35807860262008734,.505,0.2954545454545454,0.2661290322580645,.390,0.3020833333333333,0.2620320855614974,.583,.584,0.09803921568627452,0.1271186440677966,0.706,0.2608695652173913,0.3596491228070175,0.3354430379746835,0.15686274509803924,0.6666666666666666,0.24137931034482757,0.22916666666666669,0.48,0.30903790087463556,13.2,.600,.403,.180,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,.134,-0.8,2.0,1.2,1.7,0.8082995560702567,0.5,1.59
