Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Álex Abrines,SG,1.0,25.0,0.3703703703703703,0.024390243902439,0.1666666666666666,0.2081632653061224,0.357,0.2549019607843137,0.3106060606060606,0.323,0.053763440860215,0.0606060606060606,0.5,0.487,0.0412371134020618,0.0363636363636363,0.923,0.037037037037037,0.1261261261261261,0.0961538461538461,0.0560747663551401,0.2083333333333333,0.074074074074074,0.1,0.425,0.1468144044321329,6.3,0.507,0.809,0.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,0.053,-3.7,0.4,-3.3,-0.2,0.1975252211955989,0.488,0.96
Quincy Acy,PF,2.0,28.0,0.1111111111111111,0.0,0.037037037037037,0.073469387755102,0.222,0.0392156862745098,0.1136363636363636,0.133,0.021505376344086,0.0181818181818181,0.667,0.278,0.0721649484536082,0.0909090909090909,0.7,0.0555555555555555,0.1981981981981982,0.1602564102564102,0.0747663551401869,0.0416666666666666,0.1481481481481481,0.08,0.6,0.0470914127423822,2.9,0.379,0.833,0.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2,0.0435208462568154,0.549,2.08
Jaylen Adams,PG,3.0,22.0,0.4074074074074074,0.0121951219512195,0.1018518518518518,0.1306122448979592,0.345,0.1372549019607843,0.1666666666666666,0.338,0.043010752688172,0.0666666666666666,0.361,0.459,0.0206185567010309,0.0272727272727272,0.778,0.0555555555555555,0.1261261261261261,0.1153846153846153,0.1775700934579439,0.1666666666666666,0.037037037037037,0.16,0.325,0.0886426592797784,7.6,0.474,0.673,0.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,0.011,-3.8,-0.5,-4.3,-0.2,0.1431976231675862,0.5,0.32
Deng Adel,SF,6.0,21.0,0.2222222222222222,0.0365853658536585,0.0555555555555555,0.0775510204081632,0.306,0.0588235294117647,0.0909090909090909,0.261,0.032258064516129,0.0424242424242424,0.385,0.389,0.0206185567010309,0.0181818181818181,1.0,0.037037037037037,0.072072072072072,0.0641025641025641,0.02803738317757,0.0416666666666666,0.074074074074074,0.06,0.175,0.0470914127423822,2.7,0.424,0.639,0.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0.0,-0.2,-0.054,-5.9,-1.6,-7.5,-0.3,0.0660158673152894,0.622,5.23
DeVaughn Akoon-Purcell,SG,7.0,25.0,0.074074074074074,0.0,0.037037037037037,0.0571428571428571,0.3,0.0,0.0454545454545454,0.0,0.043010752688172,0.0545454545454545,0.5,0.3,0.0103092783505154,0.0272727272727272,0.5,0.0185185185185185,0.036036036036036,0.0384615384615384,0.0841121495327102,0.125,0.0,0.06,0.15,0.0277008310249307,8.2,0.322,0.4,0.2,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,0.0075418720820137,0.646,3.04
Rawle Alkins,SG,9.0,21.0,0.1111111111111111,0.0121951219512195,0.1203703703703703,0.1591836734693877,0.333,0.0588235294117647,0.0909090909090909,0.25,0.1075268817204301,0.1636363636363636,0.37,0.372,0.0824742268041237,0.109090909090909,0.667,0.2037037037037037,0.1351351351351351,0.1666666666666666,0.1214953271028037,0.0416666666666666,0.0,0.16,0.175,0.1024930747922437,8.1,0.418,0.308,0.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,-0.1,0.0,-0.1,-0.042,-3.8,-3.5,-7.3,-0.2,0.0424434359593848,0.488,1.37
Grayson Allen,SG,10.0,23.0,0.4567901234567901,0.024390243902439,0.1666666666666666,0.1918367346938775,0.376,0.1568627450980392,0.196969696969697,0.323,0.0967741935483871,0.1272727272727273,0.443,0.466,0.1237113402061855,0.1454545454545454,0.75,0.0185185185185185,0.045045045045045,0.0384615384615384,0.0654205607476635,0.0833333333333333,0.074074074074074,0.18,0.3,0.1551246537396121,7.5,0.516,0.556,0.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,0.002,-4.2,-2.1,-6.3,-0.5,0.1387247379934049,0.451,-1.03
Kadeem Allen,PG,12.0,26.0,0.2222222222222222,0.0121951219512195,0.3148148148148147,0.3020408163265306,0.461,0.1764705882352941,0.1439393939393939,0.472,0.2688172043010752,0.3333333333333333,0.457,0.521,0.2268041237113402,0.2545454545454545,0.778,0.074074074074074,0.2072072072072072,0.1730769230769231,0.3738317757009346,0.3333333333333333,0.074074074074074,0.2799999999999999,0.6,0.2742382271468144,16.2,0.574,0.255,0.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1.0,0.111,0.2,0.3,0.5,0.3,0.1423161056515067,0.573,2.99
Justin Anderson,SF,14.0,25.0,0.5802469135802469,0.048780487804878,0.1203703703703703,0.1346938775510204,0.408,0.0980392156862745,0.1212121212121212,0.312,0.086021505376344,0.103030303030303,0.5,0.484,0.0515463917525773,0.0636363636363636,0.743,0.0925925925925925,0.1171171171171171,0.1153846153846153,0.0467289719626168,0.2083333333333333,0.1111111111111111,0.1,0.25,0.1024930747922437,11.2,0.516,0.49,0.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,0.043,-2.4,-0.3,-2.7,-0.1,0.1536452381729733,0.5,0.32
Ryan Anderson,PF,16.0,30.0,0.1419753086419753,0.04878048780487805,0.06944444444444439,0.09999999999999995,0.2695,0.06862745098039215,0.1098484848484848,0.2695,0.043010752688172,0.06060606060606055,0.231,0.354,0.0412371134020618,0.049999999999999954,0.643,0.1203703703703703,0.1171171171171171,0.12499999999999994,0.060747663551401855,0.06249999999999995,0.0185185185185185,0.1,0.2125,0.060941828254847605,4.55,0.38849999999999996,0.617,0.2275,7.6,12.3,9.95,6.949999999999999,0.8,0.15,16.1,11.85,-0.1,0.0,-0.1,-0.024,-4.55,-1.9,-6.4,-0.15,0.05564987430213195,0.543,0.9750000000000001
