Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Quincy Acy,SF,1.0,23.0,0.37654320987654316,0.0,0.0952380952380952,0.10093896713615015,0.4505,0.04545454545454545,0.05696202531645565,0.30000000000000004,0.08421052631578944,0.0833333333333333,0.47,0.49,0.0689655172413793,0.09595959595959595,0.646,0.1759259259259259,0.19791666666666663,0.20955882352941174,0.04672897196261675,0.18,0.1428571428571428,0.0701754385964912,0.40789473684210525,0.084375,13.399999999999999,0.53,0.218,0.46249999999999997,9.5,19.35,14.350000000000001,7.25,2.3,3.15,13.1,12.15,0.3,0.39999999999999997,0.75,0.133,-0.7999999999999999,2.15,1.4,0.05,0.13704290011081205,0.5425,1.9449999999999998
Steven Adams,C,2.0,20.0,0.9876543209876544,0.2439024390243902,0.1047619047619047,0.1079812206572769,0.503,0.0,0.0,0.0,0.1157894736842105,0.1127450980392156,0.503,0.503,0.1149425287356322,0.1717171717171717,0.581,0.3333333333333333,0.2395833333333333,0.3014705882352941,0.0467289719626168,0.2,0.25,0.1578947368421052,0.6578947368421053,0.103125,11.2,0.541,0.0,0.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,0.9,1.9,2.9,0.114,-3.1,0.9,-2.2,-0.1,0.3830299192654741,0.488,0.96
Jeff Adrien,PF,3.0,27.0,0.2962962962962963,0.0,0.0857142857142857,0.0751173708920187,0.55,0.0,0.0,0.0,0.0947368421052631,0.0784313725490196,0.55,0.55,0.0574712643678161,0.101010101010101,0.52,0.2407407407407407,0.2291666666666666,0.2573529411764706,0.02803738317757,0.12,0.2142857142857143,0.0526315789473684,0.3684210526315789,0.071875,14.9,0.559,0.0,0.625,14.5,24.4,19.4,4.1,1.4,4.6,13.6,10.6,0.4,0.5,0.9,0.17,-1.8,1.7,0.0,0.1,0.0836473009339876,0.329,-5.89
Cole Aldrich,C,6.0,25.0,0.5555555555555556,0.024390243902439,0.0666666666666666,0.0610328638497652,0.541,0.0,0.0,0.0,0.0736842105263157,0.0637254901960784,0.541,0.541,0.0689655172413793,0.0707070707070707,0.867,0.1481481481481481,0.2083333333333333,0.2058823529411764,0.02803738317757,0.08,0.25,0.0701754385964912,0.2368421052631579,0.0625,19.1,0.62,0.0,0.492,12.8,33.8,23.0,6.4,1.3,8.1,19.5,13.0,0.6,0.6,1.2,0.178,-0.1,1.6,1.5,0.3,0.1061263257875573,0.573,2.99
Lavoy Allen,PF,8.0,24.0,0.38888888888888884,0.0121951219512195,0.1666666666666666,0.17840375586854457,0.47,0.0,0.01898734177215185,0.077,0.18421052631578944,0.18137254901960784,0.47750000000000004,0.472,0.05172413793103445,0.07575757575757575,0.6375,0.27777777777777773,0.25520833333333337,0.2867647058823529,0.07943925233644855,0.1,0.16071428571428564,0.09649122807017539,0.40789473684210525,0.1265625,14.7,0.49250000000000005,0.0245,0.22199999999999998,12.6,20.05,16.35,9.6,1.0,3.15,10.9,15.8,0.30000000000000004,0.44999999999999996,0.75,0.11649999999999999,-1.85,-0.4,-2.15,-0.2,0.17331011556118406,0.543,0.73
Ray Allen*,SG,9.0,38.0,0.8888888888888888,0.1097560975609756,0.3142857142857143,0.3474178403755869,0.442,0.4848484848484849,0.5316455696202531,0.375,0.1789473684210526,0.1568627450980392,0.53,0.549,0.160919540229885,0.1616161616161616,0.905,0.0555555555555555,0.2604166666666667,0.2058823529411764,0.1869158878504673,0.2799999999999999,0.0357142857142857,0.2105263157894736,0.4210526315789474,0.3,12.8,0.59,0.569,0.214,1.6,11.4,6.7,11.1,1.5,0.4,12.4,16.8,2.5,1.5,4.1,0.101,0.5,-0.9,-0.4,0.8,0.6207060313439924,0.537,-0.13
Al-Farouq Aminu,SF,11.0,23.0,0.9753086419753086,0.7926829268292683,0.2761904761904762,0.2910798122065727,0.474,0.0606060606060606,0.0759493670886075,0.271,0.2947368421052631,0.2745098039215686,0.496,0.487,0.1264367816091954,0.1717171717171717,0.664,0.2962962962962963,0.4791666666666666,0.4558823529411765,0.1308411214953271,0.4,0.1785714285714285,0.1929824561403509,0.4736842105263158,0.225,13.2,0.516,0.097,0.277,7.2,21.2,14.1,8.4,2.1,1.6,13.7,14.3,1.3,1.8,3.1,0.072,-0.9,0.3,-0.6,0.7,0.6549311381985119,0.512,1.63
Alan Anderson,SF,14.0,31.0,0.9506172839506172,0.3170731707317073,0.238095238095238,0.2910798122065727,0.4,0.3333333333333333,0.4050632911392405,0.339,0.1473684210526315,0.1470588235294117,0.464,0.487,0.1379310344827586,0.1515151515151515,0.78,0.0925925925925925,0.1770833333333333,0.1617647058823529,0.0934579439252336,0.24,0.0357142857142857,0.1403508771929824,0.5,0.225,9.5,0.525,0.511,0.243,2.7,9.1,5.9,7.3,1.4,0.5,10.4,15.9,0.8,0.9,1.7,0.047,-1.8,-1.0,-2.8,-0.4,0.5678961532372963,0.549,1.03
James Anderson,SG,15.0,24.0,0.9753086419753086,0.7560975609756098,0.3714285714285714,0.4225352112676056,0.431,0.4242424242424242,0.5569620253164557,0.328,0.2526315789473684,0.2254901960784313,0.53,0.511,0.1149425287356322,0.1313131313131313,0.726,0.1296296296296296,0.3125,0.2794117647058823,0.1775700934579439,0.36,0.1428571428571428,0.2280701754385964,0.5,0.315625,10.9,0.53,0.49,0.148,2.7,11.7,7.0,9.9,1.6,1.0,12.2,15.9,0.9,0.9,1.9,0.039,-1.5,-1.0,-2.6,-0.3,0.7395599176824442,0.659,4.37
Giannis Antetokounmpo,SF,17.0,19.0,0.9382716049382716,0.2804878048780488,0.2095238095238095,0.2535211267605634,0.414,0.1515151515151515,0.1898734177215189,0.347,0.1789473684210526,0.1911764705882353,0.44,0.463,0.2068965517241379,0.2626262626262626,0.683,0.1851851851851851,0.3541666666666667,0.3235294117647059,0.1775700934579439,0.32,0.2857142857142857,0.2807017543859649,0.5789473684210527,0.2125,10.8,0.518,0.282,0.483,4.6,16.3,10.2,12.1,1.7,2.6,19.4,15.0,0.1,1.1,1.2,0.031,-2.4,-0.1,-2.5,-0.2,0.6077568466044008,0.707,3.61
