Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Álex Abrines,SG,1.0,24.0,0.9135802469135802,0.0975609756097561,0.1428571428571428,0.1848341232227488,0.395,0.2619047619047619,0.29,0.38,0.0412371134020618,0.0520231213872832,0.443,0.54,0.0574712643678161,0.0594059405940594,0.848,0.0588235294117647,0.110091743119266,0.09375,0.0388349514563106,0.2083333333333333,0.0384615384615384,0.06,0.425,0.1546052631578947,9.0,0.567,0.759,0.158,2.5,8.9,5.6,3.4,1.7,0.6,7.4,12.7,1.3,1.0,2.2,0.094,-1.9,0.4,-1.5,0.1,0.3747590577934594,0.488,0.96
Quincy Acy,PF,2.0,27.0,0.8518518518518519,0.0975609756097561,0.1809523809523809,0.2464454976303317,0.356,0.3571428571428571,0.42,0.349,0.0412371134020618,0.0578034682080924,0.384,0.496,0.0804597701149425,0.0891089108910891,0.817,0.1176470588235294,0.2844036697247706,0.23125,0.0776699029126213,0.2083333333333333,0.1538461538461538,0.18,0.525,0.194078947368421,8.2,0.525,0.8,0.164,3.1,17.1,10.0,6.0,1.2,1.6,13.3,14.4,-0.1,1.1,1.0,0.036,-2.6,0.1,-2.5,-0.2,0.4496716651965108,0.549,1.03
Bam Adebayo,C,4.0,20.0,0.8395061728395061,0.2317073170731707,0.238095238095238,0.2322274881516587,0.512,0.0,0.01,0.0,0.2577319587628866,0.2774566473988439,0.523,0.512,0.2183908045977011,0.2574257425742574,0.721,0.3333333333333333,0.3486238532110091,0.34375,0.145631067961165,0.2083333333333333,0.2307692307692307,0.2,0.5,0.2269736842105263,15.7,0.57,0.021,0.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,2.3,1.9,4.2,0.148,-1.1,0.7,-0.4,0.6,0.4527426573883498,0.537,-0.13
Arron Afflalo,SG,5.0,32.0,0.6419753086419753,0.0365853658536585,0.1142857142857142,0.1469194312796208,0.401,0.119047619047619,0.13,0.386,0.0721649484536082,0.0982658959537572,0.413,0.485,0.0459770114942528,0.0495049504950495,0.846,0.0196078431372549,0.110091743119266,0.075,0.058252427184466,0.0416666666666666,0.0769230769230769,0.08,0.275,0.1118421052631579,5.8,0.516,0.432,0.16,0.6,10.1,5.3,6.2,0.3,1.1,10.8,12.5,-0.1,0.2,0.1,0.009,-3.8,-1.5,-5.4,-0.6,0.2263713286941749,0.415,-2.39
Cole Aldrich,C,6.0,29.0,0.2469135802469135,0.0,0.019047619047619,0.0331753554502369,0.333,0.0,0.0,0.0,0.0206185567010309,0.0404624277456647,0.333,0.333,0.0114942528735632,0.0297029702970297,0.333,0.0196078431372549,0.055045871559633,0.04375,0.0097087378640776,0.0416666666666666,0.0,0.0,0.125,0.0197368421052631,6.0,0.34,0.0,0.4,7.0,28.6,17.6,8.2,2.0,1.8,5.4,16.8,-0.1,0.1,0.0,-0.013,-6.8,-0.7,-7.5,-0.1,0.0161063739423045,0.512,-0.22
Kadeem Allen,PG,9.0,25.0,0.2098765432098765,0.0121951219512195,0.0285714285714285,0.0568720379146919,0.273,0.0,0.06,0.0,0.0309278350515463,0.0346820809248554,0.545,0.273,0.0459770114942528,0.0495049504950495,0.778,0.0392156862745098,0.036697247706422,0.0375,0.0679611650485436,0.0833333333333333,0.0384615384615384,0.1,0.2,0.0361842105263157,2.6,0.366,0.5,0.409,4.1,7.1,5.6,15.2,1.4,1.6,25.7,14.6,-0.2,0.1,-0.1,-0.038,-8.3,0.6,-7.7,-0.2,0.0362311738377601,0.695,6.38
Tony Allen,SF,10.0,36.0,0.2592592592592592,0.0,0.1904761904761904,0.1943127962085307,0.484,0.0476190476190476,0.05,0.333,0.1855670103092783,0.2080924855491329,0.506,0.505,0.0574712643678161,0.099009900990099,0.524,0.1764705882352941,0.110091743119266,0.13125,0.0388349514563106,0.2083333333333333,0.0384615384615384,0.18,0.55,0.1546052631578947,8.7,0.514,0.132,0.231,8.2,10.4,9.3,4.6,1.9,0.9,15.9,18.9,-0.2,0.2,0.1,0.017,-5.2,-0.3,-5.5,-0.2,0.0925871475709758,0.512,1.63
Justin Anderson,SF,12.0,24.0,0.4567901234567901,0.0,0.219047619047619,0.2511848341232227,0.431,0.2142857142857142,0.27,0.33,0.1443298969072165,0.1502890173410404,0.535,0.515,0.0804597701149425,0.099009900990099,0.737,0.1372549019607843,0.1651376146788991,0.15,0.0679611650485436,0.1666666666666666,0.0769230769230769,0.08,0.35,0.2039473684210526,13.0,0.54,0.51,0.188,5.4,13.6,9.6,7.1,1.4,1.1,6.8,19.3,0.6,0.7,1.2,0.115,-0.6,-0.3,-0.9,0.1,0.1733803783201019,0.659,4.37
Ike Anigbogu,C,15.0,19.0,0.1234567901234567,0.0,0.0380952380952381,0.0379146919431279,0.444,0.0,0.0,0.0,0.0412371134020618,0.0462427745664739,0.444,0.444,0.0574712643678161,0.0495049504950495,0.833,0.0980392156862745,0.036697247706422,0.05,0.0,0.0416666666666666,0.1153846153846153,0.04,0.025,0.0394736842105263,21.6,0.558,0.0,0.667,19.0,15.0,16.9,0.0,1.7,8.9,14.7,20.3,0.1,0.0,0.1,0.165,1.8,0.1,1.9,0.0,0.0100297298180273,0.427,-2.91
Carmelo Anthony,PF,17.0,33.0,0.9506172839506172,0.951219512195122,0.5809523809523809,0.7109004739336492,0.404,0.5238095238095238,0.61,0.357,0.4020618556701031,0.5144508670520231,0.437,0.476,0.2183908045977011,0.2475247524752475,0.767,0.1764705882352941,0.4495412844036697,0.3625,0.1262135922330097,0.25,0.2307692307692307,0.26,0.625,0.5328947368421053,12.7,0.503,0.406,0.165,2.9,17.7,10.0,6.5,0.9,1.8,7.3,23.2,1.2,2.5,3.7,0.071,-0.6,-1.3,-1.9,0.0,0.8269136528472018,0.488,0.96
OG Anunoby,SF,18.0,20.0,0.9012345679012346,0.7560975609756098,0.2095238095238095,0.2227488151658767,0.471,0.238095238095238,0.27,0.371,0.1237113402061855,0.1156069364161849,0.604,0.577,0.0574712643678161,0.0792079207920792,0.629,0.1176470588235294,0.1743119266055045,0.15625,0.0679611650485436,0.2916666666666667,0.0769230769230769,0.12,0.45,0.194078947368421,10.0,0.587,0.569,0.179,3.4,10.4,7.0,5.0,1.7,0.8,10.8,12.4,1.4,1.6,3.0,0.098,-1.2,0.6,-0.6,0.5,0.4897252442092195,0.5,1.59
Ryan Arcidiacono,PG,19.0,23.0,0.2839506172839506,0.0,0.0666666666666666,0.0805687203791469,0.415,0.0952380952380952,0.13,0.29,0.0309278350515463,0.0231213872832369,0.8,0.524,0.0229885057471264,0.0297029702970297,0.833,0.0,0.091743119266055,0.0625,0.145631067961165,0.2083333333333333,0.0,0.1,0.2,0.0657894736842105,7.3,0.55,0.756,0.146,0.3,8.8,4.4,15.5,2.1,0.0,23.0,8.1,0.1,0.2,0.3,0.04,-4.7,0.6,-4.1,-0.2,0.1028128981672057,0.488,1.37
Darrell Arthur,PF,21.0,29.0,0.2222222222222222,0.0121951219512195,0.1142857142857142,0.1184834123222748,0.468,0.0952380952380952,0.12,0.348,0.0721649484536082,0.0751445086705202,0.583,0.553,0.0114942528735632,0.0198019801980198,0.667,0.0392156862745098,0.055045871559633,0.05,0.0485436893203883,0.1666666666666666,0.0769230769230769,0.16,0.3,0.0921052631578947,8.4,0.559,0.489,0.064,2.4,9.5,6.0,9.3,2.8,1.8,23.7,19.5,-0.2,0.1,0.0,-0.011,-4.8,-0.5,-5.3,-0.1,0.0478290698814074,0.646,3.04
Jamel Artis,SG,22.0,25.0,0.1728395061728395,0.0121951219512195,0.2,0.2511848341232227,0.392,0.119047619047619,0.19,0.276,0.1546391752577319,0.1907514450867052,0.46,0.443,0.0574712643678161,0.0792079207920792,0.583,0.0588235294117647,0.2110091743119266,0.15625,0.116504854368932,0.0416666666666666,0.0769230769230769,0.1,0.175,0.1677631578947368,6.9,0.457,0.367,0.152,1.6,13.5,7.5,9.3,0.4,0.9,8.7,14.5,-0.1,0.1,0.0,-0.006,-3.8,-1.6,-5.4,-0.2,0.0965729033944264,0.415,-2.39
Ömer Aşık,C,23.0,31.0,0.1604938271604938,0.0,0.0476190476190476,0.0521327014218009,0.438,0.0,0.0,0.0,0.0515463917525773,0.0635838150289017,0.438,0.438,0.0344827586206896,0.0891089108910891,0.333,0.0980392156862745,0.1926605504587156,0.1625,0.0097087378640776,0.0416666666666666,0.0384615384615384,0.08,0.25,0.0427631578947368,4.5,0.423,0.0,0.75,6.5,26.0,16.6,2.0,0.4,1.3,19.0,9.4,-0.1,0.1,0.0,0.008,-5.6,-1.4,-7.0,-0.2,0.0416870854977294,0.512,1.63
D.J. Augustin,PG,24.0,30.0,0.9135802469135802,0.4390243902439024,0.3142857142857143,0.3412322274881516,0.452,0.3571428571428571,0.36,0.419,0.1752577319587629,0.2080924855491329,0.485,0.557,0.2528735632183908,0.2475247524752475,0.868,0.0784313725490196,0.1559633027522935,0.13125,0.3689320388349514,0.2916666666666667,0.0,0.32,0.325,0.3355263157894737,15.4,0.615,0.504,0.35,1.9,8.2,5.0,24.4,1.5,0.0,16.5,18.6,3.3,0.8,4.1,0.11,1.0,-1.2,-0.2,0.8,0.5820183606128916,0.415,-2.39
Luke Babbitt,SF,25.0,28.0,0.4444444444444444,0.1097560975609756,0.2095238095238095,0.2132701421800947,0.476,0.3095238095238095,0.3,0.441,0.0824742268041237,0.0867052023121387,0.544,0.622,0.0574712643678161,0.0594059405940594,0.773,0.0196078431372549,0.1926605504587156,0.1375,0.0679611650485436,0.0833333333333333,0.0384615384615384,0.08,0.325,0.2006578947368421,12.0,0.636,0.661,0.131,1.0,14.9,7.9,7.0,0.6,0.8,7.8,14.8,0.9,0.3,1.1,0.094,0.4,-1.1,-0.7,0.2,0.1905975366722205,0.5,0.32
Dwayne Bacon,SG,26.0,22.0,0.6419753086419753,0.073170731707317,0.1333333333333333,0.1706161137440758,0.375,0.0476190476190476,0.08,0.256,0.1237113402061855,0.1618497109826589,0.409,0.404,0.0459770114942528,0.0495049504950495,0.8,0.0196078431372549,0.2110091743119266,0.14375,0.0679611650485436,0.125,0.0,0.08,0.225,0.1085526315789473,5.8,0.431,0.224,0.13,0.6,18.5,9.4,7.5,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.007,-4.8,0.1,-4.7,-0.5,0.236695089679506,0.329,-5.89
Ron Baker,SG,27.0,24.0,0.345679012345679,0.0121951219512195,0.0666666666666666,0.0947867298578199,0.339,0.0952380952380952,0.11,0.333,0.0309278350515463,0.0520231213872832,0.346,0.432,0.0804597701149425,0.0891089108910891,0.769,0.0392156862745098,0.0825688073394495,0.0625,0.1553398058252427,0.375,0.0769230769230769,0.12,0.275,0.0789473684210526,9.3,0.504,0.559,0.441,1.4,7.2,4.3,15.5,3.3,1.3,20.4,10.0,0.1,0.4,0.5,0.059,-2.8,2.4,-0.4,0.2,0.1294717240027443,0.573,2.99
Wade Baldwin,PG,28.0,21.0,0.074074074074074,0.0,0.1904761904761904,0.1421800947867298,0.667,0.1428571428571428,0.0699999999999999,0.8,0.1443298969072165,0.1329479768786127,0.625,0.762,0.1034482758620689,0.1386138613861386,0.6,0.0196078431372549,0.091743119266055,0.06875,0.0679611650485436,0.125,0.0384615384615384,0.12,0.425,0.1776315789473684,16.6,0.748,0.238,0.476,1.4,9.5,5.5,9.8,1.2,1.0,13.6,16.1,0.2,0.1,0.3,0.187,0.2,1.7,1.9,0.1,0.0292070959521709,0.402,-3.96
Will Barton,SG,32.0,27.0,0.9876543209876544,0.4878048780487805,0.5428571428571429,0.6018957345971563,0.452,0.4523809523809523,0.52,0.37,0.3917525773195876,0.4335260115606936,0.51,0.528,0.2528735632183908,0.2772277227722772,0.805,0.1764705882352941,0.3853211009174312,0.3125,0.3980582524271844,0.4166666666666667,0.2307692307692307,0.36,0.525,0.5164473684210527,16.2,0.562,0.411,0.22,3.0,14.2,8.6,18.5,1.5,1.6,11.7,20.7,4.4,1.8,6.2,0.111,1.6,-0.4,1.1,2.1,0.8866999901989611,0.646,3.04
Jerryd Bayless,SG,34.0,29.0,0.4691358024691358,0.1341463414634146,0.2666666666666666,0.3175355450236967,0.416,0.3333333333333333,0.37,0.37,0.1443298969072165,0.1734104046242774,0.474,0.519,0.1034482758620689,0.1089108910891089,0.795,0.0784313725490196,0.1559633027522935,0.13125,0.1359223300970873,0.25,0.0769230769230769,0.24,0.575,0.2598684210526316,7.5,0.546,0.557,0.168,1.8,7.3,4.7,8.0,1.2,0.5,14.1,15.1,0.2,0.9,1.1,0.055,-2.7,-0.2,-2.8,-0.2,0.309288117873828,0.659,4.37
Aron Baynes,C,35.0,31.0,0.9876543209876544,0.8170731707317073,0.2476190476190476,0.2606635071090047,0.471,0.0,0.03,0.143,0.2680412371134021,0.3005780346820809,0.487,0.474,0.0804597701149425,0.099009900990099,0.756,0.3137254901960785,0.3486238532110091,0.3375,0.1067961165048543,0.125,0.2307692307692307,0.2,0.625,0.1973684210526315,12.0,0.502,0.047,0.175,9.7,22.1,16.0,9.6,0.7,2.9,14.3,16.8,0.5,2.5,3.0,0.097,-3.6,0.7,-2.9,-0.3,0.490476657192329,0.695,6.38
Malik Beasley,SG,38.0,21.0,0.7530864197530864,0.0,0.1142857142857142,0.1374407582938388,0.41,0.119047619047619,0.13,0.341,0.0721649484536082,0.0867052023121387,0.469,0.489,0.0459770114942528,0.0495049504950495,0.667,0.0392156862745098,0.0825688073394495,0.06875,0.0485436893203883,0.0833333333333333,0.0384615384615384,0.08,0.15,0.1052631578947368,9.0,0.509,0.461,0.185,2.7,11.0,6.9,7.4,1.3,1.0,11.1,16.2,0.1,0.3,0.3,0.028,-2.4,-1.4,-3.8,-0.3,0.1928844457512496,0.646,3.04
Michael Beasley,PF,39.0,29.0,0.9012345679012346,0.3658536585365853,0.5238095238095238,0.5165876777251185,0.507,0.119047619047619,0.12,0.395,0.5257731958762887,0.560693641618497,0.52,0.528,0.1954022988505747,0.2079207920792079,0.78,0.2549019607843137,0.3944954128440366,0.35,0.1650485436893203,0.2083333333333333,0.2307692307692307,0.38,0.5,0.4342105263157895,17.8,0.556,0.107,0.197,6.5,21.2,13.9,12.5,1.1,2.3,14.0,26.9,0.9,1.5,2.4,0.069,0.6,-0.8,-0.2,0.7,0.5466692802770426,0.573,2.99
Marco Belinelli,SG,40.0,31.0,0.4814814814814815,0.0121951219512195,0.41428571428571426,0.457345971563981,0.4525,0.45238095238095233,0.505,0.3785,0.25773195876288657,0.26878612716763,0.534,0.5509999999999999,0.2068965517241379,0.198019801980198,0.8985000000000001,0.04901960784313725,0.15137614678899075,0.115625,0.17475728155339804,0.33333333333333337,0.07692307692307684,0.23999999999999996,0.325,0.4111842105263158,14.149999999999999,0.591,0.5195000000000001,0.20950000000000002,1.1,7.1,4.15,11.4,1.6,0.6,10.45,20.5,1.2000000000000002,0.6499999999999999,1.85,0.097,0.3,-0.8,-0.5,0.35,0.32549250220523374,0.5795,2.345
DeAndre' Bembry,SF,42.0,23.0,0.3086419753086419,0.0365853658536585,0.1904761904761904,0.2322274881516587,0.414,0.0952380952380952,0.12,0.367,0.1649484536082474,0.2196531791907514,0.429,0.457,0.0804597701149425,0.1287128712871287,0.576,0.0588235294117647,0.2293577981651376,0.175,0.1844660194174757,0.3333333333333333,0.1923076923076923,0.36,0.375,0.1710526315789473,7.6,0.477,0.234,0.258,2.0,15.7,8.8,15.9,2.3,2.3,24.8,18.2,-0.9,0.5,-0.4,-0.04,-5.1,0.3,-4.7,-0.3,0.1537129602404521,0.5,0.32
Dragan Bender,PF,43.0,20.0,1.0,0.4512195121951219,0.219047619047619,0.2796208530805687,0.386,0.3333333333333333,0.39,0.366,0.0824742268041237,0.1156069364161849,0.426,0.508,0.0574712643678161,0.0594059405940594,0.765,0.0980392156862745,0.3577981651376146,0.275,0.1553398058252427,0.125,0.2307692307692307,0.2799999999999999,0.5,0.2138157894736842,7.1,0.524,0.665,0.105,2.0,16.8,9.3,8.9,0.5,2.1,18.1,12.7,-0.7,0.8,0.1,0.001,-2.9,-0.8,-3.7,-0.9,0.6835244535920807,0.549,2.08
Khem Birch,C,46.0,25.0,0.5061728395061729,0.0,0.1523809523809524,0.1421800947867298,0.54,0.0,0.0,0.0,0.1649484536082474,0.1734104046242774,0.54,0.54,0.1149425287356322,0.1485148514851485,0.689,0.3333333333333333,0.2385321100917431,0.26875,0.0776699029126213,0.1666666666666666,0.1923076923076923,0.1,0.325,0.1381578947368421,16.4,0.582,0.0,0.484,13.2,21.1,17.1,8.5,1.3,2.9,12.1,13.2,1.2,0.6,1.8,0.15,-0.7,-0.2,-0.9,0.2,0.1926884249730471,0.415,-2.39
Jabari Bird,SG,47.0,23.0,0.1481481481481481,0.0121951219512195,0.1142857142857142,0.0947867298578199,0.577,0.0476190476190476,0.05,0.429,0.0927835051546391,0.0867052023121387,0.632,0.635,0.0574712643678161,0.099009900990099,0.462,0.0980392156862745,0.091743119266055,0.09375,0.058252427184466,0.0833333333333333,0.0384615384615384,0.12,0.125,0.0986842105263157,12.1,0.615,0.269,0.5,5.8,12.2,9.0,10.5,1.3,0.7,20.1,15.4,0.1,0.2,0.2,0.098,-2.7,-0.4,-3.1,0.0,0.0397922179751053,0.695,6.38
Nemanja Bjelica,PF,49.0,29.0,0.8148148148148148,0.2560975609756097,0.2476190476190476,0.2606635071090047,0.461,0.2619047619047619,0.27,0.415,0.1443298969072165,0.1618497109826589,0.505,0.563,0.0574712643678161,0.0693069306930693,0.8,0.1568627450980392,0.3027522935779816,0.25625,0.1262135922330097,0.2916666666666667,0.0769230769230769,0.16,0.525,0.2236842105263158,12.6,0.581,0.493,0.121,4.4,18.8,11.5,8.7,1.8,1.0,11.7,14.3,1.7,1.1,2.8,0.097,-0.1,0.2,0.1,0.7,0.4539514521872652,0.512,-0.22
Antonio Blakeney,SG,51.0,21.0,0.2222222222222222,0.0,0.2666666666666666,0.3554502369668246,0.371,0.1904761904761904,0.27,0.288,0.2061855670103093,0.2774566473988439,0.418,0.423,0.1839080459770115,0.2079207920792079,0.769,0.0392156862745098,0.1376146788990825,0.10625,0.1067961165048543,0.1666666666666666,0.0384615384615384,0.12,0.25,0.2598684210526316,10.1,0.471,0.364,0.273,1.3,10.3,5.6,10.1,1.1,0.3,6.4,23.7,-0.2,0.1,0.0,-0.006,-2.8,-2.4,-5.2,-0.3,0.1073213760658629,0.488,1.37
