Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
519,Derrick Williams,PF,26,LAL,0.012345679012345678,0.0,0.047619047619047616,0.0947867298578199,.250,0.0,0.1,.000,0.051546391752577324,0.057803468208092484,.500,.250,0.0,0.0,0.0,0.0,0.04587155963302752,0.03125,0.0,0.0,0.0,0.0,0.0,0.03289473684210526,-3.2,.250,.500,.000,0.0,11.7,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.191,-9.8,-7.0,-16.8,0.0,0.0037570649155477145,0.524,0.43
520,Lou Williams,SG,31,LAC,0.9629629629629629,0.23170731707317074,0.7047619047619048,0.800947867298578,.435,0.5714285714285714,0.6599999999999999,.359,0.5154639175257733,0.6011560693641619,.484,.505,0.632183908045977,0.6138613861386139,0.88,0.09803921568627452,0.18348623853211007,0.15625,0.5145631067961165,0.45833333333333337,0.07692307692307693,0.6,0.325,0.743421052631579,20.2,.574,.387,.367,1.7,6.6,4.2,26.3,1.6,0.6,13.1,29.8,5.5,1.2,6.7,.125,4.2,-1.8,2.3,2.8,0.8558920578914698,0.537,0.31
521,Marvin Williams,PF,31,CHO,0.9506172839506173,0.9512195121951219,0.3142857142857143,0.34123222748815163,.458,0.38095238095238093,0.39,.413,0.1752577319587629,0.1907514450867052,.512,.570,0.14942528735632185,0.15841584158415842,0.829,0.17647058823529413,0.34862385321100914,0.29375,0.11650485436893203,0.2916666666666667,0.1923076923076923,0.16,0.375,0.3125,13.9,.603,.542,.218,3.9,16.2,10.0,7.0,1.4,1.6,9.7,14.8,3.1,1.9,5.0,.119,0.6,0.3,1.0,1.5,0.6631056225293215,0.329,-5.89
522,Matt Williams,SG,24,MIA,0.024691358024691357,0.0,0.06666666666666667,0.0947867298578199,.333,0.07142857142857142,0.16999999999999998,.200,0.030927835051546393,0.017341040462427744,1.000,.417,0.0,0.0,0.0,0.0,0.027522935779816512,0.01875,0.0,0.0,0.0,0.06,0.075,0.05592105263157895,-0.7,.417,.833,.000,0.0,10.2,5.1,0.0,0.0,0.0,14.3,28.6,-0.1,0.0,0.0,-0.197,-7.0,-4.2,-11.2,0.0,0.004149106471952694,0.537,-0.13
523,Troy Williams,SF,23,HOU,0.037037037037037035,0.0,0.047619047619047616,0.10900473933649288,.222,0.0,0.13,.000,0.051546391752577324,0.057803468208092484,.500,.222,0.034482758620689655,0.07920792079207921,0.333,0.058823529411764705,0.07339449541284404,0.0625,0.029126213592233007,0.125,0.0,0.06,0.125,0.04276315789473684,-2.4,.242,.556,.333,6.7,19.7,13.3,8.6,2.9,0.0,8.8,29.4,-0.1,0.0,-0.1,-0.260,-12.4,-3.3,-15.7,-0.1,0.006305335032180078,0.268,-7.62
523,Troy Williams,SF,23,NYK,0.19753086419753085,0.012195121951219513,0.2761904761904762,0.2796208530805687,.490,0.14285714285714285,0.19,.333,0.22680412371134023,0.2254335260115607,.567,.545,0.12643678160919541,0.15841584158415842,0.704,0.23529411764705882,0.2018348623853211,0.21875,0.08737864077669903,0.45833333333333337,0.07692307692307693,0.22000000000000003,0.475,0.2467105263157895,16.2,.572,.330,.270,8.1,14.5,11.3,7.7,3.2,1.2,13.9,19.6,0.3,0.3,0.6,.105,-0.3,0.7,0.4,0.2,0.09967656571596589,0.573,2.99
524,D.J. Wilson,PF,21,MIL,0.25925925925925924,0.0,0.0380952380952381,0.03317535545023696,.563,0.023809523809523808,0.02,.400,0.030927835051546393,0.028901734104046242,.636,.625,0.0,0.009900990099009901,0.5,0.019607843137254905,0.03669724770642202,0.03125,0.009708737864077669,0.04166666666666667,0.0,0.04,0.075,0.03289473684210526,10.3,.622,.313,.125,3.3,13.2,8.3,6.1,2.1,1.2,19.2,13.3,0.0,0.1,0.1,.054,-2.0,0.0,-2.0,0.0,0.023587833643699565,0.707,3.61
525,Jamil Wilson,SF,27,LAC,0.1728395061728395,0.12195121951219512,0.23809523809523808,0.2559241706161137,.469,0.42857142857142855,0.42000000000000004,.429,0.07216494845360825,0.06936416184971098,.611,.636,0.01149425287356322,0.0297029702970297,0.5,0.03921568627450981,0.17431192660550457,0.13125,0.06796116504854369,0.125,0.1923076923076923,0.1,0.575,0.23026315789473686,11.4,.634,.778,.049,1.2,11.5,6.4,5.2,0.9,2.4,8.8,14.3,0.4,0.2,0.5,.096,0.0,0.2,0.2,0.2,0.09484138652030448,0.537,0.31
526,Justise Winslow,PF,21,MIA,0.8271604938271605,0.3048780487804878,0.2857142857142857,0.34123222748815163,.424,0.16666666666666666,0.19,.380,0.23711340206185566,0.30635838150289013,.440,.474,0.1149425287356322,0.1485148514851485,0.635,0.17647058823529413,0.4128440366972477,0.3375,0.21359223300970875,0.33333333333333337,0.1923076923076923,0.22000000000000003,0.525,0.2565789473684211,11.5,.496,.264,.213,4.3,20.5,12.4,13.0,1.6,1.7,12.6,16.3,0.2,2.4,2.6,.075,-2.2,1.1,-1.1,0.4,0.5562742984089647,0.537,-0.13
527,Jeff Withey,C,27,DAL,0.09876543209876543,0.0,0.06666666666666667,0.08530805687203791,.375,0.047619047619047616,0.11000000000000001,.200,0.04123711340206186,0.040462427745664734,.667,.438,0.01149425287356322,0.019801980198019802,0.5,0.019607843137254905,0.09174311926605504,0.06875,0.0,0.0,0.11538461538461538,0.04,0.075,0.05592105263157895,8.3,.444,.625,.125,2.8,26.6,14.2,0.0,0.0,6.8,10.6,22.0,-0.1,0.1,0.0,-0.054,-4.4,-0.6,-5.0,0.0,0.013492763566271358,0.463,-0.14
528,Nate Wolters,PG,26,UTA,0.04938271604938271,0.0,0.01904761904761905,0.05687203791469194,.167,0.0,0.0,0,0.02061855670103093,0.06936416184971098,.167,.167,0.0,0.0,0.0,0.03921568627450981,0.01834862385321101,0.025,0.019417475728155338,0.0,0.0,0.0,0.05,0.013157894736842106,-2.9,.167,.000,.000,6.0,5.9,6.0,7.1,0.0,0.0,0.0,14.2,-0.1,0.0,-0.1,-0.137,-9.4,-3.4,-12.8,-0.1,0.006795386977686301,0.451,-1.03
529,Brandan Wright,PF,30,MEM,0.32098765432098764,0.012195121951219513,0.2,0.17535545023696683,.576,0.0,0.0,0,0.21649484536082478,0.2138728323699422,.576,.576,0.09195402298850576,0.1188118811881188,0.636,0.23529411764705882,0.2110091743119266,0.2125,0.04854368932038835,0.20833333333333334,0.34615384615384615,0.06,0.275,0.16447368421052633,19.3,.595,.000,.333,9.9,19.7,14.7,5.8,1.8,6.4,6.6,14.9,0.8,0.5,1.2,.163,1.2,1.0,2.3,0.4,0.12336240974876671,0.622,3.6
529,Brandan Wright,PF,30,HOU,0.0,0.0,0.19047619047619047,0.14218009478672985,.667,0.0,0.0,0,0.2061855670103093,0.17341040462427745,.667,.667,0.0,0.0,0.0,0.19607843137254904,0.09174311926605504,0.125,0.0,0.0,0.3846153846153846,0.0,0.75,0.13157894736842105,11.3,.667,.000,.000,7.6,7.5,7.5,0.0,0.0,5.7,0.0,8.8,0.0,0.0,0.0,.157,-1.5,0.3,-1.2,0.0,0.009147636316116176,0.268,-7.62
530,Delon Wright,PG,25,TOR,0.8395061728395061,0.04878048780487805,0.2761904761904762,0.2985781990521327,.465,0.19047619047619047,0.22000000000000003,.366,0.21649484536082478,0.23121387283236994,.520,.530,0.16091954022988506,0.16831683168316833,0.829,0.13725490196078433,0.2018348623853211,0.18125,0.2815533980582524,0.4166666666666667,0.1923076923076923,0.22000000000000003,0.3,0.2631578947368421,16.5,.574,.354,.271,3.6,11.7,7.7,19.6,2.5,1.8,13.9,17.2,2.5,2.1,4.5,.152,1.4,1.8,3.3,1.9,0.47430494299062365,0.5,1.59
531,Guerschon Yabusele,PF,22,BOS,0.3950617283950617,0.04878048780487805,0.0761904761904762,0.08530805687203791,.426,0.09523809523809523,0.11000000000000001,.324,0.04123711340206186,0.040462427745664734,.583,.525,0.0574712643678161,0.0693069306930693,0.682,0.09803921568627452,0.10091743119266056,0.1,0.04854368932038835,0.04166666666666667,0.07692307692307693,0.08,0.175,0.07894736842105263,12.3,.559,.607,.361,8.0,16.1,12.1,10.0,0.9,1.8,14.5,15.7,0.3,0.3,0.6,.122,-1.4,0.2,-1.2,0.0,0.07844098141069619,0.695,6.38
532,James Young,SG,22,PHI,0.06172839506172839,0.0,0.0761904761904762,0.10900473933649288,.357,0.11904761904761904,0.16999999999999998,.300,0.030927835051546393,0.040462427745664734,.500,.464,0.08045977011494253,0.09900990099009901,0.667,0.0,0.027522935779816512,0.01875,0.029126213592233007,0.0,0.0,0.04,0.175,0.09210526315789473,4.6,.511,.714,.429,0.0,3.4,1.8,4.3,0.0,0.0,5.7,12.3,0.0,0.0,0.1,.041,-4.5,-2.4,-6.9,-0.1,0.022607729752687118,0.659,4.37
533,Joe Young,PG,25,IND,0.6419753086419753,0.012195121951219513,0.14285714285714285,0.16587677725118483,.430,0.11904761904761904,0.12,.379,0.10309278350515465,0.1329479768786127,.458,.497,0.04597701149425288,0.04950495049504951,0.759,0.03921568627450981,0.09174311926605504,0.075,0.06796116504854369,0.125,0.0,0.1,0.175,0.12828947368421054,10.1,.521,.355,.156,2.4,10.3,6.4,9.9,1.3,0.2,11.6,18.0,0.1,0.4,0.5,.043,-2.3,-1.2,-3.5,-0.2,0.18507628475285046,0.427,-2.91
534,Nick Young,SG,32,GSW,0.9753086419753086,0.0975609756097561,0.23809523809523808,0.2890995260663507,.412,0.35714285714285715,0.41,.377,0.10309278350515465,0.11560693641618497,.481,.538,0.08045977011494253,0.07920792079207921,0.862,0.058823529411764705,0.11926605504587157,0.1,0.04854368932038835,0.20833333333333334,0.038461538461538464,0.1,0.325,0.24013157894736842,10.0,.562,.668,.133,1.7,7.9,5.0,3.5,1.3,0.4,7.0,17.5,0.8,0.9,1.7,.059,-1.6,-1.9,-3.5,-0.5,0.46012610670064363,0.537,1.66
535,Thaddeus Young,PF,29,IND,0.9876543209876543,0.9878048780487805,0.49523809523809526,0.5071090047393364,.487,0.16666666666666666,0.22000000000000003,.320,0.4639175257731959,0.48554913294797686,.531,.521,0.08045977011494253,0.10891089108910892,0.598,0.45098039215686275,0.36697247706422015,0.39375,0.1844660194174757,0.7083333333333334,0.15384615384615385,0.26,0.55,0.38815789473684215,14.8,.528,.209,.106,8.0,14.1,11.1,8.5,2.6,1.2,10.4,17.3,2.3,3.2,5.5,.101,-0.2,0.4,0.2,1.4,0.8615766604593419,0.427,-2.91
536,Cody Zeller,C,25,CHO,0.3950617283950617,0.0,0.24761904761904763,0.22274881516587677,.545,0.023809523809523808,0.01,.667,0.2577319587628866,0.2658959537572254,.542,.551,0.20689655172413796,0.25742574257425743,0.718,0.3921568627450981,0.3027522935779816,0.3375,0.08737864077669903,0.16666666666666669,0.23076923076923075,0.2,0.625,0.23355263157894737,15.9,.602,.019,.545,11.4,19.3,15.3,7.4,1.1,2.8,14.6,15.7,1.2,0.7,1.9,.145,-1.2,0.0,-1.2,0.1,0.210395635270672,0.329,-5.89
537,Tyler Zeller,C,28,BRK,0.5061728395061729,0.4024390243902439,0.2857142857142857,0.2606635071090047,.546,0.047619047619047616,0.06,.385,0.2783505154639176,0.2774566473988439,.567,.568,0.1149425287356322,0.1386138613861386,0.667,0.29411764705882354,0.28440366972477066,0.2875,0.06796116504854369,0.08333333333333334,0.1923076923076923,0.16,0.475,0.23355263157894737,15.3,.587,.114,.262,9.4,20.0,14.7,6.5,0.6,2.2,12.1,17.9,1.0,0.6,1.5,.105,-0.7,-0.4,-1.0,0.2,0.23447352085987783,0.549,1.03
537,Tyler Zeller,C,28,MIL,0.2839506172839506,0.012195121951219513,0.24761904761904763,0.2085308056872038,.590,0.0,0.01,.000,0.2680412371134021,0.24855491329479767,.602,.590,0.08045977011494253,0.07920792079207921,0.895,0.3921568627450981,0.24770642201834864,0.2875,0.07766990291262135,0.125,0.23076923076923075,0.1,0.5,0.19407894736842107,17.1,.622,.019,.181,13.6,18.4,16.0,7.0,0.9,2.9,9.6,13.9,1.1,0.3,1.4,.163,-0.3,-1.8,-2.1,0.0,0.13750857590904636,0.707,3.61
