Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Nickeil Alexander-Walker,SG,5.0,21.0,0.6301369863013698,0.0136986301369863,0.1926605504587156,0.2489082969432314,0.368,0.2272727272727272,0.2258064516129032,0.346,0.1145833333333333,0.1497326203208556,0.391,0.455,0.0490196078431372,0.0677966101694915,0.676,0.0434782608695652,0.1403508771929824,0.1139240506329113,0.1862745098039215,0.1904761904761904,0.0689655172413793,0.2291666666666666,0.24,0.1661807580174927,8.9,0.473,0.5,0.139,1.6,13.5,7.5,21.1,1.3,1.1,16.1,23.3,-0.7,0.4,-0.2,-0.02,-3.2,-1.4,-4.6,-0.4,0.2322331596216946,0.512,1.63
Grayson Allen,SG,6.0,24.0,0.5068493150684932,0.0,0.2844036697247706,0.2882096069868995,0.466,0.3409090909090909,0.2983870967741935,0.404,0.1666666666666666,0.1550802139037433,0.545,0.58,0.0980392156862745,0.1016949152542372,0.867,0.0434782608695652,0.175438596491228,0.1392405063291139,0.1372549019607843,0.1428571428571428,0.0344827586206896,0.1875,0.2799999999999999,0.2536443148688047,12.0,0.609,0.562,0.179,1.2,11.1,6.2,10.0,0.7,0.2,10.9,17.6,0.8,0.4,1.2,0.082,-0.1,-1.2,-1.3,0.1,0.2836904072572862,0.622,3.6
Kadeem Allen,PG,8.0,27.0,0.1232876712328767,0.0,0.1743119266055045,0.1921397379912664,0.432,0.1136363636363636,0.1290322580645161,0.313,0.1458333333333333,0.1497326203208556,0.5,0.489,0.0686274509803921,0.0932203389830508,0.636,0.0434782608695652,0.0614035087719298,0.0569620253164556,0.2058823529411765,0.238095238095238,0.0689655172413793,0.1666666666666666,0.1399999999999999,0.1457725947521866,14.0,0.512,0.364,0.25,1.8,6.6,4.1,27.0,2.1,1.6,14.1,20.6,0.1,0.1,0.1,0.053,-0.3,-0.7,-0.9,0.0,0.0489094769349546,0.573,2.99
Al-Farouq Aminu,PF,9.0,29.0,0.2328767123287671,0.0273972602739726,0.128440366972477,0.2096069868995633,0.291,0.1136363636363636,0.1612903225806451,0.25,0.09375,0.1497326203208556,0.32,0.343,0.1078431372549019,0.135593220338983,0.655,0.2826086956521739,0.3070175438596491,0.3037974683544303,0.1176470588235294,0.4761904761904761,0.1379310344827586,0.1875,0.3,0.1253644314868804,7.6,0.395,0.419,0.337,6.6,18.4,12.3,7.4,2.3,1.9,14.7,13.2,-0.4,0.5,0.1,0.014,-4.4,1.4,-3.0,-0.1,0.1540629222157884,0.415,-2.39
Justin Anderson,SG,10.0,26.0,0.1232876712328767,0.0136986301369863,0.091743119266055,0.1659388646288209,0.263,0.1363636363636363,0.2338709677419354,0.207,0.0416666666666666,0.0481283422459893,0.444,0.342,0.0196078431372549,0.0338983050847457,0.5,0.0217391304347826,0.175438596491228,0.1329113924050632,0.0784313725490196,0.0,0.2068965517241379,0.0833333333333333,0.26,0.0816326530612245,3.2,0.352,0.763,0.105,1.0,18.9,10.2,10.1,0.0,4.7,9.1,17.1,-0.2,0.1,-0.1,-0.054,-6.8,-1.0,-7.7,-0.2,0.044663192433893,0.549,1.03
Kyle Anderson,SF,11.0,26.0,0.9041095890410958,0.3835616438356164,0.2110091743119266,0.2139737991266375,0.474,0.0909090909090909,0.1048387096774193,0.282,0.2083333333333333,0.1978609625668449,0.541,0.511,0.0784313725490196,0.1016949152542372,0.667,0.1956521739130435,0.2982456140350877,0.2721518987341771,0.2352941176470588,0.3809523809523809,0.2068965517241379,0.2083333333333333,0.3399999999999999,0.1690962099125364,12.5,0.534,0.257,0.236,4.7,17.6,11.3,15.9,1.9,2.4,15.3,13.5,0.9,1.7,2.5,0.091,-1.5,2.0,0.5,0.9,0.5203242617255357,0.622,3.6
Kostas Antetokounmpo,PF,14.0,22.0,0.0547945205479452,0.0,0.055045871559633,0.0262008733624454,1.0,0.0,0.0,0.0,0.0625,0.0320855614973262,1.0,1.0,0.0196078431372549,0.0338983050847457,0.5,0.0869565217391304,0.0175438596491228,0.0379746835443037,0.0392156862745098,0.0,0.0,0.0416666666666666,0.08,0.0408163265306122,16.3,0.902,0.0,0.667,11.1,5.4,8.2,13.7,0.0,0.0,20.5,10.3,0.1,0.0,0.1,0.193,0.2,-0.9,-0.7,0.0,0.0084925690021231,0.524,0.43
Thanasis Antetokounmpo,SF,15.0,27.0,0.2602739726027397,0.0273972602739726,0.110091743119266,0.1048034934497816,0.5,0.0,0.0403225806451612,0.0,0.125,0.1016042780748663,0.632,0.5,0.0392156862745098,0.0762711864406779,0.412,0.1304347826086956,0.0526315789473684,0.0759493670886075,0.0784313725490196,0.1904761904761904,0.0344827586206896,0.125,0.18,0.0816326530612245,12.2,0.496,0.208,0.354,9.8,8.7,9.2,16.3,2.5,1.4,17.8,21.6,-0.1,0.2,0.2,0.07,-4.6,1.4,-3.2,0.0,0.0515344528083381,0.707,3.61
Carmelo Anthony,PF,16.0,35.0,0.7808219178082192,0.7945205479452054,0.5321100917431192,0.5895196506550219,0.43,0.3409090909090909,0.314516129032258,0.385,0.4479166666666667,0.5133689839572193,0.448,0.485,0.2254901960784313,0.2372881355932203,0.845,0.2608695652173913,0.4473684210526315,0.3987341772151898,0.1470588235294117,0.3809523809523809,0.1724137931034483,0.3541666666666667,0.58,0.4489795918367347,12.4,0.525,0.289,0.206,3.9,16.1,10.1,6.4,1.2,1.2,10.5,21.2,0.4,0.9,1.3,0.033,-1.8,-1.8,-3.6,-0.8,0.7461107894228913,0.402,-3.96
OG Anunoby,SF,17.0,22.0,0.9315068493150684,0.9315068493150684,0.3761467889908256,0.3580786026200873,0.505,0.2954545454545454,0.2661290322580645,0.39,0.3020833333333333,0.2620320855614974,0.583,0.584,0.0980392156862745,0.1271186440677966,0.706,0.2608695652173913,0.3596491228070175,0.3354430379746835,0.1568627450980392,0.6666666666666666,0.2413793103448275,0.2291666666666666,0.48,0.3090379008746355,13.2,0.6,0.403,0.18,4.2,14.2,9.3,7.5,2.2,2.1,11.5,14.3,2.1,3.7,5.7,0.134,-0.8,2.0,1.2,1.7,0.8082995560702567,0.5,1.59
Ryan Arcidiacono,PG,18.0,25.0,0.7808219178082192,0.0547945205479452,0.146788990825688,0.1659388646288209,0.409,0.2045454545454545,0.1935483870967742,0.391,0.0625,0.0748663101604278,0.439,0.532,0.0490196078431372,0.059322033898305,0.711,0.0652173913043478,0.1403508771929824,0.120253164556962,0.1666666666666666,0.238095238095238,0.0344827586206896,0.125,0.3399999999999999,0.1311953352769679,9.0,0.551,0.627,0.173,2.3,11.2,6.5,14.3,1.4,0.3,13.5,12.5,0.7,0.7,1.4,0.071,-2.7,-0.1,-2.8,-0.2,0.3644084153638294,0.488,1.37
Trevor Ariza,SF,19.0,34.0,0.4246575342465753,0.0,0.18348623853211,0.2270742358078603,0.388,0.2954545454545454,0.3064516129032257,0.352,0.0729166666666666,0.0695187165775401,0.488,0.518,0.0686274509803921,0.0677966101694915,0.778,0.1521739130434782,0.3421052631578947,0.291139240506329,0.1568627450980392,0.5238095238095238,0.0689655172413793,0.1875,0.4,0.1749271137026239,9.4,0.543,0.739,0.164,2.9,18.2,10.4,8.3,2.1,0.8,13.7,11.2,0.3,0.8,1.1,0.066,-1.9,1.3,-0.6,0.3,0.3141092453194364,0.585,2.3
Dwayne Bacon,SG,22.0,24.0,0.5205479452054794,0.1506849315068493,0.2018348623853211,0.2751091703056769,0.348,0.1136363636363636,0.1370967741935483,0.284,0.1770833333333333,0.2406417112299465,0.373,0.387,0.088235294117647,0.1186440677966101,0.66,0.0869565217391304,0.1929824561403509,0.1645569620253164,0.1274509803921568,0.2857142857142857,0.0344827586206896,0.1875,0.26,0.1661807580174927,6.1,0.419,0.275,0.217,2.3,14.0,7.9,11.7,1.7,0.3,12.2,19.5,-1.2,0.4,-0.8,-0.053,-5.9,-0.9,-6.8,-0.8,0.2712217718587145,0.329,-5.89
Harrison Barnes,PF,27.0,27.0,0.9726027397260274,0.9863013698630136,0.4678899082568807,0.4803493449781659,0.46,0.3181818181818181,0.2983870967741935,0.381,0.3854166666666667,0.3903743315508021,0.501,0.525,0.2941176470588235,0.3135593220338983,0.801,0.2391304347826087,0.3421052631578947,0.310126582278481,0.2156862745098039,0.2857142857142857,0.0689655172413793,0.25,0.26,0.4227405247813411,13.3,0.574,0.338,0.337,3.4,12.9,8.1,9.2,0.8,0.5,8.8,17.4,3.4,1.1,4.6,0.088,0.0,-1.3,-1.3,0.5,0.9706620343563018,0.585,2.3
