Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Precious Achiuwa,PF,21,MIA,0.8450704225352113,0.05555555555555555,0.17857142857142858,0.16086956521739132,.544,0.0,0.0,.000,0.19607843137254904,0.22023809523809523,.546,.544,0.09782608695652174,0.16822429906542058,0.509,0.2553191489361702,0.21782178217821785,0.23776223776223773,0.042735042735042736,0.14285714285714285,0.14705882352941177,0.13999999999999999,0.375,0.15625,14.2,.550,.004,.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,.085,-3.6,-0.5,-4.1,-0.4,0.2753650040761877,0.537,-0.13
2,Jaylen Adams,PG,24,MIL,0.08450704225352113,0.0,0.00892857142857143,0.04782608695652174,.125,0.0,0.023622047244094488,.000,0.009803921568627453,0.05357142857142857,.167,.125,0.0,0.0,0.0,0.0,0.039603960396039604,0.027972027972027972,0.02564102564102564,0.0,0.0,0.0,0.025,0.009375,-6.5,.125,.250,.000,0.0,16.9,8.8,12.7,0.0,0.0,0.0,18.6,-0.1,0.0,-0.1,-0.252,-15.1,-4.6,-19.8,-0.1,0.005410212702882977,0.707,3.61
3,Steven Adams,C,27,NOP,0.8028169014084507,0.8055555555555556,0.29464285714285715,0.23043478260869565,.614,0.0,0.007874015748031498,.000,0.3235294117647059,0.31547619047619047,.620,.614,0.10869565217391305,0.21495327102803738,0.444,0.7872340425531915,0.5148514851485149,0.6223776223776224,0.1623931623931624,0.42857142857142855,0.20588235294117646,0.26,0.475,0.2375,15.1,.596,.010,.438,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4.0,.119,-0.4,0.1,-0.3,0.7,0.6027940413547765,0.512,1.63
4,Bam Adebayo,C,23,MIA,0.8873239436619719,0.8888888888888888,0.6339285714285714,0.5434782608695652,.570,0.0,0.007874015748031498,.250,0.696078431372549,0.7380952380952381,.573,.571,0.47826086956521746,0.5140186915887851,0.799,0.46808510638297873,0.6633663366336634,0.6293706293706294,0.4615384615384616,0.5714285714285714,0.29411764705882354,0.52,0.575,0.584375,22.7,.626,.010,.443,7.7,22.6,15.3,26.9,1.7,3.2,15.0,23.7,5.6,3.2,8.8,.197,2.9,2.0,4.9,3.7,0.8043059364114726,0.537,-0.13
5,LaMarcus Aldridge,C,35,SAS,0.28169014084507044,0.25,0.4910714285714286,0.5130434782608696,.464,0.24528301886792456,0.28346456692913385,.360,0.411764705882353,0.488095238095238,.509,.518,0.16304347826086957,0.16822429906542058,0.838,0.1702127659574468,0.3663366336633664,0.3146853146853147,0.1452991452991453,0.19047619047619047,0.2647058823529412,0.2,0.425,0.428125,15.1,.545,.302,.149,3.3,15.4,9.2,10.2,0.7,2.8,7.0,22.7,0.3,0.5,0.8,.067,-0.2,-0.7,-0.9,0.2,0.20896020158600756,0.268,-9.82
5,LaMarcus Aldridge,C,35,BRK,0.056338028169014086,0.06944444444444445,0.44642857142857145,0.41739130434782606,.521,0.15094339622641512,0.07874015748031496,.800,0.411764705882353,0.5119047619047619,.488,.563,0.2173913043478261,0.1869158878504673,1.0,0.0851063829787234,0.4356435643564357,0.3356643356643356,0.22222222222222224,0.2857142857142857,0.6470588235294118,0.27999999999999997,0.55,0.4,18.2,.611,.104,.208,1.8,17.8,10.2,14.3,1.1,7.4,11.8,19.9,0.2,0.2,0.4,.135,0.1,2.1,2.2,0.1,0.05558437708441414,0.549,1.03
6,Ty-Shon Alexander,SG,22,PHO,0.19718309859154928,0.0,0.01785714285714286,0.034782608695652174,.250,0.01886792452830189,0.047244094488188976,.222,0.009803921568627453,0.011904761904761904,.333,.333,0.010869565217391306,0.009345794392523366,0.5,0.02127659574468085,0.04950495049504951,0.048951048951048945,0.03418803418803419,0.0,0.029411764705882356,0.04,0.025,0.01875,4.2,.349,.750,.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1,0.01634180686281776,0.549,2.08
7,Nickeil Alexander-Walker,SG,22,NOP,0.6338028169014085,0.18055555555555555,0.37500000000000006,0.43478260869565216,.419,0.32075471698113206,0.3779527559055118,.347,0.2450980392156863,0.30952380952380953,.485,.502,0.10869565217391305,0.1308411214953271,0.727,0.06382978723404255,0.2772277227722772,0.21678321678321677,0.18803418803418806,0.47619047619047616,0.14705882352941177,0.3,0.475,0.34375,12.5,.522,.478,.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,.035,-1.4,0.1,-1.3,0.2,0.3790483954643149,0.512,1.63
8,Grayson Allen,SG,25,MEM,0.6901408450704225,0.5277777777777778,0.3125,0.36086956521739133,.418,0.39622641509433965,0.4330708661417323,.391,0.12745098039215688,0.16666666666666666,.471,.547,0.1739130434782609,0.16822429906542058,0.868,0.0851063829787234,0.2772277227722772,0.22377622377622378,0.18803418803418806,0.42857142857142855,0.05882352941176471,0.2,0.35,0.33125,12.8,.586,.662,.220,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,.101,-0.2,0.1,-0.2,0.6,0.4736530052619877,0.622,3.6
9,Jarrett Allen,C,22,BRK,0.15492957746478872,0.06944444444444445,0.3303571428571429,0.23478260869565218,.677,0.0,0.0,0,0.36274509803921573,0.32142857142857145,.677,.677,0.41304347826086957,0.4766355140186916,0.754,0.6808510638297872,0.7227722772277227,0.7272727272727273,0.1452991452991453,0.2857142857142857,0.4705882352941177,0.36,0.45,0.35,21.5,.730,.000,.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,1.0,0.5,1.4,.216,1.7,0.9,2.6,0.4,0.12625064848439932,0.549,1.03
