Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Álex Abrines,SG,23,OKC,0.8271604938271605,0.07317073170731707,0.1941747572815534,0.20833333333333334,.393,0.34146341463414637,0.36,.381,0.061855670103092786,0.07291666666666667,.426,.531,0.06521739130434782,0.06422018348623852,0.898,0.06976744186046512,0.0970873786407767,0.0921985815602837,0.053571428571428575,0.25,0.016666666666666666,0.08771929824561403,0.3863636363636363,0.18987341772151897,10.1,.560,.724,.144,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,1.2,0.9,2.1,.096,-1.3,-0.4,-1.6,0.1,0.34655552672548007,0.488,0.96
2,Quincy Acy,PF,26,DAL,0.06172839506172839,0.0,0.07766990291262135,0.11666666666666665,.294,0.04878048780487806,0.12,.143,0.07216494845360825,0.08854166666666667,.400,.324,0.03260869565217391,0.04587155963302752,0.667,0.06976744186046512,0.0970873786407767,0.0921985815602837,0.0,0.0,0.0,0.05263157894736842,0.3409090909090909,0.06962025316455696,-1.4,.355,.412,.176,4.6,15.2,9.7,0.0,0.0,0.0,9.8,20.0,-0.2,0.0,-0.1,-0.133,-10.3,-4.1,-14.3,-0.1,0.017514270887389726,0.463,-0.14
2,Quincy Acy,PF,26,BRK,0.38271604938271603,0.012195121951219513,0.1941747572815534,0.19999999999999998,.425,0.26829268292682934,0.26,.434,0.09278350515463918,0.11458333333333334,.414,.542,0.14130434782608697,0.1651376146788991,0.754,0.13953488372093023,0.27184466019417475,0.23404255319148937,0.053571428571428575,0.2,0.08333333333333333,0.10526315789473684,0.40909090909090906,0.20569620253164556,13.1,.587,.542,.373,3.8,18.2,11.1,5.4,1.3,2.2,9.6,16.5,0.6,0.5,1.1,.102,-0.6,-0.2,-0.9,0.1,0.16992086144265697,0.549,1.03
3,Steven Adams,C,23,OKC,0.9753086419753086,0.975609756097561,0.45631067961165045,0.3416666666666666,.571,0.0,0.0,.000,0.48453608247422686,0.4270833333333333,.572,.571,0.2173913043478261,0.29357798165137616,0.611,0.813953488372093,0.4077669902912621,0.5460992907801419,0.09821428571428573,0.55,0.16666666666666666,0.3157894736842105,0.5454545454545454,0.3575949367088608,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,3.3,3.1,6.5,.130,-0.2,0.0,-0.2,1.1,0.7838933575505969,0.488,0.96
4,Arron Afflalo,SG,31,SAC,0.7407407407407407,0.5487804878048781,0.2912621359223301,0.28750000000000003,.440,0.24390243902439027,0.25,.411,0.2061855670103093,0.22916666666666669,.457,.514,0.15217391304347827,0.13761467889908258,0.892,0.023255813953488375,0.1844660194174757,0.14184397163120568,0.11607142857142859,0.15,0.016666666666666666,0.12280701754385964,0.3863636363636363,0.26582278481012656,8.9,.559,.360,.221,0.7,8.4,4.6,7.4,0.7,0.3,8.4,14.4,1.2,0.2,1.4,.043,-2.1,-1.5,-3.6,-0.7,0.5202062791904516,0.585,2.3
5,Alexis Ajinça,C,28,NOP,0.4691358024691358,0.18292682926829268,0.22330097087378636,0.19166666666666665,.500,0.0,0.01,.000,0.23711340206185566,0.234375,.511,.500,0.07608695652173914,0.09174311926605504,0.725,0.27906976744186046,0.33009708737864074,0.3191489361702128,0.026785714285714288,0.25,0.09999999999999999,0.14035087719298245,0.45454545454545453,0.16772151898734175,12.9,.529,.022,.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,0.0,0.9,1.0,.080,-4.0,0.7,-3.3,-0.2,0.1936299948105864,0.512,1.63
6,Cole Aldrich,C,28,MIN,0.7530864197530864,0.0,0.06796116504854369,0.05833333333333333,.523,0.0,0.0,0,0.07216494845360825,0.07291666666666667,.523,.523,0.02173913043478261,0.03669724770642202,0.682,0.186046511627907,0.16504854368932037,0.1773049645390071,0.03571428571428572,0.2,0.06666666666666667,0.05263157894736842,0.3181818181818181,0.053797468354430375,12.7,.549,.000,.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,0.6,0.7,1.3,.116,-2.3,1.5,-0.8,0.2,0.17436429683445773,0.512,-0.22
7,LaMarcus Aldridge,PF,31,SAS,0.8765432098765432,0.8780487804878049,0.6699029126213593,0.6083333333333333,.477,0.07317073170731708,0.08,.411,0.6804123711340206,0.7187500000000001,.480,.488,0.3369565217391305,0.34862385321100914,0.812,0.5581395348837209,0.47572815533980584,0.5177304964539007,0.16964285714285715,0.3,0.19999999999999998,0.24561403508771928,0.5,0.5474683544303798,18.6,.532,.053,.258,8.5,16.6,12.7,9.9,1.0,3.0,7.7,24.5,3.5,3.7,7.2,.149,0.7,0.1,0.8,1.7,0.7671899325376234,0.268,-9.82
8,Lavoy Allen,PF,27,IND,0.7407407407407407,0.06097560975609756,0.1262135922330097,0.11666666666666665,.458,0.0,0.0,.000,0.13402061855670105,0.14062500000000003,.461,.458,0.04347826086956522,0.04587155963302752,0.697,0.3953488372093023,0.1844660194174757,0.25531914893617025,0.08035714285714286,0.15,0.06666666666666667,0.08771929824561403,0.2954545454545454,0.09177215189873417,11.6,.485,.006,.196,13.7,14.5,14.1,9.1,1.0,2.4,13.7,10.9,0.9,0.8,1.7,.093,-1.5,-0.2,-1.7,0.1,0.2864880643487286,0.427,-2.91
9,Tony Allen,SG,35,MEM,0.8641975308641975,0.8048780487804879,0.37864077669902907,0.35000000000000003,.461,0.04878048780487806,0.08,.278,0.3711340206185567,0.3958333333333333,.479,.473,0.11956521739130437,0.1651376146788991,0.615,0.5348837209302325,0.3106796116504854,0.3900709219858156,0.125,0.8,0.06666666666666667,0.24561403508771928,0.5681818181818181,0.2879746835443038,13.3,.493,.091,.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,0.2,2.9,3.1,.077,-2.0,1.1,-1.0,0.5,0.6288920601971978,0.622,3.6
