Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Álex Abrines,SG,25,OKC,0.37037037037037035,0.024390243902439025,0.16666666666666666,0.20816326530612245,.357,0.25490196078431376,0.3106060606060606,.323,0.05376344086021505,0.06060606060606061,.500,.487,0.04123711340206186,0.03636363636363637,0.923,0.037037037037037035,0.12612612612612611,0.09615384615384616,0.056074766355140186,0.20833333333333334,0.07407407407407407,0.1,0.425,0.14681440443213295,6.3,.507,.809,.083,0.9,7.8,4.2,4.3,1.3,0.9,7.9,12.2,0.1,0.6,0.6,.053,-3.7,0.4,-3.3,-0.2,0.19752522119559893,0.488,0.96
2,Quincy Acy,PF,28,PHO,0.1111111111111111,0.0,0.037037037037037035,0.07346938775510205,.222,0.03921568627450981,0.11363636363636365,.133,0.02150537634408602,0.01818181818181818,.667,.278,0.07216494845360825,0.09090909090909091,0.7,0.05555555555555555,0.19819819819819823,0.16025641025641027,0.07476635514018692,0.04166666666666667,0.14814814814814814,0.08,0.6,0.047091412742382266,2.9,.379,.833,.556,2.7,20.1,11.3,8.2,0.4,2.7,15.2,9.2,-0.1,0.0,-0.1,-0.022,-7.6,-0.5,-8.1,-0.2,0.04352084625681544,0.549,2.08
3,Jaylen Adams,PG,22,ATL,0.4074074074074074,0.012195121951219513,0.10185185185185186,0.1306122448979592,.345,0.13725490196078433,0.16666666666666669,.338,0.04301075268817204,0.06666666666666667,.361,.459,0.02061855670103093,0.02727272727272727,0.778,0.05555555555555555,0.12612612612612611,0.11538461538461539,0.17757009345794392,0.16666666666666669,0.037037037037037035,0.16,0.325,0.0886426592797784,7.6,.474,.673,.082,2.6,12.3,7.4,19.8,1.5,1.0,19.7,13.5,-0.1,0.2,0.1,.011,-3.8,-0.5,-4.3,-0.2,0.14319762316758627,0.5,0.32
6,Deng Adel,SF,21,CLE,0.2222222222222222,0.036585365853658534,0.05555555555555555,0.07755102040816327,.306,0.058823529411764705,0.09090909090909091,.261,0.03225806451612903,0.04242424242424242,.385,.389,0.02061855670103093,0.018181818181818184,1.0,0.037037037037037035,0.07207207207207207,0.06410256410256411,0.028037383177570093,0.04166666666666667,0.07407407407407407,0.06,0.175,0.047091412742382266,2.7,.424,.639,.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,-0.2,0.0,-0.2,-0.054,-5.9,-1.6,-7.5,-0.3,0.06601586731528943,0.622,5.23
7,DeVaughn Akoon-Purcell,SG,25,DEN,0.07407407407407407,0.0,0.037037037037037035,0.05714285714285714,.300,0.0,0.045454545454545456,.000,0.04301075268817204,0.05454545454545455,.500,.300,0.010309278350515465,0.02727272727272727,0.5,0.018518518518518517,0.036036036036036036,0.038461538461538464,0.08411214953271029,0.125,0.0,0.06,0.15,0.027700831024930747,8.2,.322,.400,.200,4.9,14.8,9.8,37.1,4.5,0.0,15.5,25.0,-0.1,0.0,0.0,-0.051,-7.9,2.1,-5.8,0.0,0.007541872082013778,0.646,3.04
9,Rawle Alkins,SG,21,CHI,0.1111111111111111,0.012195121951219513,0.12037037037037036,0.15918367346938775,.333,0.058823529411764705,0.09090909090909091,.250,0.1075268817204301,0.16363636363636364,.370,.372,0.08247422680412372,0.10909090909090909,0.667,0.20370370370370372,0.13513513513513514,0.16666666666666669,0.12149532710280375,0.04166666666666667,0.0,0.16,0.175,0.10249307479224377,8.1,.418,.308,.308,9.9,13.7,11.8,15.2,0.4,0.0,15.3,19.0,-0.1,0.0,-0.1,-0.042,-3.8,-3.5,-7.3,-0.2,0.04244343595938489,0.488,1.37
10,Grayson Allen,SG,23,UTA,0.4567901234567901,0.024390243902439025,0.16666666666666666,0.19183673469387755,.376,0.15686274509803924,0.196969696969697,.323,0.0967741935483871,0.1272727272727273,.443,.466,0.12371134020618557,0.14545454545454548,0.75,0.018518518518518517,0.04504504504504505,0.038461538461538464,0.06542056074766354,0.08333333333333334,0.07407407407407407,0.18,0.3,0.15512465373961218,7.5,.516,.556,.337,0.8,5.1,3.0,8.9,0.7,1.1,13.9,24.4,-0.4,0.4,0.0,.002,-4.2,-2.1,-6.3,-0.5,0.13872473799340493,0.451,-1.03
12,Kadeem Allen,PG,26,NYK,0.2222222222222222,0.012195121951219513,0.31481481481481477,0.3020408163265306,.461,0.17647058823529413,0.14393939393939395,.472,0.26881720430107525,0.3333333333333333,.457,.521,0.22680412371134023,0.2545454545454545,0.778,0.07407407407407407,0.2072072072072072,0.1730769230769231,0.3738317757009346,0.33333333333333337,0.07407407407407407,0.27999999999999997,0.6,0.2742382271468144,16.2,.574,.255,.383,2.0,11.1,6.4,28.7,1.9,0.8,13.6,19.6,0.7,0.2,1.0,.111,0.2,0.3,0.5,0.3,0.14231610565150674,0.573,2.99
14,Justin Anderson,SF,25,ATL,0.5802469135802469,0.04878048780487805,0.12037037037037036,0.1346938775510204,.408,0.09803921568627452,0.12121212121212123,.312,0.08602150537634408,0.10303030303030303,.500,.484,0.051546391752577324,0.06363636363636363,0.743,0.09259259259259259,0.11711711711711713,0.11538461538461539,0.04672897196261683,0.20833333333333334,0.1111111111111111,0.1,0.25,0.10249307479224377,11.2,.516,.490,.223,5.3,13.9,9.5,6.9,2.2,2.4,11.8,17.2,0.1,0.4,0.4,.043,-2.4,-0.3,-2.7,-0.1,0.15364523817297332,0.5,0.32
16,Ryan Anderson,PF,30,PHO,0.1728395061728395,0.0975609756097561,0.12037037037037036,0.16326530612244897,.317,0.09803921568627452,0.17424242424242423,.206,0.08602150537634408,0.10303030303030303,.462,.375,0.07216494845360825,0.08181818181818182,0.786,0.16666666666666666,0.1891891891891892,0.19230769230769232,0.10280373831775702,0.08333333333333334,0.037037037037037035,0.16,0.375,0.10249307479224377,4.6,.423,.567,.233,5.5,12.5,9.0,8.1,0.5,0.3,15.4,12.1,-0.2,0.0,-0.2,-0.039,-4.5,-1.9,-6.3,-0.3,0.0961507068464527,0.549,2.08
16,Ryan Anderson,PF,30,MIA,0.1111111111111111,0.0,0.018518518518518517,0.036734693877551024,.222,0.03921568627450981,0.045454545454545456,.333,0.0,0.01818181818181818,.000,.333,0.010309278350515465,0.018181818181818184,0.5,0.07407407407407407,0.04504504504504505,0.057692307692307696,0.01869158878504673,0.04166666666666667,0.0,0.04,0.05,0.019390581717451522,4.5,.354,.667,.222,9.7,12.1,10.9,5.8,1.1,0.0,16.8,11.6,0.0,0.0,0.0,-0.009,-4.6,-1.9,-6.5,0.0,0.015149041757811224,0.537,-0.13
19,Kostas Antetokounmpo,PF,21,DAL,0.012345679012345678,0.0,0.0,0.061224489795918366,.000,0.0,0.0,0,0.0,0.09090909090909091,.000,.000,0.10309278350515465,0.18181818181818182,0.5,0.0,0.04504504504504505,0.032051282051282055,0.0,0.4166666666666667,0.0,0.1,0.0,0.027700831024930747,-0.9,.210,.000,1.333,0.0,9.7,4.9,0.0,8.8,0.0,17.4,22.5,-0.1,0.0,-0.1,-0.247,-12.6,-0.1,-12.7,0.0,0.0047340755493160075,0.463,-0.14
21,OG Anunoby,SF,21,TOR,0.8148148148148148,0.07317073170731707,0.25,0.24489795918367346,.453,0.19607843137254904,0.2272727272727273,.332,0.18279569892473116,0.18181818181818182,.574,.536,0.051546391752577324,0.08181818181818182,0.581,0.16666666666666666,0.1891891891891892,0.1858974358974359,0.06542056074766354,0.2916666666666667,0.1111111111111111,0.16,0.525,0.19390581717451522,9.8,.544,.500,.153,4.8,10.8,7.9,4.7,1.6,1.3,11.3,15.5,0.3,1.7,2.0,.070,-2.4,0.1,-2.4,-0.1,0.4473538150119168,0.5,1.59
22,Ryan Arcidiacono,PG,24,CHI,0.9876543209876543,0.3902439024390244,0.21296296296296294,0.2122448979591837,.447,0.19607843137254904,0.20454545454545456,.373,0.13978494623655913,0.15151515151515152,.527,.544,0.11340206185567012,0.11818181818181818,0.873,0.05555555555555555,0.21621621621621623,0.1730769230769231,0.308411214953271,0.33333333333333337,0.0,0.16,0.525,0.18559556786703602,11.6,.588,.519,.244,1.5,10.8,6.1,18.9,1.6,0.2,12.0,11.7,2.8,0.9,3.7,.090,-2.0,0.1,-1.9,0.1,0.6474909399588625,0.488,1.37
23,Trevor Ariza,SF,33,WAS,0.5185185185185185,0.524390243902439,0.4444444444444444,0.4816326530612245,.409,0.4313725490196079,0.5227272727272728,.322,0.27956989247311825,0.30303030303030304,.528,.502,0.22680412371134023,0.2545454545454545,0.777,0.14814814814814814,0.40540540540540543,0.33974358974358976,0.35514018691588783,0.5,0.1111111111111111,0.32,0.5,0.39058171745152354,13.0,.538,.580,.238,2.5,14.5,8.4,15.5,1.7,0.7,10.6,18.2,1.1,0.8,1.9,.062,-0.5,-0.9,-1.4,0.2,0.4887851382676548,0.427,-1.06
28,Ron Baker,SG,25,NYK,0.12345679012345678,0.0,0.037037037037037035,0.061224489795918366,.250,0.019607843137254905,0.060606060606060615,.111,0.03225806451612903,0.03636363636363636,.429,.281,0.051546391752577324,0.045454545454545456,0.833,0.018518518518518517,0.04504504504504505,0.038461538461538464,0.11214953271028037,0.20833333333333334,0.0,0.06,0.375,0.036011080332409975,4.4,.376,.563,.375,1.0,6.0,3.4,16.1,2.3,0.0,13.9,8.6,0.0,0.0,0.0,.002,-7.7,1.1,-6.6,-0.1,0.03744817003493421,0.573,2.99
29,Wade Baldwin,PG,22,POR,0.18518518518518517,0.0,0.05555555555555555,0.08571428571428572,.303,0.019607843137254905,0.045454545454545456,.222,0.05376344086021505,0.09090909090909091,.333,.333,0.051546391752577324,0.06363636363636363,0.727,0.018518518518518517,0.07207207207207207,0.057692307692307696,0.07476635514018692,0.04166666666666667,0.037037037037037035,0.18,0.175,0.05263157894736842,1.3,.396,.273,.333,2.3,14.4,8.5,16.6,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.153,-8.4,-1.9,-10.3,-0.2,0.031963172157106014,0.402,-3.96
33,Harrison Barnes,SF,26,SAC,0.3333333333333333,0.34146341463414637,0.4629629629629629,0.4530612244897959,.455,0.37254901960784315,0.34848484848484845,.408,0.3333333333333333,0.3878787878787879,.489,.540,0.23711340206185566,0.2636363636363636,0.8,0.14814814814814814,0.43243243243243246,0.3525641025641026,0.17757009345794392,0.25,0.037037037037037035,0.22000000000000003,0.375,0.3961218836565097,12.3,.578,.419,.258,2.2,14.8,8.4,7.5,0.8,0.2,8.0,16.3,1.1,0.5,1.7,.084,-0.5,-1.2,-1.7,0.1,0.32025204871200497,0.585,2.3
34,Will Barton,SF,28,DEN,0.5185185185185185,0.4634146341463415,0.3981481481481481,0.436734693877551,.402,0.3137254901960785,0.34848484848484845,.342,0.2903225806451613,0.3696969696969697,.447,.475,0.13402061855670105,0.15454545454545454,0.77,0.12962962962962962,0.35135135135135137,0.2948717948717949,0.2710280373831776,0.16666666666666669,0.18518518518518517,0.3,0.475,0.3185595567867036,11.0,.501,.426,.161,2.9,15.3,9.1,14.6,0.7,1.6,11.7,20.0,0.1,1.1,1.2,.049,-1.1,-0.8,-1.8,0.0,0.3965849358451141,0.646,3.04
35,Keita Bates-Diop,SF,23,MIN,0.35802469135802467,0.036585365853658534,0.18518518518518517,0.19183673469387755,.423,0.07843137254901962,0.12878787878787878,.250,0.17204301075268816,0.18181818181818182,.522,.468,0.061855670103092786,0.08181818181818182,0.643,0.09259259259259259,0.19819819819819823,0.1794871794871795,0.056074766355140186,0.25,0.18518518518518517,0.1,0.25,0.13850415512465372,9.6,.489,.366,.197,3.4,14.4,8.8,4.6,1.7,2.4,8.3,14.1,0.0,0.4,0.3,.032,-2.8,-0.6,-3.4,-0.2,0.16905547030591922,0.512,-0.22
37,Jerryd Bayless,PG,30,MIN,0.4074074074074074,0.07317073170731707,0.2222222222222222,0.27755102040816326,.357,0.17647058823529413,0.2196969696969697,.296,0.17204301075268816,0.23636363636363636,.402,.420,0.051546391752577324,0.07272727272727274,0.571,0.05555555555555555,0.13513513513513514,0.11538461538461539,0.3271028037383178,0.20833333333333334,0.037037037037037035,0.18,0.4,0.16897506925207756,8.5,.431,.426,.122,1.8,8.4,5.0,24.6,1.3,0.3,11.7,17.6,-0.2,0.2,0.0,-0.003,-2.9,-1.7,-4.6,-0.4,0.22015083744164027,0.512,-0.22
38,Aron Baynes,C,32,BOS,0.6172839506172839,0.21951219512195122,0.19444444444444445,0.1795918367346939,.471,0.07843137254901962,0.09090909090909091,.344,0.17204301075268816,0.19393939393939394,.519,.518,0.10309278350515465,0.10909090909090909,0.855,0.31481481481481477,0.2702702702702703,0.3012820512820513,0.10280373831775702,0.08333333333333334,0.25925925925925924,0.16,0.625,0.15512465373961218,14.0,.567,.274,.278,11.4,19.8,15.6,9.3,0.7,3.7,13.8,15.2,1.3,1.1,2.4,.139,-1.8,0.3,-1.5,0.1,0.2726501028437102,0.695,6.38
39,Kent Bazemore,SG,29,ATL,0.8148148148148148,0.4268292682926829,0.3796296296296296,0.42040816326530617,.402,0.27450980392156865,0.34090909090909094,.320,0.2903225806451613,0.3515151515151515,.465,.472,0.1958762886597938,0.23636363636363636,0.726,0.1111111111111111,0.2972972972972973,0.25,0.21495327102803738,0.5416666666666667,0.2222222222222222,0.36,0.625,0.32132963988919666,11.9,.507,.434,.253,2.3,14.6,8.3,13.5,2.5,2.2,13.6,22.0,-0.7,1.4,0.7,.021,-2.5,0.2,-2.3,-0.1,0.5437657122335042,0.5,0.32
41,Malik Beasley,SG,22,DEN,0.9876543209876543,0.21951219512195122,0.3981481481481481,0.37142857142857144,.474,0.3921568627450981,0.3787878787878788,.402,0.24731182795698922,0.24848484848484848,.560,.584,0.07216494845360825,0.07272727272727274,0.848,0.07407407407407407,0.1801801801801802,0.16025641025641027,0.11214953271028037,0.2916666666666667,0.037037037037037035,0.13999999999999999,0.35,0.31301939058171746,14.2,.599,.550,.090,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,.115,0.8,-0.7,0.1,1.0,0.6203924385386399,0.646,3.04
