Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Precious Achiuwa,PF,1.0,21.0,0.8450704225352113,0.0555555555555555,0.1785714285714285,0.1608695652173913,0.544,0.0,0.0,0.0,0.196078431372549,0.2202380952380952,0.546,0.544,0.0978260869565217,0.1682242990654205,0.509,0.2553191489361702,0.2178217821782178,0.2377622377622377,0.0427350427350427,0.1428571428571428,0.1470588235294117,0.1399999999999999,0.375,0.15625,14.2,0.55,0.004,0.482,11.5,20.6,16.1,6.1,1.3,4.0,13.5,19.5,0.3,1.0,1.3,0.085,-3.6,-0.5,-4.1,-0.4,0.2753650040761877,0.537,-0.13
Ty-Shon Alexander,SG,6.0,22.0,0.1971830985915492,0.0,0.0178571428571428,0.0347826086956521,0.25,0.0188679245283018,0.0472440944881889,0.222,0.0098039215686274,0.0119047619047619,0.333,0.333,0.0108695652173913,0.0093457943925233,0.5,0.0212765957446808,0.0495049504950495,0.0489510489510489,0.0341880341880341,0.0,0.0294117647058823,0.04,0.025,0.01875,4.2,0.349,0.75,0.167,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-0.048,-4.8,-1.7,-6.5,-0.1,0.0163418068628177,0.549,2.08
Nickeil Alexander-Walker,SG,7.0,22.0,0.6338028169014085,0.1805555555555555,0.375,0.4347826086956521,0.419,0.320754716981132,0.3779527559055118,0.347,0.2450980392156863,0.3095238095238095,0.485,0.502,0.108695652173913,0.1308411214953271,0.727,0.0638297872340425,0.2772277227722772,0.2167832167832167,0.188034188034188,0.4761904761904761,0.1470588235294117,0.3,0.475,0.34375,12.5,0.522,0.478,0.144,1.4,14.1,7.8,14.7,2.2,2.1,12.4,23.2,-0.3,1.0,0.7,0.035,-1.4,0.1,-1.3,0.2,0.3790483954643149,0.512,1.63
Grayson Allen,SG,8.0,25.0,0.6901408450704225,0.5277777777777778,0.3125,0.3608695652173913,0.418,0.3962264150943396,0.4330708661417323,0.391,0.1274509803921568,0.1666666666666666,0.471,0.547,0.1739130434782609,0.1682242990654205,0.868,0.0851063829787234,0.2772277227722772,0.2237762237762237,0.188034188034188,0.4285714285714285,0.0588235294117647,0.2,0.35,0.33125,12.8,0.586,0.662,0.22,1.6,12.0,6.7,11.5,1.7,0.6,9.6,16.8,1.5,1.2,2.7,0.101,-0.2,0.1,-0.2,0.6,0.4736530052619877,0.622,3.6
Al-Farouq Aminu,PF,10.0,30.0,0.14788732394366194,0.0972222222222222,0.1071428571428571,0.14999999999999997,0.30200000000000005,0.056603773584905606,0.1102362204724409,0.1965,0.09313725490196076,0.12202380952380945,0.375,0.347,0.08152173913043476,0.08411214953271025,0.812,0.15957446808510634,0.3465346534653465,0.3006993006993006,0.08547008547008546,0.3095238095238094,0.07352941176470584,0.2,0.3125,0.109375,6.45,0.4255,0.474,0.34550000000000003,4.4,24.3,14.3,7.4,1.8499999999999999,1.1,20.15,12.05,-0.2,0.25,0.05,0.0005000000000000004,-5.95,0.75,-5.2,-0.1,0.0842659156599718,0.4515,-0.51
Kyle Anderson,PF,11.0,27.0,0.9577464788732394,0.9583333333333334,0.4017857142857143,0.4130434782608695,0.468,0.2641509433962264,0.2992125984251969,0.36,0.303921568627451,0.3452380952380952,0.539,0.54,0.2282608695652174,0.2523364485981308,0.783,0.1702127659574468,0.495049504950495,0.3986013986013986,0.3076923076923077,0.5714285714285714,0.2352941176470588,0.24,0.425,0.3875,17.2,0.578,0.397,0.28,2.9,19.5,11.1,18.3,2.1,2.7,10.4,18.5,2.9,2.7,5.6,0.143,1.4,1.9,3.3,2.5,0.7071444452679168,0.622,3.6
Kostas Antetokounmpo,PF,13.0,23.0,0.1971830985915492,0.0,0.0178571428571428,0.0304347826086956,0.3,0.0,0.0,0.0,0.0196078431372549,0.0416666666666666,0.3,0.3,0.0434782608695652,0.0841121495327102,0.462,0.0638297872340425,0.099009900990099,0.0909090909090909,0.0085470085470085,0.0476190476190476,0.088235294117647,0.1399999999999999,0.125,0.025,0.0,0.382,0.0,1.3,8.1,29.9,19.1,2.3,1.7,6.4,41.2,20.7,-0.3,0.1,-0.2,-0.174,-13.3,0.8,-12.6,-0.1,0.0198992069962202,0.524,0.43
Thanasis Antetokounmpo,SF,14.0,28.0,0.7887323943661971,0.0416666666666666,0.1071428571428571,0.1043478260869565,0.489,0.0188679245283018,0.0393700787401574,0.241,0.1078431372549019,0.113095238095238,0.556,0.515,0.0434782608695652,0.0841121495327102,0.51,0.1914893617021276,0.1188118811881188,0.1538461538461538,0.0683760683760683,0.1904761904761904,0.0588235294117647,0.16,0.325,0.090625,10.3,0.523,0.212,0.358,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,0.057,-3.7,0.2,-3.5,-0.2,0.2055510264581635,0.707,3.61
Carmelo Anthony,PF,15.0,36.0,0.9577464788732394,0.0416666666666666,0.4196428571428572,0.491304347826087,0.421,0.3584905660377358,0.3700787401574803,0.409,0.2745098039215686,0.3928571428571428,0.429,0.506,0.2173913043478261,0.205607476635514,0.89,0.1063829787234042,0.2574257425742574,0.2167832167832167,0.1282051282051282,0.3333333333333333,0.1764705882352941,0.18,0.525,0.41875,14.6,0.547,0.418,0.198,2.0,11.8,6.8,9.2,1.3,2.0,6.7,23.1,1.7,0.8,2.6,0.073,0.2,-1.3,-1.1,0.4,0.6331060549914771,0.402,-3.96
Ryan Arcidiacono,PG,18.0,26.0,0.6056338028169014,0.0,0.0982142857142857,0.117391304347826,0.419,0.1132075471698113,0.1181102362204724,0.373,0.0490196078431372,0.0654761904761904,0.48,0.526,0.0326086956521739,0.0467289719626168,0.65,0.0212765957446808,0.1386138613861386,0.1048951048951049,0.1111111111111111,0.0952380952380952,0.0,0.04,0.275,0.096875,9.8,0.541,0.573,0.171,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.5,0.4,0.9,0.093,-2.6,0.3,-2.3,0.0,0.168309493811606,0.488,1.37
