Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
1,Quincy Acy,PF,25,SAC,0.7160493827160493,0.35365853658536583,0.19607843137254904,0.175609756097561,.556,0.058823529411764705,0.07142857142857144,.388,0.19767441860465115,0.16184971098265893,.606,.600,0.09090909090909091,0.11764705882352941,0.735,0.22448979591836735,0.20388349514563106,0.21621621621621623,0.042735042735042736,0.23809523809523808,0.10810810810810811,0.10869565217391305,0.2833333333333333,0.17275747508305647,14.7,.629,.229,.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,1.8,0.7,2.5,.137,-0.2,0.2,-0.1,0.4,0.2802571980615121,0.585,2.3
2,Jordan Adams,SG,21,MEM,0.012345679012345678,0.0,0.09803921568627452,0.14634146341463414,.333,0.0,0.044642857142857144,.000,0.11627906976744186,0.1445086705202312,.400,.333,0.17045454545454544,0.2450980392156863,0.6,0.0,0.0970873786407767,0.06756756756756756,0.12820512820512822,0.7142857142857143,0.0,0.2173913043478261,0.16666666666666666,0.11627906976744186,17.3,.427,.167,.833,0.0,15.9,7.6,31.9,10.3,0.0,19.6,30.5,0.0,0.0,0.0,.015,-2.5,9.4,6.9,0.0,0.00522631528934782,0.622,3.6
3,Steven Adams,C,22,OKC,0.9753086419753086,0.975609756097561,0.3235294117647059,0.25853658536585367,.613,0.0,0.0,0,0.38372093023255816,0.30635838150289013,.613,.613,0.15909090909090906,0.2450980392156863,0.582,0.5510204081632653,0.37864077669902907,0.4527027027027027,0.06837606837606838,0.23809523809523808,0.2972972972972973,0.23913043478260873,0.4666666666666666,0.26578073089700993,15.5,.621,.000,.460,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,4.2,2.3,6.5,.155,0.0,0.2,0.2,1.1,0.6440087422001204,0.488,0.96
4,Arron Afflalo,SG,30,NYK,0.8641975308641975,0.6951219512195121,0.4901960784313726,0.551219512195122,.443,0.25490196078431376,0.3035714285714286,.382,0.4302325581395349,0.45664739884393063,.469,.500,0.17045454545454544,0.17647058823529413,0.84,0.06122448979591836,0.33009708737864074,0.25,0.17094017094017094,0.19047619047619047,0.02702702702702703,0.2608695652173913,0.3333333333333333,0.42524916943521596,10.9,.531,.298,.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,.055,-1.3,-1.6,-2.9,-0.5,0.7596845206043521,0.573,2.99
5,Alexis Ajinça,C,27,NOP,0.7160493827160493,0.2073170731707317,0.2450980392156863,0.25853658536585367,.476,0.0,0.0,.000,0.29069767441860467,0.30635838150289013,.478,.476,0.10227272727272727,0.10784313725490198,0.839,0.2653061224489796,0.3203883495145631,0.31081081081081074,0.042735042735042736,0.14285714285714285,0.16216216216216214,0.1956521739130435,0.3833333333333333,0.19933554817275748,13.8,.514,.003,.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,.058,-3.4,-0.6,-4.0,-0.4,0.2754426530676887,0.512,1.63
6,Cole Aldrich,C,27,LAC,0.7283950617283951,0.06097560975609756,0.21568627450980396,0.18536585365853658,.596,0.0,0.0,0,0.2558139534883721,0.21965317919075142,.596,.596,0.11363636363636363,0.13725490196078433,0.714,0.2857142857142857,0.33009708737864074,0.3243243243243243,0.06837606837606838,0.38095238095238093,0.2972972972972973,0.23913043478260873,0.3833333333333333,0.18272425249169436,21.3,.626,.000,.373,11.9,27.1,19.6,10.0,2.9,6.7,19.6,18.4,1.4,2.0,3.5,.209,-0.9,3.4,2.4,0.9,0.255709353520636,0.537,0.31
7,LaMarcus Aldridge,PF,30,SAS,0.9012345679012346,0.9024390243902439,0.7058823529411765,0.6878048780487804,.513,0.0,0.01785714285714286,.000,0.8372093023255814,0.8034682080924855,.521,.513,0.3977272727272727,0.4019607843137255,0.858,0.48979591836734687,0.6019417475728155,0.5743243243243243,0.12820512820512822,0.23809523809523808,0.2972972972972973,0.28260869565217395,0.3333333333333333,0.5980066445182723,22.4,.565,.015,.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,5.6,4.5,10.1,.215,2.0,0.3,2.3,2.5,0.7239555288080833,0.268,-9.82
8,Cliff Alexander,PF,20,POR,0.08641975308641975,0.0,0.058823529411764705,0.06341463414634146,.500,0.0,0.0,0,0.06976744186046512,0.07514450867052024,.500,.500,0.0,0.0,0.0,0.06122448979591836,0.04854368932038835,0.05405405405405406,0.0,0.047619047619047616,0.08108108108108107,0.02173913043478261,0.016666666666666666,0.04318936877076412,11.6,.500,.000,.000,6.0,12.1,9.0,0.0,1.4,4.4,9.1,13.3,0.0,0.0,0.0,.052,-0.5,0.5,0.0,0.0,0.01092775015045453,0.402,-3.96
9,Lavoy Allen,PF,26,IND,0.9629629629629629,0.34146341463414637,0.23529411764705882,0.22926829268292684,.516,0.0,0.0,0,0.27906976744186046,0.27167630057803466,.516,.516,0.06818181818181818,0.08823529411764706,0.63,0.42857142857142855,0.3203883495145631,0.36486486486486486,0.08547008547008547,0.14285714285714285,0.13513513513513511,0.1956521739130435,0.31666666666666665,0.17940199335548174,12.4,.532,.000,.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,.110,-1.7,0.1,-1.6,0.2,0.5109752621076304,0.427,-2.91
10,Tony Allen,SG,34,MEM,0.7777777777777778,0.6951219512195121,0.33333333333333337,0.35609756097560974,.458,0.03921568627450981,0.0625,.357,0.3604651162790698,0.3872832369942196,.468,.474,0.15909090909090906,0.21568627450980396,0.652,0.32653061224489793,0.2912621359223301,0.31081081081081074,0.09401709401709403,0.8095238095238094,0.08108108108108107,0.2608695652173913,0.45,0.27906976744186046,12.9,.505,.090,.294,7.0,14.1,10.4,6.9,3.5,1.0,12.8,16.8,0.5,1.9,2.4,.072,-2.2,1.2,-1.0,0.4,0.5192423426562351,0.622,3.6
11,Al-Farouq Aminu,SF,25,POR,1.0,1.0,0.35294117647058826,0.4292682926829269,.416,0.29411764705882354,0.38392857142857145,.361,0.24418604651162792,0.26011560693641617,.468,.503,0.15909090909090906,0.18627450980392157,0.737,0.24489795918367344,0.47572815533980584,0.4121621621621621,0.1452991452991453,0.42857142857142855,0.16216216216216214,0.32608695652173914,0.35000000000000003,0.33887043189368765,12.7,.533,.485,.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,.082,-0.2,0.2,0.1,1.2,0.7486300719014285,0.402,-3.96
12,Lou Amundson,PF,33,NYK,0.345679012345679,0.0,0.06862745098039216,0.0878048780487805,.358,0.0,0.0,0,0.0813953488372093,0.10404624277456648,.358,.358,0.056818181818181816,0.08823529411764706,0.519,0.16326530612244897,0.08737864077669903,0.11486486486486486,0.03418803418803419,0.09523809523809523,0.05405405405405406,0.10869565217391305,0.25,0.05980066445182724,6.7,.401,.000,.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,-0.3,0.2,-0.1,-0.014,-6.7,-0.2,-6.9,-0.3,0.064933008140382,0.573,2.99
13,Chris Andersen,C,37,MIA,0.07407407407407407,0.012195121951219513,0.058823529411764705,0.06829268292682926,.400,0.058823529411764705,0.0625,.400,0.03488372093023256,0.040462427745664734,.400,.500,0.045454545454545456,0.058823529411764705,0.75,0.08163265306122448,0.08737864077669903,0.08783783783783784,0.03418803418803419,0.047619047619047616,0.10810810810810811,0.06521739130434782,0.09999999999999999,0.06312292358803986,17.6,.553,.500,.400,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,0.1,0.1,0.1,.165,1.2,3.3,4.5,0.1,0.011117797979158088,0.537,-0.13
