Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,W/L%,SRS
Pascal Siakam,PF,501.0,27.0,0.8271604938271605,0.8292682926829268,0.7719298245614036,0.8165137614678899,0.494,0.2444444444444444,0.2735042735042735,0.344,0.8105263157894737,0.7923497267759563,0.527,0.525,0.4375,0.4745762711864406,0.749,0.4130434782608695,0.6,0.5782312925170068,0.4907407407407407,0.52,0.2142857142857143,0.5625000000000001,0.6599999999999999,0.7450980392156863,20.3,0.565,0.181,0.314,5.1,20.1,12.2,23.0,1.6,1.6,11.6,25.8,4.9,3.2,8.1,0.151,2.7,0.8,3.5,3.6,0.9054662602189276,0.5,1.59
Chris Silva,PF,502.0,25.0,0.0493827160493827,0.0,0.0394736842105263,0.03899082568807335,0.2665,0.0,0.0,0.0,0.04736842105263155,0.04644808743169395,0.2665,0.2665,0.05729166666666665,0.05508474576271185,0.4165,0.15217391304347824,0.15454545454545449,0.16666666666666666,0.037037037037037,0.0,0.01785714285714285,0.09375,0.22,0.04738562091503265,7.85,0.3205,0.0,0.4,8.5,32.25,20.25,5.45,0.0,0.6,14.15,7.15,0.05,0.05,0.15,0.096,-5.15,-0.2,-5.35,-0.05,0.017285575723984998,0.5245,-0.175
Marko Simonovic,C,503.0,22.0,0.0987654320987654,0.0,0.0350877192982456,0.0779816513761467,0.267,0.0222222222222222,0.0512820512820512,0.2,0.031578947368421,0.0601092896174863,0.3,0.3,0.09375,0.1016949152542372,0.727,0.1304347826086956,0.0545454545454545,0.0748299319727891,0.0,0.04,0.0357142857142857,0.0416666666666666,0.1399999999999999,0.0620915032679738,10.2,0.428,0.333,0.733,16.2,16.0,16.1,0.0,1.4,2.5,9.2,27.5,0.0,0.0,0.0,-0.011,-6.1,-5.0,-11.1,-0.1,0.0127823195233476,0.488,1.37
Anfernee Simons,SG,504.0,22.0,0.691358024691358,0.3658536585365853,0.543859649122807,0.6422018348623852,0.443,0.6888888888888889,0.6666666666666667,0.405,0.3263157894736842,0.3387978142076502,0.49,0.555,0.1875,0.1694915254237288,0.888,0.108695652173913,0.2,0.1768707482993197,0.3611111111111111,0.2,0.0357142857142857,0.4166666666666667,0.38,0.565359477124183,15.3,0.583,0.555,0.146,1.6,8.5,4.9,22.2,0.9,0.4,11.9,24.8,2.0,-0.1,1.9,0.055,1.9,-2.7,-0.7,0.5,0.59183178606069,0.402,-3.96
Zavier Simpson,PG,505.0,24.0,0.037037037037037,0.048780487804878,0.4210526315789473,0.5963302752293578,0.365,0.0666666666666666,0.1709401709401709,0.125,0.4736842105263157,0.6010928961748634,0.409,0.375,0.1354166666666666,0.1101694915254237,1.0,0.108695652173913,0.4363636363636363,0.3605442176870748,0.6944444444444444,0.52,0.3571428571428571,0.5208333333333334,0.76,0.3594771241830065,7.7,0.406,0.154,0.096,1.2,11.4,6.2,25.2,1.4,2.1,15.6,15.9,-0.2,0.1,-0.1,-0.018,-6.0,-1.9,-7.9,-0.3,0.0746501316336427,0.488,0.96
Jericho Sims,PF,506.0,23.0,0.4938271604938271,0.0609756097560975,0.087719298245614,0.0596330275229357,0.722,0.0,0.0,0.0,0.1052631578947368,0.0710382513661202,0.722,0.722,0.03125,0.059322033898305,0.414,0.3260869565217391,0.2363636363636363,0.2789115646258503,0.0462962962962962,0.12,0.1785714285714285,0.1041666666666666,0.32,0.0718954248366013,11.6,0.674,0.0,0.537,11.6,21.3,16.4,5.3,1.0,3.9,23.1,6.9,0.7,0.8,1.5,0.128,-2.8,1.1,-1.7,0.0,0.1962380490508521,0.573,2.99
Deividas Sirvydis,SG,507.0,21.0,0.0246913580246913,0.0,0.0263157894736842,0.1513761467889908,0.1,0.0666666666666666,0.1965811965811965,0.143,0.0,0.0546448087431694,0.0,0.15,0.0,0.0,0.0,0.0,0.1818181818181818,0.1360544217687075,0.0277777777777777,0.4,0.1071428571428571,0.0,0.26,0.0326797385620915,0.1,0.15,0.7,0.0,0.0,25.3,12.0,4.9,5.4,3.3,0.0,15.9,-0.1,0.1,-0.1,-0.139,-10.8,2.2,-8.7,0.0,0.0117777469862823,0.207,-7.73
Javonte Smart,PG,508.0,22.0,0.09259259259259256,0.00609756097560975,0.1228070175438596,0.17431192660550454,0.3635,0.1444444444444444,0.15811965811965806,0.333,0.0789473684210526,0.10655737704918031,0.39,0.44499999999999995,0.0208333333333333,0.0211864406779661,0.4165,0.0652173913043478,0.09999999999999995,0.0952380952380952,0.074074074074074,0.16,0.08928571428571425,0.12499999999999994,0.11,0.12091503267973855,9.05,0.46399999999999997,0.474,0.07,2.8,10.45,6.699999999999999,9.5,1.85,1.9,13.5,17.85,-0.2,0.1,-0.05,0.011500000000000003,-3.75,-0.75,-4.5,-0.1,0.0378100318691977,0.622,1.74
Marcus Smart,PG,509.0,27.0,0.8641975308641975,0.8658536585365854,0.3684210526315789,0.4633027522935779,0.418,0.3777777777777777,0.4358974358974359,0.331,0.2631578947368421,0.2732240437158469,0.506,0.501,0.2083333333333333,0.211864406779661,0.793,0.1304347826086956,0.2909090909090909,0.2585034013605442,0.5462962962962963,0.6799999999999999,0.1071428571428571,0.4583333333333333,0.4599999999999999,0.3954248366013072,13.6,0.54,0.501,0.249,2.0,10.5,6.4,25.6,2.6,0.7,16.6,18.3,1.9,3.7,5.6,0.116,-1.2,1.7,0.5,1.5,0.8058403768879036,0.695,6.38
Dennis Smith Jr.,PG,510.0,24.0,0.4444444444444444,0.048780487804878,0.1842105263157894,0.2339449541284403,0.418,0.0444444444444444,0.0598290598290598,0.222,0.2105263157894736,0.2404371584699453,0.451,0.434,0.1145833333333333,0.1440677966101694,0.656,0.108695652173913,0.1636363636363636,0.163265306122449,0.3333333333333333,0.48,0.1071428571428571,0.2916666666666667,0.2799999999999999,0.1830065359477124,13.2,0.474,0.143,0.339,3.3,12.2,7.6,30.5,3.4,1.9,19.0,18.2,-0.1,0.5,0.4,0.031,-2.8,1.2,-1.7,0.1,0.2262713038658722,0.402,-3.96
Ish Smith,PG,511.0,33.0,0.38888888888888884,0.00609756097560975,0.26315789473684204,0.3165137614678899,0.42600000000000005,0.08888888888888885,0.09401709401709399,0.3785,0.27368421052631575,0.31693989071038253,0.436,0.45499999999999996,0.0208333333333333,0.0296610169491525,0.616,0.0869565217391304,0.1681818181818181,0.1530612244897959,0.36111111111111105,0.30000000000000004,0.1428571428571428,0.26041666666666663,0.25,0.21405228758169928,12.3,0.4615,0.15300000000000002,0.0615,2.4000000000000004,10.95,6.7,31.0,2.05,1.8,15.1,20.0,-0.2,0.4,0.3,0.020499999999999997,-2.3000000000000003,-0.6499999999999999,-3.0,-0.09999999999999999,0.2005334626576139,0.378,-3.4749999999999996
