Player,Pos,Rk,Age,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP,WLp,SRS
Quincy Acy,PF,1.0,25.0,0.7160493827160493,0.3536585365853658,0.196078431372549,0.175609756097561,0.556,0.0588235294117647,0.0714285714285714,0.388,0.1976744186046511,0.1618497109826589,0.606,0.6,0.0909090909090909,0.1176470588235294,0.735,0.2244897959183673,0.203883495145631,0.2162162162162162,0.0427350427350427,0.238095238095238,0.1081081081081081,0.108695652173913,0.2833333333333333,0.1727574750830564,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10.0,13.1,1.8,0.7,2.5,0.137,-0.2,0.2,-0.1,0.4,0.2802571980615121,0.585,2.3
Arron Afflalo,SG,4.0,30.0,0.8641975308641975,0.6951219512195121,0.4901960784313726,0.551219512195122,0.443,0.2549019607843137,0.3035714285714286,0.382,0.4302325581395349,0.4566473988439306,0.469,0.5,0.1704545454545454,0.1764705882352941,0.84,0.0612244897959183,0.3300970873786407,0.25,0.1709401709401709,0.1904761904761904,0.027027027027027,0.2608695652173913,0.3333333333333333,0.4252491694352159,10.9,0.531,0.298,0.164,1.1,11.0,6.1,9.9,0.5,0.3,8.7,17.9,1.8,0.9,2.7,0.055,-1.3,-1.6,-2.9,-0.5,0.7596845206043521,0.573,2.99
Alexis Ajinça,C,5.0,27.0,0.7160493827160493,0.2073170731707317,0.2450980392156863,0.2585365853658536,0.476,0.0,0.0,0.0,0.2906976744186046,0.3063583815028901,0.478,0.476,0.1022727272727272,0.1078431372549019,0.839,0.2653061224489796,0.3203883495145631,0.3108108108108107,0.0427350427350427,0.1428571428571428,0.1621621621621621,0.1956521739130435,0.3833333333333333,0.1993355481727574,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,0.2,0.9,1.0,0.058,-3.4,-0.6,-4.0,-0.4,0.2754426530676887,0.512,1.63
Lavoy Allen,PF,9.0,26.0,0.9629629629629628,0.3414634146341463,0.2352941176470588,0.2292682926829268,0.516,0.0,0.0,0.0,0.2790697674418604,0.2716763005780346,0.516,0.516,0.0681818181818181,0.088235294117647,0.63,0.4285714285714285,0.3203883495145631,0.3648648648648648,0.0854700854700854,0.1428571428571428,0.1351351351351351,0.1956521739130435,0.3166666666666666,0.1794019933554817,12.4,0.532,0.0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13.0,1.6,2.1,3.7,0.11,-1.7,0.1,-1.6,0.2,0.5109752621076304,0.427,-2.91
Al-Farouq Aminu,SF,11.0,25.0,1.0,1.0,0.3529411764705882,0.4292682926829269,0.416,0.2941176470588235,0.3839285714285714,0.361,0.2441860465116279,0.2601156069364161,0.468,0.503,0.159090909090909,0.1862745098039215,0.737,0.2448979591836734,0.4757281553398058,0.4121621621621621,0.1452991452991453,0.4285714285714285,0.1621621621621621,0.3260869565217391,0.35,0.3388704318936876,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,1.7,2.3,4.0,0.082,-0.2,0.2,0.1,1.2,0.7486300719014285,0.402,-3.96
Lou Amundson,PF,12.0,33.0,0.345679012345679,0.0,0.0686274509803921,0.0878048780487805,0.358,0.0,0.0,0.0,0.0813953488372093,0.1040462427745664,0.358,0.358,0.0568181818181818,0.088235294117647,0.519,0.1632653061224489,0.087378640776699,0.1148648648648648,0.0341880341880341,0.0952380952380952,0.054054054054054,0.108695652173913,0.25,0.0598006644518272,6.7,0.401,0.0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,-0.3,0.2,-0.1,-0.014,-6.7,-0.2,-6.9,-0.3,0.064933008140382,0.573,2.99
Chris Andersen,C,13.0,37.0,0.15432098765432095,0.0914634146341463,0.11274509803921565,0.10975609756097554,0.47400000000000003,0.0392156862745098,0.05357142857142855,0.311,0.11046511627906976,0.09826589595375719,0.502,0.5325,0.08522727272727271,0.10784313725490195,0.719,0.21428571428571422,0.17961165048543684,0.1959459459459459,0.0384615384615384,0.19047619047619047,0.1216216216216216,0.07608695652173911,0.15833333333333324,0.10797342192691026,16.35,0.579,0.3225,0.458,9.850000000000001,18.25,14.05,7.949999999999999,1.7,4.45,11.45,13.85,0.39999999999999997,0.25,0.6000000000000001,0.1565,0.8999999999999999,1.5,2.45,0.15000000000000002,0.06547147698837535,0.5795,1.735
Alan Anderson,SG,14.0,33.0,0.1481481481481481,0.0,0.1568627450980392,0.2195121951219512,0.356,0.1764705882352941,0.25,0.324,0.0813953488372093,0.0982658959537572,0.409,0.458,0.0909090909090909,0.1176470588235294,0.733,0.0204081632653061,0.1941747572815534,0.1418918918918918,0.094017094017094,0.1428571428571428,0.027027027027027,0.0434782608695652,0.3166666666666666,0.1661129568106312,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1.0,0.4,3.0,15.4,0.2,0.2,0.3,0.078,-2.4,0.1,-2.3,0.0,0.0636026733394571,0.427,-1.06
James Anderson,SG,15.0,26.0,0.6172839506172839,0.1829268292682926,0.1274509803921568,0.1707317073170731,0.376,0.0980392156862745,0.1517857142857143,0.267,0.1046511627906976,0.1040462427745664,0.478,0.441,0.0454545454545454,0.0588235294117647,0.759,0.0612244897959183,0.1359223300970873,0.1148648648648648,0.0683760683760683,0.1904761904761904,0.081081081081081,0.1739130434782609,0.1833333333333333,0.1162790697674418,6.0,0.469,0.483,0.163,2.0,10.9,6.5,7.7,1.4,1.6,18.0,13.7,-0.6,0.4,-0.3,-0.017,-3.9,-0.6,-4.5,-0.5,0.2309397865129391,0.585,2.3
Justin Anderson,SF,16.0,22.0,0.6666666666666666,0.1097560975609756,0.1274509803921568,0.1560975609756097,0.406,0.0784313725490196,0.1339285714285714,0.265,0.1046511627906976,0.0982658959537572,0.533,0.469,0.0909090909090909,0.0980392156862745,0.8,0.0612244897959183,0.203883495145631,0.1621621621621621,0.0427350427350427,0.1428571428571428,0.1351351351351351,0.0869565217391304,0.1333333333333333,0.1262458471760797,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,0.3,0.8,1.1,0.083,-1.1,1.4,0.3,0.4,0.20677203762947,0.463,-0.14
