Rk,Player,Pos,Age,Tm,G,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MP
1,Precious Achiuwa,C,22,TOR,0.8888888888888888,0.34146341463414637,0.3157894736842105,0.38073394495412843,.439,0.17777777777777778,0.17948717948717952,.359,0.30526315789473685,0.3333333333333333,.468,.486,0.11458333333333334,0.15254237288135591,0.595,0.4347826086956522,0.4090909090909091,0.44217687074829937,0.10185185185185186,0.2,0.2142857142857143,0.25,0.42000000000000004,0.2973856209150327,12.7,.503,.259,.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,0.4,2.1,2.5,.070,-2.0,-0.6,-2.6,-0.2,0.6050297907717888
4,Santi Aldama,PF,21,MEM,0.38271604938271603,0.0,0.14912280701754385,0.18807339449541283,.402,0.044444444444444446,0.12820512820512822,.125,0.15789473684210525,0.14207650273224043,.560,.424,0.0625,0.0847457627118644,0.625,0.2173913043478261,0.15454545454545454,0.1836734693877551,0.06481481481481481,0.08,0.10714285714285715,0.10416666666666667,0.22000000000000003,0.13398692810457516,10.2,.452,.364,.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,-0.1,0.4,0.3,.044,-4.2,-1.5,-5.7,-0.3,0.1279271165304143
6,Nickeil Alexander-Walker,SG,23,TOT,0.7901234567901234,0.25609756097560976,0.34210526315789475,0.481651376146789,.372,0.35555555555555557,0.4444444444444445,.311,0.2421052631578947,0.2896174863387978,.433,.449,0.125,0.14406779661016947,0.743,0.13043478260869565,0.20909090909090908,0.19727891156462585,0.2222222222222222,0.27999999999999997,0.14285714285714288,0.2916666666666667,0.32,0.3464052287581699,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,-1.1,1.1,0.1,.003,-1.8,-1.1,-2.9,-0.3,0.5149646667590411
6,Nickeil Alexander-Walker,SG,23,UTA,0.1728395061728395,0.024390243902439025,0.09649122807017545,0.14678899082568808,.333,0.15555555555555556,0.18803418803418806,.303,0.042105263157894736,0.0546448087431694,.400,.438,0.07291666666666667,0.06779661016949153,0.917,0.02173913043478261,0.13636363636363635,0.10204081632653061,0.10185185185185186,0.12,0.10714285714285715,0.10416666666666667,0.2,0.11437908496732026,10.2,.497,.688,.250,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,0.0,0.2,0.2,.070,-2.9,1.2,-1.7,0.0,0.05435083829846196
10,Justin Anderson,SF,28,TOT,0.18518518518518517,0.07317073170731707,0.20175438596491227,0.2706422018348624,.379,0.2,0.3162393162393163,.254,0.1368421052631579,0.1256830601092896,.583,.458,0.09375,0.10169491525423728,0.789,0.06521739130434782,0.23636363636363636,0.19727891156462585,0.19444444444444445,0.2,0.14285714285714288,0.10416666666666667,0.27999999999999997,0.20915032679738563,10.4,.493,.621,.200,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,0.2,0.2,0.4,.054,-1.9,-1.3,-3.2,-0.1,0.11562976305944297
10,Justin Anderson,SF,28,CLE,0.024691358024691357,0.0,0.11403508771929824,0.12385321100917432,.500,0.15555555555555556,0.17094017094017094,.333,0.07368421052631578,0.03825136612021857,1.000,.625,0.10416666666666667,0.11016949152542373,0.75,0.0,0.18181818181818182,0.1360544217687075,0.18518518518518517,0.12,0.0,0.14583333333333334,0.26,0.14052287581699346,10.7,.666,.750,.500,0.0,13.8,7.1,17.3,1.1,0.0,17.0,11.1,0.1,0.0,0.1,.124,-3.0,0.4,-2.6,0.0,0.021026742413745324
10,Justin Anderson,SF,28,IND,0.14814814814814814,0.07317073170731707,0.21929824561403508,0.3073394495412844,.368,0.2222222222222222,0.3504273504273504,.245,0.15789473684210525,0.14207650273224043,.559,.443,0.09375,0.10169491525423728,0.8,0.06521739130434782,0.2545454545454545,0.2108843537414966,0.19444444444444445,0.2,0.17857142857142858,0.10416666666666667,0.27999999999999997,0.2222222222222222,10.3,.475,.609,.172,1.6,15.2,8.3,13.6,1.3,1.9,6.0,15.8,0.1,0.1,0.2,.041,-1.7,-1.6,-3.3,-0.1,0.09966052376333656
13,Thanasis Antetokounmpo,SF,29,MIL,0.5802469135802469,0.07317073170731707,0.13157894736842105,0.12385321100917432,.547,0.0,0.02564102564102564,.143,0.14736842105263157,0.13114754098360654,.596,.555,0.0625,0.0847457627118644,0.63,0.1739130434782609,0.11818181818181818,0.14285714285714288,0.046296296296296294,0.12,0.10714285714285715,0.10416666666666667,0.27999999999999997,0.11764705882352941,12.5,.577,.109,.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,0.4,0.5,0.9,.095,-3.5,-0.1,-3.5,-0.2,0.16658583899127058
18,Trevor Ariza,SF,36,LAL,0.2839506172839506,0.13414634146341464,0.12280701754385964,0.18807339449541283,.333,0.17777777777777778,0.26495726495726496,.270,0.05263157894736842,0.0546448087431694,.520,.434,0.04166666666666667,0.06779661016949153,0.556,0.08695652173913045,0.2727272727272727,0.23129251700680273,0.10185185185185186,0.2,0.10714285714285715,0.10416666666666667,0.16,0.13071895424836602,7.0,.449,.747,.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11.0,-0.2,0.4,0.2,.020,-3.3,-0.2,-3.4,-0.2,0.16603159207426907
19,D.J. Augustin,PG,34,TOT,0.6666666666666666,0.024390243902439025,0.14912280701754385,0.18348623853211007,.423,0.26666666666666666,0.25641025641025644,.415,0.05263157894736842,0.06010928961748634,.448,.577,0.07291666666666667,0.06779661016949153,0.884,0.04347826086956522,0.09090909090909091,0.0816326530612245,0.1759259259259259,0.12,0.0,0.20833333333333334,0.13999999999999999,0.17320261437908496,9.7,.610,.739,.194,1.4,7.0,4.2,16.8,0.9,0.1,18.9,14.3,0.7,0.1,0.8,.043,-1.2,-2.4,-3.6,-0.4,0.31075931827629205
